id,common name,scientific name
263,Abbott's Booby,Papasula abbotti
573,Acadian Flycatcher,Empidonax virescens
2,Acorn Woodpecker,Melanerpes formicivorus
498,Alpine Swift,Tachymarptis melba
598,Altamira Oriole,Icterus gularis
599,Amazon Kingfisher,Chloroceryle amazona
600,Amazonian Parrotlet,Nannopsittaca dachilleae
3,American Avocet,Recurvirostra americana
4,American Bittern,Botaurus lentiginosus
574,American Cliff Swallow,Petrochelidon pyrrhonota
5,American Coot,Fulica americana
6,American Crow,Corvus brachyrhynchos
601,American Flamingo,Phoenicopterus ruber
602,American Golden-Plover,Pluvialis dominica
7,American Goldfinch,Spinus tristis
8,American Kestrel,Falco sparverius
9,American Oystercatcher,Haematopus palliatus
10,American Redstart,Setophaga ruticilla
11,American Robin,Turdus migratorius
12,American White Pelican,Pelecanus erythrorhynchos
575,American Wigeon,Mareca americana
13,American Woodcock,Scolopax minor
603,Andean Cock-of-the-Rock,Rupicola peruvianus
604,Andean Condor,Vultur gryphus
14,Anhinga,Anhinga anhinga
15,Anna's Hummingbird,Calypte anna
605,Antioquia Brushfinch,Atlapetes blancae
16,Ash-Throated Flycatcher,Myiarchus cinerascens
358,Asian Emerald Dove,Chalcophaps indica
359,Asian Koel,Eudynamys scolopaceus
17,Atlantic Puffin,Fratercula arctica
18,Audouin's Gull,Ichthyaetus audouinii
264,Australasian Pipit,Anthus novaeseelandiae
265,Australasian Shoveler,Spatula rhynchotis
266,Australian Ibis,Threskiornis moluccus
267,Australian Magpie,Gymnorhina tibicen
268,Australian Owlet-Nightjar,Aegotheles cristatus
269,Australian Raven,Corvus coronoides
270,Australian Reed Warbler,Acrocephalus australis
271,Australian Shelduck,Tadorna tadornoides
272,Australian Zebra Finch,Taeniopygia castanotis
360,Azure Tit,Cyanistes cyanus
19,Baird's Sparrow,Ammodramus bairdii
20,Bald Eagle,Haliaeetus leucocephalus
448,Bali Starling,Leucopsar rothschildi
21,Baltimore Oriole,Icterus galbula
606,Bananaquit,Coereba flaveola
22,Barn Owl,Tyto alba
23,Barn Swallow,Hirundo rustica
607,Barred Antshrike,Thamnophilus doliatus
24,Barred Owl,Strix varia
25,Barrow's Goldeneye,Bucephala islandica
608,Bat Falcon,Falco rufigularis
361,Baya Weaver,Ploceus philippinus
362,Bearded Reedling,Panurus biarmicus
26,Bell's Vireo,Vireo bellii
27,Belted Kingfisher,Megaceryle alcyon
449,Bengal Florican,Houbaropsis bengalensis
28,Bewick's Wren,Thryomanes bewickii
363,Black Drongo,Dicrurus macrocercus
273,Black Noddy,Anous minutus
609,Black Rail,Laterallus jamaicensis
29,Black Redstart,Phoenicurus ochruros
523,Black Robin,Petroica traversi
576,Black Rosy Finch,Leucosticte atrata
30,Black Skimmer,Rynchops niger
364,Black Stork,Ciconia nigra
274,Black Swan,Cygnus atratus
31,Black Tern,Chlidonias niger
32,Black Vulture,Coragyps atratus
33,Black Woodpecker,Dryocopus martius
34,Black-Bellied Whistling-Duck,Dendrocygna autumnalis
35,Black-Billed Magpie,Pica hudsonia
473,Black-Capped Chickadee,Poecile atricapillus
36,Black-Chinned Hummingbird,Archilochus alexandri
37,Black-Crowned Night-Heron,Nycticorax nycticorax
38,Black-Headed Gull,Chroicocephalus ridibundus
365,Black-Naped Oriole,Oriolus chinensis
499,Black-Necked Grebe,Podiceps nigricollis
39,Black-Necked Stilt,Himantopus mexicanus
275,Black-Shouldered Kite,Elanus axillaris
40,Black-Tailed Godwit,Limosa limosa
41,Black-Throated Diver,Gavia arctica
577,Black-and-White Warbler,Mniotilta varia
450,Black-and-Yellow Broadbill,Eurylaimus ochromalus
474,Blackpoll Warbler,Setophaga striata
451,Blood Pheasant,Ithaginis cruentus
524,Blue Duck,Hymenolaimus malacorhynchos
42,Blue Grosbeak,Passerina caerulea
43,Blue Jay,Cyanocitta cristata
366,Blue Rock-Thrush,Monticola solitarius
610,Blue-Black Grassquit,Volatinia jacarina
611,Blue-Footed Booby,Sula nebouxii
44,Blue-Gray Gnatcatcher,Polioptila caerulea
