Scientific Name,en,species_code,macaulay_asset_code,wingspan_bird,bg
STRUTHIONIFORMES,,,,FALSE,
STRUTHIONIDAE,Ostriches,,,FALSE,
Apteryx rowi,Okarito Kiwi,okbkiw1,197661661,FALSE,Окаритско киви
†DINORNITHIDAE,Moas,,,FALSE,
Struthio camelus,Ostrich,ostric2,645938838,FALSE,Обикновен / Сомалийски щраус
Struhio molybdophanes,Somali Ostrich,ostric3,,FALSE,
†Dinornis gigantheus,Great Moa,,,FALSE,
†Megalapteryx didinus,Lesser Megalapteryx,,,FALSE,
RHEIDAE,Rheas,,,FALSE,
†AEPYORNITHIDAE,Elephantbirds,,,FALSE,
Rhea americana,Greater Rhea,grerhe1,203988441,TRUE,Голямо нанду
Rhea pennata,Lesser Rhea,lesrhe2,49399691,FALSE,Малко нанду
Rhea tarapacensis,Puna Rhea,,,FALSE,Малко нанду (ssp. tarapacensis/garleppi)
†Aepyornis maximus,Elephantbird,,,FALSE,
GALLIFORMES,,,,FALSE,
MEGAPODIIDAE,Megapodes,,,FALSE,
TINAMIDAE,Tinamous,,,FALSE,
Nothocercus julius,Tawny-breasted Tinamou,tabtin1,462300061,FALSE,Жълтогърдо тинаму
Nothocercus bonapartei,Highland Tinamou,higtin1,871,FALSE,Планинско тинаму
Nothocercus nigrocapillus,Hooded Tinamou,hootin1,203940161,FALSE,Сивоглаво тинаму
Tinamus tao,Grey Tinamou,grytin1,58702,FALSE,Голямо сиво тинаму
Tinamus solitarius,Solitary Tinamou,soltin1,18804,FALSE,Сивокръсто тинаму
Tinamus osgoodi,Black Tinamou,blatin1,60456,FALSE,Голямо черно тинаму
Tinamus major,Great Tinamou,gretin1,57320,FALSE,Голямо тинаму
Tinamus guttatus,White-throated Tinamou,whttin1,31950,FALSE,Белогърло тинаму
Crypturellus berlepschi,Berlepsch's Tinamou,bertin1,629455957,FALSE,Малко черно тинаму
Crypturellus cinereus,Cinereous Tinamou,cintin1,203696311,FALSE,Малко сиво тинаму
Crypturellus ptaritepui,Tepui Tinamou,teptin1,204027571,FALSE,Венецуелско тинаму
Crypturellus soui,Little Tinamou,littin1,117119,TRUE,Малко тинаму
Crypturellus obsoletus,Brown Tinamou,brotin1,164251,FALSE,Кафяво тинаму
Crypturellus undulatus,Undulated Tinamou,undtin1,626373802,FALSE,Ивичесто тинаму
Crypturellus strigulosus,Brazilian Tinamou,bratin1,204022031,FALSE,Бразилско тинаму
Crypturellus duidae,Grey-legged Tinamou,gyltin1,158883681,FALSE,Сивокрако тинаму
Crypturellus erythropus,Red-legged Tinamou,reltin1,461593031,FALSE,Червенокрако тинаму
Crypturellus noctivagus,Yellow-legged Tinamou,yeltin1,385079961,FALSE,Жълтокрако тинаму
Crypturellus atrocapillus,Black-capped Tinamou,blctin1,76049,FALSE,Черноглаво тинаму
Crypturellus occidentalis,Western Thicket Tinamou,,,FALSE,Храстово тинаму (ssp. occidentalis)
Crypturellus cinnamomeus,Eastern Thicket Tinamou,thitin1,33206801,FALSE,Храстово тинаму
Crypturellus transfasciatus,Pale-browed Tinamou,pabtin1,143809,FALSE,Беловеждо тинаму
Crypturellus boucardi,Slaty-breasted Tinamou,slbtin1,127724071,FALSE,Късоопашато тинаму
Crypturellus kerriae,Choco Tinamou,chotin1,324633271,FALSE,Панамско тинаму
Crypturellus varieagatus,Variegated Tinamou,vartin1,203934011,FALSE,
Crypturellus brevirostris,Rusty Tinamou,rustin1,614660336,FALSE,Късоклюно тинаму
Crypturellus barletti,Barlett's Tinamou,,,FALSE,
Crypturellus casiquiare,Barred Tinamou,bartin1,630722708,FALSE,Ястребогушо тинаму
Crypturellus parvirostris,Small-billed Tinamou,smbtin1,51850,FALSE,Червеноклюно тинаму
Crypturellus tataupa,Tataupa Tinamou,tattin1,217313,FALSE,Горско тинаму
Rhynchotus rufescens,Red-winged Tinamou,rewtin1,203696371,FALSE,Червенокрило тинаму
Nothoprocta taczanowskii,Taczanowski's Tinamu,tactin1,628474647,FALSE,Дългоклюно тинаму
Nothoprocta ornata,Ornate Tinamou,orntin1,609546694,FALSE,Изящно тинаму
Nothoprocta perdicaria,Chilean Tinamou,chitin1,303573,FALSE,Чилийско тинаму
Nothoprocta cinerascens,Brushland Tinamou,brutin1,634961756,FALSE,Аржентинско тинаму
Nothoprocta pentlandii,Andean Tinamou,andtin1,46168,FALSE,Андско тинаму
Nothoprocta curvirostris,Curve-billed Tinamou,cubtin1,633661342,FALSE,Кривоклюно тинаму
Nothura boraquira,White-bellied Nothura,whbnot1,219138941,FALSE,Белокорема нотура
Nothura minor,Lesser Nothura,lesnot1,424395341,FALSE,Малка нотура
Nothura darwinii,Darwin's Nothura,darnot1,426123241,FALSE,Дарвинова нотура
Nothura maculosa,Spotted Nothura,sponot1,114397301,TRUE,Петниста нотура
Nothura chacoensis,Chaco Nothura,,,FALSE,
Taoniscus nanus,Dwarf Tinamou,dwatin1,643569796,FALSE,Дребно тинаму
Eudromia elegans,Elegant Crested-Tinamou,elctin1,236936911,FALSE,Южно качулато тинаму
Eudromia formosa,Quebracho Crested-Tinamou,quctin1,626262181,FALSE,Северно качулато тинаму
Tinamotis pentlandii,Puna Tinamou,puntin1,210229,FALSE,Пунайско тинаму
Tinamotis ingoufi,Patagonian Tinamou,pattin1,612106908,FALSE,Патагонско тинаму
Alectura lathami,Australian Brush-turkey,ausbrt1,381591551,FALSE,Австралийска храстова пуйка
Aepypodius arfakianus,Wattled Brush-turkey,watbrt1,,FALSE,Папуаска храстова пуйка
Aepypodius bruijnii,Bruijn's Brush-turkey,brubrt1,,FALSE,Уайгеанска храстова пуйка
Talegalla cuvieri,Red-billed Brush-turkey,rebbrt1,617189538,FALSE,Червеноклюна храстова пуйка
Talegalla fuscirostris,Black-billed Brush-turkey,bkbbrt1,65819,FALSE,Жълтокрака храстова пуйка
Talegalla jobiensis,Brown-collared Brush-turkey,bncbrt1,204011051,FALSE,Червенокрака храстова пуйка
Leipoa ocellata,Malleefowl,mallee1,507328321,TRUE,Австралийска едрокрака кокошка
Macrocephalon maleo,Maleo,maleo1,210744231,FALSE,Сулавеска едрокрака кокошка
Eulipoa wallacei,Moluccan Scrubfowl,molscr1,,FALSE,Молукска едрокрака кокошка
Megapodius nicobariensis,Nicobar Scrubfowl,nicscr1,648533499,FALSE,Никобарска едрокрака кокошка
Megapodius cumingii,Philippine Scrubfowl,tabscr1,203893311,FALSE,Филипинска едрокрака кокошка
Megapodius bernsteinii,Sula Scrubfowl,sulscr1,203905281,FALSE,Сулайска едрокрака кокошка
Megapodius tenimberensis,Tanimbar Scrubfowl,tanscr1,616243717,FALSE,Танимбарска едрокрака кокошка
Megapodius layardi,Vanuatu Scrubfowl,vanscr1,159476231,FALSE,Вануатска едрокрака кокошка
Megapodius laperouse,Micronesian Scrubfowl,micscr1,140190,FALSE,Микронезийска едрокрака кокошка
Megapodius pritchardii,Polynesian Scrubfowl,niuscr1,,FALSE,Тонганска едрокрака кокошка
Megapodius freycinet,Dusky Scrubfowl,dusscr1,203908891,FALSE,Черна едрокрака кокошка
Megapodius geelvikanus,Biak Scrubfowl,,,FALSE,
Megapodius decollatus,New Guinea Scrubfowl,negscr1,608353878,FALSE,Папуаска едрокрака кокошка
Megapodius eremita,Melanesian Scrubfowl,melscr1,203908291,FALSE,Меланезийска едрокрака кокошка
Megapodius reinwardt,Orange-footed Scrubfowl,orfscr1,58969901,TRUE,Кафява едрокрака кокошка
CRACIDAE,Guans Chachalacas Curassows,,,FALSE,
Chamaepetes unicolor,Black Guan,blagua1,53957,FALSE,Малък черен гуан
Chamaepetes goudotii,Sickle-winged Guan,siwgua1,167255,FALSE,Сърпокрил гуан
Penelopina nigra,Highland Guan,higgua1,203692671,FALSE,Планински гуан
Penelope argyrotis,Band-tailed Guan,batgua1,167175,FALSE,Ивичест гуан
Penelope barbata,Bearded Guan,beagua1,203915771,FALSE,Брадат гуан
Penelope ortoni,Baudo Guan,baugua1,168703,FALSE,Чокоенски гуан
Penelope montagnii,Andean Guan,andgua1,591553691,FALSE,Андски гуан
Penelope marail,Marail Guan,margua1,67615,FALSE,Гвиански гуан
Penelope superciliaris,Rusty-margined Guan,rumgua1,102319,FALSE,Черновежд гуан
Penelope dabbenei,Red-faced Guan,refgua1,203985251,FALSE,Боливийски гуан
Penelope jacquacu,Spix's Guan,spigua1,190225,FALSE,Амазонски гуан
Penelope purpurascens,Crested Guan,cregua1,173510751,FALSE,Качулат гуан
Penelope perspicax,Cauca Guan,caugua1,24042071,FALSE,Каукански гуан
Penelope albipennis,White-winged Guan,whwgua1,13277,FALSE,Белокрил гуан
Penelope obscura,Dusky-legged Guan,dulgua1,17658,FALSE,Атлантически гуан
Penelope pileata,White-crested Guan,whcgua1,203895021,FALSE,Белоглав гуан
Penelope ochrogaster,Chestnut-bellied Guan,chbgua1,193678891,FALSE,Червенокорем гуан
Penelope jacucaca,White-browed Guan,whbgua1,248626081,FALSE,Беловежд гуан
Pipile pipile,Trinidad Piping-guan,trpgua1,619307334,FALSE,Тринидадски гуан
Pipile cumanensis,Blue-throated Piping-guan,butpig1,321834561,FALSE,Синегуш / Белогуш гуан
Pipile grayi,White-throated Piping-guan,butpig2,396896121,FALSE,Белогуш гуан
Pipile cujubi,Red-throated Piping-guan,rtpgua1,81437,FALSE,Червеногуш гуан
Pipile jacutinga,Black-fronted Piping-guan,bfpgua1,184775031,FALSE,Очилат гуан
Aburria aburri,Wattled Guan,watgua1,101066981,FALSE,Голям черен гуан
Oreophasis derbianus,Horned Guan,horgua1,177575,TRUE,Рогат гуан
Ortalis vetula,Plain Chachalaca,placha,172754021,TRUE,Мексиканска чачалака
Ortalis cinereiceps,Grey-headed Chachalaca,grhcha1,456443461,FALSE,Сивоглава чачалака
Ortalis garrula,Chestnut-winged Chachalaca,chwcha1,624280923,FALSE,Кестенявокрила чачалака
Ortalis ruficauda,Rufous-vented Chachalaca,ruvcha1,2320,FALSE,Венецуелска чачалака
Ortalis erythroptera,Rufous-headed Chachalaca,ruhcha1,514472621,FALSE,Еквадорска чачалака
Ortalis wagleri,Rufous-bellied Chachalaca,rubcha1,49211281,FALSE,Рогата чачалака
Ortalis poliocephala,West Mexican Chachalaca,wemcha1,153248731,FALSE,Тихоокеанска чачалака
Ortalis canicollis,Chaco Chachalaca,chacha1,572139481,FALSE,Чакоенска чачалака
Ortalis leucogastra,White-bellied Chachalaca,whbcha1,20375,FALSE,Белокорема чачалака
Ortalis columbiana,Colombian Chachalaca,colcha1,212229,FALSE,Колумбийска чачалака
Ortalis guttata,Speckled Chachalaca,specha3,183366391,FALSE,Петниста чачалака
Ortalis araucan,East Brasilian Chachalaca,,,FALSE,
Ortalis squamata,Scaled Chachalaca,specha4,332027481,FALSE,Люспеста чачалака
Ortalis motmot,Little Chachalaca,varcha1,78010,FALSE,Гвианска чачалака
CASUARIIDAE,Cassowaries Emus,,,FALSE,
Casuarius casuarius,Southern Cassowary,soucas1,203989761,TRUE,Обикновен казуар
Casuarius bennetti,Dwarf Cassowary,dwacas1,203987101,FALSE,Малък казуар
Casuarius unappendiculatus,Northern Cassowary,norcas1,536563291,FALSE,Голям казуар
Dromaius novaehollandiae,Emu,emu1,623096519,TRUE,Ему
†Dromaius minor,King Island Emu,,,FALSE,
†Dromaius baudinianus,Kangoroo Island Emu,,,FALSE,
APTERYGIDAE,Kiwis,,,FALSE,
Apteryx haastii,Great Spotted Kiwi,grskiw1,617700522,TRUE,Киви на Хааст
Apteryx owenii,Little Spotted Kiwi,liskiw1,596188651,FALSE,Киви на Оуен
