Scientific Name,en,species_code,macaulay_asset_code,wingspan_bird,ca
STRUTHIONIFORMES,,,,FALSE,
STRUTHIONIDAE,Ostriches,,,FALSE,
Apteryx rowi,Okarito Kiwi,okbkiw1,197661661,FALSE,Kiwi d'Okarito
†DINORNITHIDAE,Moas,,,FALSE,
Struthio camelus,Ostrich,ostric2,645938838,FALSE,estruç comú/de Somàlia
Struhio molybdophanes,Somali Ostrich,ostric3,,FALSE,
†Dinornis gigantheus,Great Moa,,,FALSE,
†Megalapteryx didinus,Lesser Megalapteryx,,,FALSE,
RHEIDAE,Rheas,,,FALSE,
†AEPYORNITHIDAE,Elephantbirds,,,FALSE,
Rhea americana,Greater Rhea,grerhe1,203988441,TRUE,Nyandú comú
Rhea pennata,Lesser Rhea,lesrhe2,49399691,FALSE,Nyandú de Darwin
Rhea tarapacensis,Puna Rhea,,,FALSE,nyandú menut (tarapacensis/garleppi)
†Aepyornis maximus,Elephantbird,,,FALSE,
GALLIFORMES,,,,FALSE,
MEGAPODIIDAE,Megapodes,,,FALSE,
TINAMIDAE,Tinamous,,,FALSE,
Nothocercus julius,Tawny-breasted Tinamou,tabtin1,462300061,FALSE,Tinamú cap-roig
Nothocercus bonapartei,Highland Tinamou,higtin1,871,FALSE,Tinamú de Bonaparte
Nothocercus nigrocapillus,Hooded Tinamou,hootin1,203940161,FALSE,Tinamú encaputxat
Tinamus tao,Grey Tinamou,grytin1,58702,FALSE,Tinamú gris
Tinamus solitarius,Solitary Tinamou,soltin1,18804,FALSE,Tinamú solitari
Tinamus osgoodi,Black Tinamou,blatin1,60456,FALSE,Tinamú negre
Tinamus major,Great Tinamou,gretin1,57320,FALSE,Tinamú olivaci
Tinamus guttatus,White-throated Tinamou,whttin1,31950,FALSE,Tinamú pigallat
Crypturellus berlepschi,Berlepsch's Tinamou,bertin1,629455957,FALSE,Tinamú de Berlepsch
Crypturellus cinereus,Cinereous Tinamou,cintin1,203696311,FALSE,tinamú cendrós
Crypturellus ptaritepui,Tepui Tinamou,teptin1,204027571,FALSE,Tinamú dels tepuis
Crypturellus soui,Little Tinamou,littin1,117119,TRUE,Tinamú petit
Crypturellus obsoletus,Brown Tinamou,brotin1,164251,FALSE,Tinamú bru
Crypturellus undulatus,Undulated Tinamou,undtin1,626373802,FALSE,Tinamú ondulat
Crypturellus strigulosus,Brazilian Tinamou,bratin1,204022031,FALSE,Tinamú del Brasil
Crypturellus duidae,Grey-legged Tinamou,gyltin1,158883681,FALSE,Tinamú camagrís
Crypturellus erythropus,Red-legged Tinamou,reltin1,461593031,FALSE,Tinamú cama-roig
Crypturellus noctivagus,Yellow-legged Tinamou,yeltin1,385079961,FALSE,tinamú camagroc
Crypturellus atrocapillus,Black-capped Tinamou,blctin1,76049,FALSE,Tinamú de casquet
Crypturellus occidentalis,Western Thicket Tinamou,,,FALSE,tinamú de San Blas
Crypturellus cinnamomeus,Eastern Thicket Tinamou,thitin1,33206801,FALSE,tinamú canyella
Crypturellus transfasciatus,Pale-browed Tinamou,pabtin1,143809,FALSE,Tinamú cellut
Crypturellus boucardi,Slaty-breasted Tinamou,slbtin1,127724071,FALSE,tinamú pissarrós
Crypturellus kerriae,Choco Tinamou,chotin1,324633271,FALSE,Tinamú del Chocó
Crypturellus varieagatus,Variegated Tinamou,vartin1,203934011,FALSE,
Crypturellus brevirostris,Rusty Tinamou,rustin1,614660336,FALSE,Tinamú rovellat
Crypturellus barletti,Barlett's Tinamou,,,FALSE,
Crypturellus casiquiare,Barred Tinamou,bartin1,630722708,FALSE,Tinamú barrat
Crypturellus parvirostris,Small-billed Tinamou,smbtin1,51850,FALSE,Tinamú de bec curt
Crypturellus tataupa,Tataupa Tinamou,tattin1,217313,FALSE,Tinamú tatapua
Rhynchotus rufescens,Red-winged Tinamou,rewtin1,203696371,FALSE,tinamú ala-roig
Nothoprocta taczanowskii,Taczanowski's Tinamu,tactin1,628474647,FALSE,Tinamú de Taczanowski
Nothoprocta ornata,Ornate Tinamou,orntin1,609546694,FALSE,Tinamú ornat
Nothoprocta perdicaria,Chilean Tinamou,chitin1,303573,FALSE,Tinamú de Xile
Nothoprocta cinerascens,Brushland Tinamou,brutin1,634961756,FALSE,Tinamú feréstec
Nothoprocta pentlandii,Andean Tinamou,andtin1,46168,FALSE,Tinamú dels Andes
Nothoprocta curvirostris,Curve-billed Tinamou,cubtin1,633661342,FALSE,Tinamú de bec corbat
Nothura boraquira,White-bellied Nothura,whbnot1,219138941,FALSE,Tinamú ventreblanc
Nothura minor,Lesser Nothura,lesnot1,424395341,FALSE,Tinamú menor
Nothura darwinii,Darwin's Nothura,darnot1,426123241,FALSE,Tinamú de Darwin
Nothura maculosa,Spotted Nothura,sponot1,114397301,TRUE,Tinamú tacat
Nothura chacoensis,Chaco Nothura,,,FALSE,
Taoniscus nanus,Dwarf Tinamou,dwatin1,643569796,FALSE,Tinamú nan
Eudromia elegans,Elegant Crested-Tinamou,elctin1,236936911,FALSE,Tinamú crestat elegant
Eudromia formosa,Quebracho Crested-Tinamou,quctin1,626262181,FALSE,Tinamú crestat del Chaco
Tinamotis pentlandii,Puna Tinamou,puntin1,210229,FALSE,Tinamú de la Puna
Tinamotis ingoufi,Patagonian Tinamou,pattin1,612106908,FALSE,Tinamú de la Patagònia
Alectura lathami,Australian Brush-turkey,ausbrt1,381591551,FALSE,Talègol cap-roig
Aepypodius arfakianus,Wattled Brush-turkey,watbrt1,,FALSE,Talègol carablanc
Aepypodius bruijnii,Bruijn's Brush-turkey,brubrt1,,FALSE,Talègol de l'illa Waigeo
Talegalla cuvieri,Red-billed Brush-turkey,rebbrt1,617189538,FALSE,Talègol bec-roig
Talegalla fuscirostris,Black-billed Brush-turkey,bkbbrt1,65819,FALSE,Talègol becnegre
Talegalla jobiensis,Brown-collared Brush-turkey,bncbrt1,204011051,FALSE,Talègol cama-roig
Leipoa ocellata,Malleefowl,mallee1,507328321,TRUE,Talègol ocel·lat
Macrocephalon maleo,Maleo,maleo1,210744231,FALSE,Talègol Maleo
Eulipoa wallacei,Moluccan Scrubfowl,molscr1,,FALSE,Megàpode de Wallace
Megapodius nicobariensis,Nicobar Scrubfowl,nicscr1,648533499,FALSE,megàpode de les Nicobar
Megapodius cumingii,Philippine Scrubfowl,tabscr1,203893311,FALSE,Megàpode de les Filipines
Megapodius bernsteinii,Sula Scrubfowl,sulscr1,203905281,FALSE,Megàpode de l'illa Sula
Megapodius tenimberensis,Tanimbar Scrubfowl,tanscr1,616243717,FALSE,Megàpode de les illes Tanimbar
Megapodius layardi,Vanuatu Scrubfowl,vanscr1,159476231,FALSE,Megàpode de Vanuatu
Megapodius laperouse,Micronesian Scrubfowl,micscr1,140190,FALSE,Megàpode de Micronèsia
Megapodius pritchardii,Polynesian Scrubfowl,niuscr1,,FALSE,Megàpode de les illes Tonga
Megapodius freycinet,Dusky Scrubfowl,dusscr1,203908891,FALSE,megàpode de Freycinet
Megapodius geelvikanus,Biak Scrubfowl,,,FALSE,
Megapodius decollatus,New Guinea Scrubfowl,negscr1,608353878,FALSE,Megàpode de Nova Guinea
Megapodius eremita,Melanesian Scrubfowl,melscr1,203908291,FALSE,Megàpode de Melanèsia
Megapodius reinwardt,Orange-footed Scrubfowl,orfscr1,58969901,TRUE,megàpode de Reinwardt
CRACIDAE,Guans Chachalacas Curassows,,,FALSE,
Chamaepetes unicolor,Black Guan,blagua1,53957,FALSE,Guan negre
Chamaepetes goudotii,Sickle-winged Guan,siwgua1,167255,FALSE,Guan carablau
Penelopina nigra,Highland Guan,higgua1,203692671,FALSE,Guan d'altiplà
Penelope argyrotis,Band-tailed Guan,batgua1,167175,FALSE,guan cuabarrat
Penelope barbata,Bearded Guan,beagua1,203915771,FALSE,Guan barbat
Penelope ortoni,Baudo Guan,baugua1,168703,FALSE,Guan d'Orton
Penelope montagnii,Andean Guan,andgua1,591553691,FALSE,guan andí
Penelope marail,Marail Guan,margua1,67615,FALSE,Guan marail
Penelope superciliaris,Rusty-margined Guan,rumgua1,102319,FALSE,Guan cellut
Penelope dabbenei,Red-faced Guan,refgua1,203985251,FALSE,Guan cara-roig
Penelope jacquacu,Spix's Guan,spigua1,190225,FALSE,guan de Spix
Penelope purpurascens,Crested Guan,cregua1,173510751,FALSE,guan crestat
Penelope perspicax,Cauca Guan,caugua1,24042071,FALSE,Guan del Cauca
Penelope albipennis,White-winged Guan,whwgua1,13277,FALSE,Guan alablanc
Penelope obscura,Dusky-legged Guan,dulgua1,17658,FALSE,guan camanegre
Penelope pileata,White-crested Guan,whcgua1,203895021,FALSE,Guan de pit rogenc
Penelope ochrogaster,Chestnut-bellied Guan,chbgua1,193678891,FALSE,Guan de ventre rogenc
Penelope jacucaca,White-browed Guan,whbgua1,248626081,FALSE,Guan cellablanc
Pipile pipile,Trinidad Piping-guan,trpgua1,619307334,FALSE,guan xiulador de Trinidad
Pipile cumanensis,Blue-throated Piping-guan,butpig1,321834561,FALSE,guan xiulador gorjablau/gorjablanc
Pipile grayi,White-throated Piping-guan,butpig2,396896121,FALSE,Guan xiulador gorjablanc
Pipile cujubi,Red-throated Piping-guan,rtpgua1,81437,FALSE,Guan xiulador gorja-roig
Pipile jacutinga,Black-fronted Piping-guan,bfpgua1,184775031,FALSE,Guan xiulador d'ulleres
Aburria aburri,Wattled Guan,watgua1,101066981,FALSE,Guan camagroc
Oreophasis derbianus,Horned Guan,horgua1,177575,TRUE,Guan banyut
Ortalis vetula,Plain Chachalaca,placha,172754021,TRUE,txatxalaca de plana
Ortalis cinereiceps,Grey-headed Chachalaca,grhcha1,456443461,FALSE,Txatxalaca capgrís
Ortalis garrula,Chestnut-winged Chachalaca,chwcha1,624280923,FALSE,txatxalaca ala-roja
Ortalis ruficauda,Rufous-vented Chachalaca,ruvcha1,2320,FALSE,Txatxalaca cul-roig
Ortalis erythroptera,Rufous-headed Chachalaca,ruhcha1,514472621,FALSE,Txatxalaca cap-roig
Ortalis wagleri,Rufous-bellied Chachalaca,rubcha1,49211281,FALSE,Txatxalaca de ventre rogenc
Ortalis poliocephala,West Mexican Chachalaca,wemcha1,153248731,FALSE,txatxalaca de Jalisco
Ortalis canicollis,Chaco Chachalaca,chacha1,572139481,FALSE,Txatxalaca del Chaco
Ortalis leucogastra,White-bellied Chachalaca,whbcha1,20375,FALSE,Txatxalaca ventreblanc
Ortalis columbiana,Colombian Chachalaca,colcha1,212229,FALSE,Txatxalaca de Colòmbia
Ortalis guttata,Speckled Chachalaca,specha3,183366391,FALSE,txatxalaca pigallada
Ortalis araucan,East Brasilian Chachalaca,,,FALSE,
Ortalis squamata,Scaled Chachalaca,specha4,332027481,FALSE,txatxalaca escatosa
Ortalis motmot,Little Chachalaca,varcha1,78010,FALSE,txatxalaca motmot
CASUARIIDAE,Cassowaries Emus,,,FALSE,
Casuarius casuarius,Southern Cassowary,soucas1,203989761,TRUE,Casuari comú
Casuarius bennetti,Dwarf Cassowary,dwacas1,203987101,FALSE,Casuari de Bennett
Casuarius unappendiculatus,Northern Cassowary,norcas1,536563291,FALSE,Casuari unicarunculat
Dromaius novaehollandiae,Emu,emu1,623096519,TRUE,Emú comú
†Dromaius minor,King Island Emu,,,FALSE,
†Dromaius baudinianus,Kangoroo Island Emu,,,FALSE,
APTERYGIDAE,Kiwis,,,FALSE,
Apteryx haastii,Great Spotted Kiwi,grskiw1,617700522,TRUE,Kiwi tacat gros
Apteryx owenii,Little Spotted Kiwi,liskiw1,596188651,FALSE,Kiwi tacat petit
Apteryx mantelli,North Island Brown Kiwi,nibkiw1,623165890,TRUE,Kiwi bru de l'illa Nord
