Scientific Name,en,species_code,macaulay_asset_code,wingspan_bird,cs
STRUTHIONIFORMES,,,,FALSE,
STRUTHIONIDAE,Ostriches,,,FALSE,
Apteryx rowi,Okarito Kiwi,okbkiw1,197661661,FALSE,kivi okaritský
†DINORNITHIDAE,Moas,,,FALSE,
Struthio camelus,Ostrich,ostric2,645938838,FALSE,pštros dvouprstý/somálský
Struhio molybdophanes,Somali Ostrich,ostric3,,FALSE,
†Dinornis gigantheus,Great Moa,,,FALSE,
†Megalapteryx didinus,Lesser Megalapteryx,,,FALSE,
RHEIDAE,Rheas,,,FALSE,
†AEPYORNITHIDAE,Elephantbirds,,,FALSE,
Rhea americana,Greater Rhea,grerhe1,203988441,TRUE,nandu pampový
Rhea pennata,Lesser Rhea,lesrhe2,49399691,FALSE,nandu menší
Rhea tarapacensis,Puna Rhea,,,FALSE,nandu menší (ssp. tarapacensis/garleppi)
†Aepyornis maximus,Elephantbird,,,FALSE,
GALLIFORMES,,,,FALSE,
MEGAPODIIDAE,Megapodes,,,FALSE,
TINAMIDAE,Tinamous,,,FALSE,
Nothocercus julius,Tawny-breasted Tinamou,tabtin1,462300061,FALSE,tinama bronzovoprsá
Nothocercus bonapartei,Highland Tinamou,higtin1,871,FALSE,tinama horská
Nothocercus nigrocapillus,Hooded Tinamou,hootin1,203940161,FALSE,tinama tmavohlavá
Tinamus tao,Grey Tinamou,grytin1,58702,FALSE,tinama tao
Tinamus solitarius,Solitary Tinamou,soltin1,18804,FALSE,tinama samotářská
Tinamus osgoodi,Black Tinamou,blatin1,60456,FALSE,tinama černá
Tinamus major,Great Tinamou,gretin1,57320,FALSE,tinama větší
Tinamus guttatus,White-throated Tinamou,whttin1,31950,FALSE,tinama tečkovaná
Crypturellus berlepschi,Berlepsch's Tinamou,bertin1,629455957,FALSE,tinama Berlepschova
Crypturellus cinereus,Cinereous Tinamou,cintin1,203696311,FALSE,tinama podrostní
Crypturellus ptaritepui,Tepui Tinamou,teptin1,204027571,FALSE,tinama tepuová
Crypturellus soui,Little Tinamou,littin1,117119,TRUE,tinama malá
Crypturellus obsoletus,Brown Tinamou,brotin1,164251,FALSE,tinama hnědá
Crypturellus undulatus,Undulated Tinamou,undtin1,626373802,FALSE,tinama vlnkovaná
Crypturellus strigulosus,Brazilian Tinamou,bratin1,204022031,FALSE,tinama brazilská
Crypturellus duidae,Grey-legged Tinamou,gyltin1,158883681,FALSE,tinama šedonohá
Crypturellus erythropus,Red-legged Tinamou,reltin1,461593031,FALSE,tinama rudonohá
Crypturellus noctivagus,Yellow-legged Tinamou,yeltin1,385079961,FALSE,tinama žlutonohá
Crypturellus atrocapillus,Black-capped Tinamou,blctin1,76049,FALSE,tinama černotemenná
Crypturellus occidentalis,Western Thicket Tinamou,,,FALSE,tinama skořicová (ssp. occidentalis)
Crypturellus cinnamomeus,Eastern Thicket Tinamou,thitin1,33206801,FALSE,tinama skořicová
Crypturellus transfasciatus,Pale-browed Tinamou,pabtin1,143809,FALSE,tinama světlebrvá
Crypturellus boucardi,Slaty-breasted Tinamou,slbtin1,127724071,FALSE,tinama středoamerická
Crypturellus kerriae,Choco Tinamou,chotin1,324633271,FALSE,tinama kolumbijská
Crypturellus varieagatus,Variegated Tinamou,vartin1,203934011,FALSE,
Crypturellus brevirostris,Rusty Tinamou,rustin1,614660336,FALSE,tinama pralesní
Crypturellus barletti,Barlett's Tinamou,,,FALSE,
Crypturellus casiquiare,Barred Tinamou,bartin1,630722708,FALSE,tinama páskovaná
Crypturellus parvirostris,Small-billed Tinamou,smbtin1,51850,FALSE,tinama malozobá
Crypturellus tataupa,Tataupa Tinamou,tattin1,217313,FALSE,tinama tataupa
Rhynchotus rufescens,Red-winged Tinamou,rewtin1,203696371,FALSE,tinama inambu
Nothoprocta taczanowskii,Taczanowski's Tinamu,tactin1,628474647,FALSE,tinama Taczanowského
Nothoprocta ornata,Ornate Tinamou,orntin1,609546694,FALSE,tinama ozdobná
Nothoprocta perdicaria,Chilean Tinamou,chitin1,303573,FALSE,tinama koroptví
Nothoprocta cinerascens,Brushland Tinamou,brutin1,634961756,FALSE,tinama pokřovní
Nothoprocta pentlandii,Andean Tinamou,andtin1,46168,FALSE,tinama andská
Nothoprocta curvirostris,Curve-billed Tinamou,cubtin1,633661342,FALSE,tinama křivozobá
Nothura boraquira,White-bellied Nothura,whbnot1,219138941,FALSE,tinama pastvinná
Nothura minor,Lesser Nothura,lesnot1,424395341,FALSE,tinama menší
Nothura darwinii,Darwin's Nothura,darnot1,426123241,FALSE,tinama Darwinova
Nothura maculosa,Spotted Nothura,sponot1,114397301,TRUE,tinama skvrnitá
Nothura chacoensis,Chaco Nothura,,,FALSE,
Taoniscus nanus,Dwarf Tinamou,dwatin1,643569796,FALSE,tinama drobná
Eudromia elegans,Elegant Crested-Tinamou,elctin1,236936911,FALSE,tinama argentinská
Eudromia formosa,Quebracho Crested-Tinamou,quctin1,626262181,FALSE,tinama chocholatá
Tinamotis pentlandii,Puna Tinamou,puntin1,210229,FALSE,tinama náhorní
Tinamotis ingoufi,Patagonian Tinamou,pattin1,612106908,FALSE,tinama patagonská
Alectura lathami,Australian Brush-turkey,ausbrt1,381591551,FALSE,tabon lesní
Aepypodius arfakianus,Wattled Brush-turkey,watbrt1,,FALSE,tabon hřebenatý
Aepypodius bruijnii,Bruijn's Brush-turkey,brubrt1,,FALSE,tabon hnědoprsý
Talegalla cuvieri,Red-billed Brush-turkey,rebbrt1,617189538,FALSE,tabon červenozobý
Talegalla fuscirostris,Black-billed Brush-turkey,bkbbrt1,65819,FALSE,tabon černozobý
Talegalla jobiensis,Brown-collared Brush-turkey,bncbrt1,204011051,FALSE,tabon obojkový
Leipoa ocellata,Malleefowl,mallee1,507328321,TRUE,tabon holubí
Macrocephalon maleo,Maleo,maleo1,210744231,FALSE,tabon přílbový
Eulipoa wallacei,Moluccan Scrubfowl,molscr1,,FALSE,tabon molucký
Megapodius nicobariensis,Nicobar Scrubfowl,nicscr1,648533499,FALSE,tabon nikobarský
Megapodius cumingii,Philippine Scrubfowl,tabscr1,203893311,FALSE,tabon filipínský
Megapodius bernsteinii,Sula Scrubfowl,sulscr1,203905281,FALSE,tabon Bernsteinův
Megapodius tenimberensis,Tanimbar Scrubfowl,tanscr1,616243717,FALSE,tabon tanimbarský
Megapodius layardi,Vanuatu Scrubfowl,vanscr1,159476231,FALSE,tabon Layardův
Megapodius laperouse,Micronesian Scrubfowl,micscr1,140190,FALSE,tabon mikronéský
Megapodius pritchardii,Polynesian Scrubfowl,niuscr1,,FALSE,tabon Pritchardův
Megapodius freycinet,Dusky Scrubfowl,dusscr1,203908891,FALSE,tabon tmavý
Megapodius geelvikanus,Biak Scrubfowl,,,FALSE,
Megapodius decollatus,New Guinea Scrubfowl,negscr1,608353878,FALSE,tabon novoguinejský
Megapodius eremita,Melanesian Scrubfowl,melscr1,203908291,FALSE,tabon bismarcký
Megapodius reinwardt,Orange-footed Scrubfowl,orfscr1,58969901,TRUE,tabon oranžovonohý
CRACIDAE,Guans Chachalacas Curassows,,,FALSE,
Chamaepetes unicolor,Black Guan,blagua1,53957,FALSE,guan černý
Chamaepetes goudotii,Sickle-winged Guan,siwgua1,167255,FALSE,guan modrolící
Penelopina nigra,Highland Guan,higgua1,203692671,FALSE,guan malý
Penelope argyrotis,Band-tailed Guan,batgua1,167175,FALSE,guan stříbrouchý
Penelope barbata,Bearded Guan,beagua1,203915771,FALSE,guan vousatý
Penelope ortoni,Baudo Guan,baugua1,168703,FALSE,guan Ortonův
Penelope montagnii,Andean Guan,andgua1,591553691,FALSE,guan andský
Penelope marail,Marail Guan,margua1,67615,FALSE,guan guyanský
Penelope superciliaris,Rusty-margined Guan,rumgua1,102319,FALSE,guan čárkovaný
Penelope dabbenei,Red-faced Guan,refgua1,203985251,FALSE,guan červenolící
Penelope jacquacu,Spix's Guan,spigua1,190225,FALSE,guan proměnlivý
Penelope purpurascens,Crested Guan,cregua1,173510751,FALSE,guan chocholatý
Penelope perspicax,Cauca Guan,caugua1,24042071,FALSE,guan caucský
Penelope albipennis,White-winged Guan,whwgua1,13277,FALSE,guan bělokřídlý
Penelope obscura,Dusky-legged Guan,dulgua1,17658,FALSE,guan tmavonohý
Penelope pileata,White-crested Guan,whcgua1,203895021,FALSE,guan pestrý
Penelope ochrogaster,Chestnut-bellied Guan,chbgua1,193678891,FALSE,guan středobrazilský
Penelope jacucaca,White-browed Guan,whbgua1,248626081,FALSE,guan jakukaka
Pipile pipile,Trinidad Piping-guan,trpgua1,619307334,FALSE,guan trinidadský
Pipile cumanensis,Blue-throated Piping-guan,butpig1,321834561,FALSE,guan modrohrdlý/bělohlavý
Pipile grayi,White-throated Piping-guan,butpig2,396896121,FALSE,guan bělohlavý
Pipile cujubi,Red-throated Piping-guan,rtpgua1,81437,FALSE,guan červenohrdlý
Pipile jacutinga,Black-fronted Piping-guan,bfpgua1,184775031,FALSE,guan černočelý
Aburria aburri,Wattled Guan,watgua1,101066981,FALSE,guan aburri
Oreophasis derbianus,Horned Guan,horgua1,177575,TRUE,guan horský
Ortalis vetula,Plain Chachalaca,placha,172754021,TRUE,čačalaka obecná
Ortalis cinereiceps,Grey-headed Chachalaca,grhcha1,456443461,FALSE,čačalaka šedohlavá
Ortalis garrula,Chestnut-winged Chachalaca,chwcha1,624280923,FALSE,čačalaka rezavokřídlá
Ortalis ruficauda,Rufous-vented Chachalaca,ruvcha1,2320,FALSE,čačalaka rudořitá
Ortalis erythroptera,Rufous-headed Chachalaca,ruhcha1,514472621,FALSE,čačalaka rezavohlavá
Ortalis wagleri,Rufous-bellied Chachalaca,rubcha1,49211281,FALSE,čačalaka Waglerova
Ortalis poliocephala,West Mexican Chachalaca,wemcha1,153248731,FALSE,čačalaka západomexická
Ortalis canicollis,Chaco Chachalaca,chacha1,572139481,FALSE,čačalaka šedokrká
Ortalis leucogastra,White-bellied Chachalaca,whbcha1,20375,FALSE,čačalaka bělobřichá
Ortalis columbiana,Colombian Chachalaca,colcha1,212229,FALSE,čačalaka kolumbijská
Ortalis guttata,Speckled Chachalaca,specha3,183366391,FALSE,čačalaka kropenatá
Ortalis araucan,East Brasilian Chachalaca,,,FALSE,
Ortalis squamata,Scaled Chachalaca,specha4,332027481,FALSE,čačalaka šupinatá
Ortalis motmot,Little Chachalaca,varcha1,78010,FALSE,čačalaka guyanská
CASUARIIDAE,Cassowaries Emus,,,FALSE,
Casuarius casuarius,Southern Cassowary,soucas1,203989761,TRUE,kasuár přílbový
Casuarius bennetti,Dwarf Cassowary,dwacas1,203987101,FALSE,kasuár menší
Casuarius unappendiculatus,Northern Cassowary,norcas1,536563291,FALSE,kasuár jednolaločný
Dromaius novaehollandiae,Emu,emu1,623096519,TRUE,emu hnědý
†Dromaius minor,King Island Emu,,,FALSE,
†Dromaius baudinianus,Kangoroo Island Emu,,,FALSE,
APTERYGIDAE,Kiwis,,,FALSE,
Apteryx haastii,Great Spotted Kiwi,grskiw1,617700522,TRUE,kivi Haastův
Apteryx owenii,Little Spotted Kiwi,liskiw1,596188651,FALSE,kivi Owenův
Apteryx mantelli,Northern Brown Kiwi,nibkiw1,623165890,TRUE,kivi hnědý
Apteryx australis,Southern Brown Kiwi,sobkiw1,85614831,FALSE,kivi jižní
Ortalis superciliaris,Buff-browed Chachalaca,bubcha1,349286621,FALSE,čačalaka světlebrvá
Nothocrax urumutum,Nocturnal Curassow,noccur1,34378,FALSE,hoko noční
Crax rubra,Great Curassow,grecur1,398165901,TRUE,hoko proměnlivý
