Scientific Name,en,species_code,macaulay_asset_code,wingspan_bird,de
STRUTHIONIFORMES,,,,FALSE,
STRUTHIONIDAE,Ostriches,,,FALSE,
Apteryx rowi,Okarito Kiwi,okbkiw1,197661661,FALSE,Okaritokiwi
†DINORNITHIDAE,Moas,,,FALSE,
Struthio camelus,Ostrich,ostric2,645938838,FALSE,Strauß/Somalistrauß
Struhio molybdophanes,Somali Ostrich,ostric3,,FALSE,
†Dinornis gigantheus,Great Moa,,,FALSE,
†Megalapteryx didinus,Lesser Megalapteryx,,,FALSE,
RHEIDAE,Rheas,,,FALSE,
†AEPYORNITHIDAE,Elephantbirds,,,FALSE,
Rhea americana,Greater Rhea,grerhe1,203988441,TRUE,Nandu
Rhea pennata,Lesser Rhea,lesrhe2,49399691,FALSE,Darwinnandu
Rhea tarapacensis,Puna Rhea,,,FALSE,Darwinnandu (tarapacensis/garleppi)
†Aepyornis maximus,Elephantbird,,,FALSE,
GALLIFORMES,,,,FALSE,
MEGAPODIIDAE,Megapodes,,,FALSE,
TINAMIDAE,Tinamous,,,FALSE,
Nothocercus julius,Tawny-breasted Tinamou,tabtin1,462300061,FALSE,Gelbbrusttinamu
Nothocercus bonapartei,Highland Tinamou,higtin1,871,FALSE,Bergtinamu
Nothocercus nigrocapillus,Hooded Tinamou,hootin1,203940161,FALSE,Kapuzentinamu
Tinamus tao,Grey Tinamou,grytin1,58702,FALSE,Taotinamu
Tinamus solitarius,Solitary Tinamou,soltin1,18804,FALSE,Zimttinamu
Tinamus osgoodi,Black Tinamou,blatin1,60456,FALSE,Schwarztinamu
Tinamus major,Great Tinamou,gretin1,57320,FALSE,Großtinamu
Tinamus guttatus,White-throated Tinamou,whttin1,31950,FALSE,Weißkehltinamu
Crypturellus berlepschi,Berlepsch's Tinamou,bertin1,629455957,FALSE,Berlepschtinamu
Crypturellus cinereus,Cinereous Tinamou,cintin1,203696311,FALSE,Grautinamu
Crypturellus ptaritepui,Tepui Tinamou,teptin1,204027571,FALSE,Tepuitinamu
Crypturellus soui,Little Tinamou,littin1,117119,TRUE,Brauntinamu
Crypturellus obsoletus,Brown Tinamou,brotin1,164251,FALSE,Kastanientinamu
Crypturellus undulatus,Undulated Tinamou,undtin1,626373802,FALSE,Wellentinamu
Crypturellus strigulosus,Brazilian Tinamou,bratin1,204022031,FALSE,Rotkehltinamu
Crypturellus duidae,Grey-legged Tinamou,gyltin1,158883681,FALSE,Graufußtinamu
Crypturellus erythropus,Red-legged Tinamou,reltin1,461593031,FALSE,Rotfußtinamu
Crypturellus noctivagus,Yellow-legged Tinamou,yeltin1,385079961,FALSE,Gelbfußtinamu
Crypturellus atrocapillus,Black-capped Tinamou,blctin1,76049,FALSE,Schwarzkappentinamu
Crypturellus occidentalis,Western Thicket Tinamou,,,FALSE,Buschtinamu (occidentalis)
Crypturellus cinnamomeus,Eastern Thicket Tinamou,thitin1,33206801,FALSE,Buschtinamu
Crypturellus transfasciatus,Pale-browed Tinamou,pabtin1,143809,FALSE,Brauentinamu
Crypturellus boucardi,Slaty-breasted Tinamou,slbtin1,127724071,FALSE,Graukehltinamu
Crypturellus kerriae,Choco Tinamou,chotin1,324633271,FALSE,Kerrtinamu
Crypturellus varieagatus,Variegated Tinamou,vartin1,203934011,FALSE,
Crypturellus brevirostris,Rusty Tinamou,rustin1,614660336,FALSE,Rosttinamu
Crypturellus barletti,Barlett's Tinamou,,,FALSE,
Crypturellus casiquiare,Barred Tinamou,bartin1,630722708,FALSE,Bindentinamu
Crypturellus parvirostris,Small-billed Tinamou,smbtin1,51850,FALSE,Kleinschnabeltinamu
Crypturellus tataupa,Tataupa Tinamou,tattin1,217313,FALSE,Tataupatinamu
Rhynchotus rufescens,Red-winged Tinamou,rewtin1,203696371,FALSE,Rotflügeltinamu
Nothoprocta taczanowskii,Taczanowski's Tinamu,tactin1,628474647,FALSE,Taczanowskitinamu
Nothoprocta ornata,Ornate Tinamou,orntin1,609546694,FALSE,Pisaccatinamu
Nothoprocta perdicaria,Chilean Tinamou,chitin1,303573,FALSE,Chiletinamu
Nothoprocta cinerascens,Brushland Tinamou,brutin1,634961756,FALSE,Cordobatinamu
Nothoprocta pentlandii,Andean Tinamou,andtin1,46168,FALSE,Andentinamu
Nothoprocta curvirostris,Curve-billed Tinamou,cubtin1,633661342,FALSE,Krummschnabeltinamu
Nothura boraquira,White-bellied Nothura,whbnot1,219138941,FALSE,Weißbauchtinamu
Nothura minor,Lesser Nothura,lesnot1,424395341,FALSE,Wachteltinamu
Nothura darwinii,Darwin's Nothura,darnot1,426123241,FALSE,Darwintinamu
Nothura maculosa,Spotted Nothura,sponot1,114397301,TRUE,Fleckentinamu
Nothura chacoensis,Chaco Nothura,,,FALSE,
Taoniscus nanus,Dwarf Tinamou,dwatin1,643569796,FALSE,Pfauentinamu
Eudromia elegans,Elegant Crested-Tinamou,elctin1,236936911,FALSE,Perltinamu
Eudromia formosa,Quebracho Crested-Tinamou,quctin1,626262181,FALSE,Schmucktinamu
Tinamotis pentlandii,Puna Tinamou,puntin1,210229,FALSE,Punatinamu
Tinamotis ingoufi,Patagonian Tinamou,pattin1,612106908,FALSE,Patagonientinamu
Alectura lathami,Australian Brush-turkey,ausbrt1,381591551,FALSE,Australbuschhuhn
Aepypodius arfakianus,Wattled Brush-turkey,watbrt1,,FALSE,Kammbuschhuhn
Aepypodius bruijnii,Bruijn's Brush-turkey,brubrt1,,FALSE,Braunbrust-Buschhuhn
Talegalla cuvieri,Red-billed Brush-turkey,rebbrt1,617189538,FALSE,Rotschnabel-Buschhuhn
Talegalla fuscirostris,Black-billed Brush-turkey,bkbbrt1,65819,FALSE,Schwarzschnabel-Buschhuhn
Talegalla jobiensis,Brown-collared Brush-turkey,bncbrt1,204011051,FALSE,Halsband-Buschhuhn
Leipoa ocellata,Malleefowl,mallee1,507328321,TRUE,Thermometerhuhn
Macrocephalon maleo,Maleo,maleo1,210744231,FALSE,Hammerhuhn
Eulipoa wallacei,Moluccan Scrubfowl,molscr1,,FALSE,Wallace-Großfußhuhn
Megapodius nicobariensis,Nicobar Scrubfowl,nicscr1,648533499,FALSE,Nikobaren-Großfußhuhn
Megapodius cumingii,Philippine Scrubfowl,tabscr1,203893311,FALSE,Philippinen-Großfußhuhn
Megapodius bernsteinii,Sula Scrubfowl,sulscr1,203905281,FALSE,Sula-Großfußhuhn
Megapodius tenimberensis,Tanimbar Scrubfowl,tanscr1,616243717,FALSE,Tanimbar-Großfußhuhn
Megapodius layardi,Vanuatu Scrubfowl,vanscr1,159476231,FALSE,Vanuatu-Großfußhuhn
Megapodius laperouse,Micronesian Scrubfowl,micscr1,140190,FALSE,Marianen-Großfußhuhn
Megapodius pritchardii,Polynesian Scrubfowl,niuscr1,,FALSE,Tonga-Großfußhuhn
Megapodius freycinet,Dusky Scrubfowl,dusscr1,203908891,FALSE,Molukken-Großfußhuhn
Megapodius geelvikanus,Biak Scrubfowl,,,FALSE,
Megapodius decollatus,New Guinea Scrubfowl,negscr1,608353878,FALSE,Neuguinea-Großfußhuhn
Megapodius eremita,Melanesian Scrubfowl,melscr1,203908291,FALSE,Bismarck-Großfußhuhn
Megapodius reinwardt,Orange-footed Scrubfowl,orfscr1,58969901,TRUE,Reinwardt-Großfußhuhn
CRACIDAE,Guans Chachalacas Curassows,,,FALSE,
Chamaepetes unicolor,Black Guan,blagua1,53957,FALSE,Schwarzguan
Chamaepetes goudotii,Sickle-winged Guan,siwgua1,167255,FALSE,Sichelguan
Penelopina nigra,Highland Guan,higgua1,203692671,FALSE,Schluchtenguan
Penelope argyrotis,Band-tailed Guan,batgua1,167175,FALSE,Bindenschwanzguan
Penelope barbata,Bearded Guan,beagua1,203915771,FALSE,Bartguan
Penelope ortoni,Baudo Guan,baugua1,168703,FALSE,Ortonguan
Penelope montagnii,Andean Guan,andgua1,591553691,FALSE,Andenguan
Penelope marail,Marail Guan,margua1,67615,FALSE,Marailguan
Penelope superciliaris,Rusty-margined Guan,rumgua1,102319,FALSE,Weißstirnguan
Penelope dabbenei,Red-faced Guan,refgua1,203985251,FALSE,Rotgesichtguan
Penelope jacquacu,Spix's Guan,spigua1,190225,FALSE,Spixguan
Penelope purpurascens,Crested Guan,cregua1,173510751,FALSE,Haubenguan
Penelope perspicax,Cauca Guan,caugua1,24042071,FALSE,Caucaguan
Penelope albipennis,White-winged Guan,whwgua1,13277,FALSE,Weißschwingenguan
Penelope obscura,Dusky-legged Guan,dulgua1,17658,FALSE,Bronzeguan
Penelope pileata,White-crested Guan,whcgua1,203895021,FALSE,Weißschopfguan
Penelope ochrogaster,Chestnut-bellied Guan,chbgua1,193678891,FALSE,Rotbrustguan
Penelope jacucaca,White-browed Guan,whbgua1,248626081,FALSE,Weißbrauenguan
Pipile pipile,Trinidad Piping-guan,trpgua1,619307334,FALSE,Trinidadguan
Pipile cumanensis,Blue-throated Piping-guan,butpig1,321834561,FALSE,Blaukehlguan/White-throated Piping-Guan
Pipile grayi,White-throated Piping-guan,butpig2,396896121,FALSE,Blasskehlguan
Pipile cujubi,Red-throated Piping-guan,rtpgua1,81437,FALSE,Rotkehlguan
Pipile jacutinga,Black-fronted Piping-guan,bfpgua1,184775031,FALSE,Schwarzmaskenguan
Aburria aburri,Wattled Guan,watgua1,101066981,FALSE,Lappenguan
Oreophasis derbianus,Horned Guan,horgua1,177575,TRUE,Zapfenguan
Ortalis vetula,Plain Chachalaca,placha,172754021,TRUE,Braunflügelguan
Ortalis cinereiceps,Grey-headed Chachalaca,grhcha1,456443461,FALSE,Graukopfguan
Ortalis garrula,Chestnut-winged Chachalaca,chwcha1,624280923,FALSE,Rotflügelguan
Ortalis ruficauda,Rufous-vented Chachalaca,ruvcha1,2320,FALSE,Rotsteißguan
Ortalis erythroptera,Rufous-headed Chachalaca,ruhcha1,514472621,FALSE,Rotkopfguan
Ortalis wagleri,Rufous-bellied Chachalaca,rubcha1,49211281,FALSE,Rotbauchguan
Ortalis poliocephala,West Mexican Chachalaca,wemcha1,153248731,FALSE,Graubrustguan
Ortalis canicollis,Chaco Chachalaca,chacha1,572139481,FALSE,Chacoguan
Ortalis leucogastra,White-bellied Chachalaca,whbcha1,20375,FALSE,Weißbauchguan
Ortalis columbiana,Colombian Chachalaca,colcha1,212229,FALSE,Kolumbienguan
Ortalis guttata,Speckled Chachalaca,specha3,183366391,FALSE,Tüpfelguan
Ortalis araucan,East Brasilian Chachalaca,,,FALSE,
Ortalis squamata,Scaled Chachalaca,specha4,332027481,FALSE,Schuppenguan
Ortalis motmot,Little Chachalaca,varcha1,78010,FALSE,Motmotguan
CASUARIIDAE,Cassowaries Emus,,,FALSE,
Casuarius casuarius,Southern Cassowary,soucas1,203989761,TRUE,Helmkasuar
Casuarius bennetti,Dwarf Cassowary,dwacas1,203987101,FALSE,Bennettkasuar
Casuarius unappendiculatus,Northern Cassowary,norcas1,536563291,FALSE,Einlappenkasuar
Dromaius novaehollandiae,Emu,emu1,623096519,TRUE,Emu
†Dromaius minor,King Island Emu,,,FALSE,
†Dromaius baudinianus,Kangoroo Island Emu,,,FALSE,
APTERYGIDAE,Kiwis,,,FALSE,
Apteryx haastii,Great Spotted Kiwi,grskiw1,617700522,TRUE,Haastkiwi
Apteryx owenii,Little Spotted Kiwi,liskiw1,596188651,FALSE,Zwergkiwi
Apteryx mantelli,North Island Brown Kiwi,nibkiw1,623165890,TRUE,Nordstreifenkiwi
Apteryx australis,Southern Brown Kiwi,sobkiw1,85614831,FALSE,Südstreifenkiwi
Ortalis superciliaris,Buff-browed Chachalaca,bubcha1,349286621,FALSE,Gelbbrauenguan
