Scientific Name,en,species_code,macaulay_asset_code,wingspan_bird,dk
STRUTHIONIFORMES,,,,FALSE,
STRUTHIONIDAE,Ostriches,,,FALSE,
Apteryx rowi,Okarito Kiwi,okbkiw1,197661661,FALSE,Okarito Kiwi
†DINORNITHIDAE,Moas,,,FALSE,
Struthio camelus,Ostrich,ostric2,645938838,FALSE,Masais/Somalistruds
Struhio molybdophanes,Somali Ostrich,ostric3,,FALSE,
†Dinornis gigantheus,Great Moa,,,FALSE,
†Megalapteryx didinus,Lesser Megalapteryx,,,FALSE,
RHEIDAE,Rheas,,,FALSE,
†AEPYORNITHIDAE,Elephantbirds,,,FALSE,
Rhea americana,Greater Rhea,grerhe1,203988441,TRUE,Nandu
Rhea pennata,Lesser Rhea,lesrhe2,49399691,FALSE,Lille Nandu
Rhea tarapacensis,Puna Rhea,,,FALSE,Lille Nandu Puna (ssp. tarapacensis/garleppi)
†Aepyornis maximus,Elephantbird,,,FALSE,
GALLIFORMES,,,,FALSE,
MEGAPODIIDAE,Megapodes,,,FALSE,
TINAMIDAE,Tinamous,,,FALSE,
Nothocercus julius,Tawny-breasted Tinamou,tabtin1,462300061,FALSE,Rødhovedet Tinamu
Nothocercus bonapartei,Highland Tinamou,higtin1,871,FALSE,Bjergskovstinamu
Nothocercus nigrocapillus,Hooded Tinamou,hootin1,203940161,FALSE,Hættetinamu
Tinamus tao,Grey Tinamou,grytin1,58702,FALSE,Grå Tinamu
Tinamus solitarius,Solitary Tinamou,soltin1,18804,FALSE,Olivengrå Tinamu
Tinamus osgoodi,Black Tinamou,blatin1,60456,FALSE,Gråsort Tinamu
Tinamus major,Great Tinamou,gretin1,57320,FALSE,Stor Tinamu
Tinamus guttatus,White-throated Tinamou,whttin1,31950,FALSE,Gråisset Tinamu
Crypturellus berlepschi,Berlepsch's Tinamou,bertin1,629455957,FALSE,Sorttinamu
Crypturellus cinereus,Cinereous Tinamou,cintin1,203696311,FALSE,Asketinamu
Crypturellus ptaritepui,Tepui Tinamou,teptin1,204027571,FALSE,Tepuítinamu
Crypturellus soui,Little Tinamou,littin1,117119,TRUE,Lille Tinamu
Crypturellus obsoletus,Brown Tinamou,brotin1,164251,FALSE,Brun Tinamu
Crypturellus undulatus,Undulated Tinamou,undtin1,626373802,FALSE,Bølgetinamu
Crypturellus strigulosus,Brazilian Tinamou,bratin1,204022031,FALSE,Brasiliansk Tinamu
Crypturellus duidae,Grey-legged Tinamou,gyltin1,158883681,FALSE,Gråbenet Tinamu
Crypturellus erythropus,Red-legged Tinamou,reltin1,461593031,FALSE,Rødbenet Tinamu
Crypturellus noctivagus,Yellow-legged Tinamou,yeltin1,385079961,FALSE,Gulbenet Tinamu
Crypturellus atrocapillus,Black-capped Tinamou,blctin1,76049,FALSE,Sodkronet Tinamu
Crypturellus occidentalis,Western Thicket Tinamou,,,FALSE,Krattinamu (ssp. occidentalis)
Crypturellus cinnamomeus,Eastern Thicket Tinamou,thitin1,33206801,FALSE,Krattinamu
Crypturellus transfasciatus,Pale-browed Tinamou,pabtin1,143809,FALSE,Lysbrynet Tinamu
Crypturellus boucardi,Slaty-breasted Tinamou,slbtin1,127724071,FALSE,Gråbrystet Tinamu
Crypturellus kerriae,Choco Tinamou,chotin1,324633271,FALSE,Chocótinamu
Crypturellus varieagatus,Variegated Tinamou,vartin1,203934011,FALSE,
Crypturellus brevirostris,Rusty Tinamou,rustin1,614660336,FALSE,Rustfarvet Tinamu
Crypturellus barletti,Barlett's Tinamou,,,FALSE,
Crypturellus casiquiare,Barred Tinamou,bartin1,630722708,FALSE,Båndtinamu
Crypturellus parvirostris,Small-billed Tinamou,smbtin1,51850,FALSE,Kortnæbbet Tinamu
Crypturellus tataupa,Tataupa Tinamou,tattin1,217313,FALSE,Tataupatinamu
Rhynchotus rufescens,Red-winged Tinamou,rewtin1,203696371,FALSE,Pampashøne
Nothoprocta taczanowskii,Taczanowski's Tinamu,tactin1,628474647,FALSE,Stor Bjergtinamu
Nothoprocta ornata,Ornate Tinamou,orntin1,609546694,FALSE,Bjergtinamu
Nothoprocta perdicaria,Chilean Tinamou,chitin1,303573,FALSE,Chiletinamu
Nothoprocta cinerascens,Brushland Tinamou,brutin1,634961756,FALSE,Mørkvinget Tinamu
Nothoprocta pentlandii,Andean Tinamou,andtin1,46168,FALSE,Andestinamu
Nothoprocta curvirostris,Curve-billed Tinamou,cubtin1,633661342,FALSE,Seglnæbbet Tinamu
Nothura boraquira,White-bellied Nothura,whbnot1,219138941,FALSE,Hvidbuget Vagteltinamu
Nothura minor,Lesser Nothura,lesnot1,424395341,FALSE,Vagteltinamu
Nothura darwinii,Darwin's Nothura,darnot1,426123241,FALSE,Andesvagteltinamu
Nothura maculosa,Spotted Nothura,sponot1,114397301,TRUE,Plettet Vagteltinamu
Nothura chacoensis,Chaco Nothura,,,FALSE,
Taoniscus nanus,Dwarf Tinamou,dwatin1,643569796,FALSE,Dværg Tinamu
Eudromia elegans,Elegant Crested-Tinamou,elctin1,236936911,FALSE,Toptinamu
Eudromia formosa,Quebracho Crested-Tinamou,quctin1,626262181,FALSE,Quebracho-toptinamu
Tinamotis pentlandii,Puna Tinamou,puntin1,210229,FALSE,Punatinamu
Tinamotis ingoufi,Patagonian Tinamou,pattin1,612106908,FALSE,Patagonsk Tinamu
Alectura lathami,Australian Brush-turkey,ausbrt1,381591551,FALSE,Kratkalkun
Aepypodius arfakianus,Wattled Brush-turkey,watbrt1,,FALSE,Kamtallegalla
Aepypodius bruijnii,Bruijn's Brush-turkey,brubrt1,,FALSE,Waigeutallegalla
Talegalla cuvieri,Red-billed Brush-turkey,rebbrt1,617189538,FALSE,Rødnæbbet Tallegalla
Talegalla fuscirostris,Black-billed Brush-turkey,bkbbrt1,65819,FALSE,Sortnæbbet Tallegalla
Talegalla jobiensis,Brown-collared Brush-turkey,bncbrt1,204011051,FALSE,Brunhalset Tallegalla
Leipoa ocellata,Malleefowl,mallee1,507328321,TRUE,Mallee-Høne
Macrocephalon maleo,Maleo,maleo1,210744231,FALSE,Hammerhøne
Eulipoa wallacei,Moluccan Scrubfowl,molscr1,,FALSE,Molukbuskhøne
Megapodius nicobariensis,Nicobar Scrubfowl,nicscr1,648533499,FALSE,Nicobarbuskhøne
Megapodius cumingii,Philippine Scrubfowl,tabscr1,203893311,FALSE,Filippinsk Buskhøne
Megapodius bernsteinii,Sula Scrubfowl,sulscr1,203905281,FALSE,Sulabuskhøne
Megapodius tenimberensis,Tanimbar Scrubfowl,tanscr1,616243717,FALSE,Tanimbarbuskhøne
Megapodius layardi,Vanuatu Scrubfowl,vanscr1,159476231,FALSE,Vanuatubuskhøne
Megapodius laperouse,Micronesian Scrubfowl,micscr1,140190,FALSE,Mikronesisk Buskhøne
Megapodius pritchardii,Polynesian Scrubfowl,niuscr1,,FALSE,Niaufooubuskhøne
Megapodius freycinet,Dusky Scrubfowl,dusscr1,203908891,FALSE,Mørk Buskhøne
Megapodius geelvikanus,Biak Scrubfowl,,,FALSE,
Megapodius decollatus,New Guinea Scrubfowl,negscr1,608353878,FALSE,Ny Guinea-buskhøne
Megapodius eremita,Melanesian Scrubfowl,melscr1,203908291,FALSE,Melanesisk Buskhøne
Megapodius reinwardt,Orange-footed Scrubfowl,orfscr1,58969901,TRUE,Torres-Buskhøne
CRACIDAE,Guans Chachalacas Curassows,,,FALSE,
Chamaepetes unicolor,Black Guan,blagua1,53957,FALSE,Sort Penelopehøne
Chamaepetes goudotii,Sickle-winged Guan,siwgua1,167255,FALSE,Seglvinget Penelopehøne
Penelopina nigra,Highland Guan,higgua1,203692671,FALSE,Chalopehøne
Penelope argyrotis,Band-tailed Guan,batgua1,167175,FALSE,Sølvøret Penelopehøne
Penelope barbata,Bearded Guan,beagua1,203915771,FALSE,Skægpenelopehøne
Penelope ortoni,Baudo Guan,baugua1,168703,FALSE,Chocópenelopehøne
Penelope montagnii,Andean Guan,andgua1,591553691,FALSE,Andes Penelopehøne
Penelope marail,Marail Guan,margua1,67615,FALSE,Cayennepenelopehøne
Penelope superciliaris,Rusty-margined Guan,rumgua1,102319,FALSE,Rustrandet Penelopehøne
Penelope dabbenei,Red-faced Guan,refgua1,203985251,FALSE,Rødmasket Penelopehøne
Penelope jacquacu,Spix's Guan,spigua1,190225,FALSE,Spix´ Penelopehøne
Penelope purpurascens,Crested Guan,cregua1,173510751,FALSE,Toppet Penelopehøne
Penelope perspicax,Cauca Guan,caugua1,24042071,FALSE,Caucapenelopehøne
Penelope albipennis,White-winged Guan,whwgua1,13277,FALSE,Hvidvinget Penelopehøne
Penelope obscura,Dusky-legged Guan,dulgua1,17658,FALSE,Mørkbenet Penelopehøne
Penelope pileata,White-crested Guan,whcgua1,203895021,FALSE,Hvidtoppet Penelopehøne
Penelope ochrogaster,Chestnut-bellied Guan,chbgua1,193678891,FALSE,Kastanjebuget Penelopehøne
Penelope jacucaca,White-browed Guan,whbgua1,248626081,FALSE,Hvidbrynet Penelopehøne
Pipile pipile,Trinidad Piping-guan,trpgua1,619307334,FALSE,Trinidad Fløjtehøne
Pipile cumanensis,Blue-throated Piping-guan,butpig1,321834561,FALSE,Blåstrubet Fløjtehøne/Hvidstrubet Fløjtehøne
Pipile grayi,White-throated Piping-guan,butpig2,396896121,FALSE,Hvidstrubet Fløjtehøne
Pipile cujubi,Red-throated Piping-guan,rtpgua1,81437,FALSE,Rødstrubet Fløjtehøne
Pipile jacutinga,Black-fronted Piping-guan,bfpgua1,184775031,FALSE,Sortpandet Fløjtehøne
Aburria aburri,Wattled Guan,watgua1,101066981,FALSE,Lappepenelopehøne
Oreophasis derbianus,Horned Guan,horgua1,177575,TRUE,Hornhokko
Ortalis vetula,Plain Chachalaca,placha,172754021,TRUE,Brun Chachalaca
Ortalis cinereiceps,Grey-headed Chachalaca,grhcha1,456443461,FALSE,Mexicansk Chachalaca
Ortalis garrula,Chestnut-winged Chachalaca,chwcha1,624280923,FALSE,Kastanjevinget Chachalaca
Ortalis ruficauda,Rufous-vented Chachalaca,ruvcha1,2320,FALSE,Venezuela-chachalaca
Ortalis erythroptera,Rufous-headed Chachalaca,ruhcha1,514472621,FALSE,Rusthovedet Chachalaca
Ortalis wagleri,Rufous-bellied Chachalaca,rubcha1,49211281,FALSE,Rødbuget Chachalaca
Ortalis poliocephala,West Mexican Chachalaca,wemcha1,153248731,FALSE,Sierra Madre-chachalaca
Ortalis canicollis,Chaco Chachalaca,chacha1,572139481,FALSE,Chacochachalaca
Ortalis leucogastra,White-bellied Chachalaca,whbcha1,20375,FALSE,Hvidbuget Chachalaca
Ortalis columbiana,Colombian Chachalaca,colcha1,212229,FALSE,Colombiansk Chachalaca
Ortalis guttata,Speckled Chachalaca,specha3,183366391,FALSE,Spættet Chachalaca
Ortalis araucan,East Brasilian Chachalaca,,,FALSE,
Ortalis squamata,Scaled Chachalaca,specha4,332027481,FALSE,Skællet Chachalaca
Ortalis motmot,Little Chachalaca,varcha1,78010,FALSE,Lille Chachalaca
CASUARIIDAE,Cassowaries Emus,,,FALSE,
Casuarius casuarius,Southern Cassowary,soucas1,203989761,TRUE,Hjelmkasuar
Casuarius bennetti,Dwarf Cassowary,dwacas1,203987101,FALSE,Dværgkasuar
Casuarius unappendiculatus,Northern Cassowary,norcas1,536563291,FALSE,Nordlig Kasuar
Dromaius novaehollandiae,Emu,emu1,623096519,TRUE,Emu
†Dromaius minor,King Island Emu,,,FALSE,
†Dromaius baudinianus,Kangoroo Island Emu,,,FALSE,
APTERYGIDAE,Kiwis,,,FALSE,
