Scientific Name,en,species_code,macaulay_asset_code,wingspan_bird,eo
STRUTHIONIFORMES,,,,FALSE,
STRUTHIONIDAE,Ostriches,,,FALSE,
Apteryx rowi,Okarito Kiwi,okbkiw1,197661661,FALSE,okarita kivio
†DINORNITHIDAE,Moas,,,FALSE,
Struthio camelus,Ostrich,ostric2,645938838,FALSE,
Struhio molybdophanes,Somali Ostrich,ostric3,,FALSE,
†Dinornis gigantheus,Great Moa,,,FALSE,
†Megalapteryx didinus,Lesser Megalapteryx,,,FALSE,
RHEIDAE,Rheas,,,FALSE,
†AEPYORNITHIDAE,Elephantbirds,,,FALSE,
Rhea americana,Greater Rhea,grerhe1,203988441,TRUE,granda reao
Rhea pennata,Lesser Rhea,lesrhe2,49399691,FALSE,eta reao
Rhea tarapacensis,Puna Rhea,,,FALSE,
†Aepyornis maximus,Elephantbird,,,FALSE,
GALLIFORMES,,,,FALSE,
MEGAPODIIDAE,Megapodes,,,FALSE,
TINAMIDAE,Tinamous,,,FALSE,
Nothocercus julius,Tawny-breasted Tinamou,tabtin1,462300061,FALSE,rufbrusta tinamo
Nothocercus bonapartei,Highland Tinamou,higtin1,871,FALSE,monta tinamo
Nothocercus nigrocapillus,Hooded Tinamou,hootin1,203940161,FALSE,kapuĉa tinamo
Tinamus tao,Grey Tinamou,grytin1,58702,FALSE,griza tinamo
Tinamus solitarius,Solitary Tinamou,soltin1,18804,FALSE,soleca tinamo
Tinamus osgoodi,Black Tinamou,blatin1,60456,FALSE,nigra tinamo
Tinamus major,Great Tinamou,gretin1,57320,FALSE,granda tinamo
Tinamus guttatus,White-throated Tinamou,whttin1,31950,FALSE,blankagorĝa tinamo
Crypturellus berlepschi,Berlepsch's Tinamou,bertin1,629455957,FALSE,berlepŝa tinamo
Crypturellus cinereus,Cinereous Tinamou,cintin1,203696311,FALSE,
Crypturellus ptaritepui,Tepui Tinamou,teptin1,204027571,FALSE,tepuja tinamo
Crypturellus soui,Little Tinamou,littin1,117119,TRUE,eta tinamo
Crypturellus obsoletus,Brown Tinamou,brotin1,164251,FALSE,bruna tinamo
Crypturellus undulatus,Undulated Tinamou,undtin1,626373802,FALSE,ondeta tinamo
Crypturellus strigulosus,Brazilian Tinamou,bratin1,204022031,FALSE,brazila tinamo
Crypturellus duidae,Grey-legged Tinamou,gyltin1,158883681,FALSE,grizkrura tinamo
Crypturellus erythropus,Red-legged Tinamou,reltin1,461593031,FALSE,ruĝkrura tinamo
Crypturellus noctivagus,Yellow-legged Tinamou,yeltin1,385079961,FALSE,
Crypturellus atrocapillus,Black-capped Tinamou,blctin1,76049,FALSE,nigraĉapa tinamo
Crypturellus occidentalis,Western Thicket Tinamou,,,FALSE,
Crypturellus cinnamomeus,Eastern Thicket Tinamou,thitin1,33206801,FALSE,
Crypturellus transfasciatus,Pale-browed Tinamou,pabtin1,143809,FALSE,palbrova tinamo
Crypturellus boucardi,Slaty-breasted Tinamou,slbtin1,127724071,FALSE,
Crypturellus kerriae,Choco Tinamou,chotin1,324633271,FALSE,ĉokoa tinamo
Crypturellus varieagatus,Variegated Tinamou,vartin1,203934011,FALSE,
Crypturellus brevirostris,Rusty Tinamou,rustin1,614660336,FALSE,rusta tinamo
Crypturellus barletti,Barlett's Tinamou,,,FALSE,
Crypturellus casiquiare,Barred Tinamou,bartin1,630722708,FALSE,stria tinamo
Crypturellus parvirostris,Small-billed Tinamou,smbtin1,51850,FALSE,etbeka tinamo
Crypturellus tataupa,Tataupa Tinamou,tattin1,217313,FALSE,tataupa tinamo
Rhynchotus rufescens,Red-winged Tinamou,rewtin1,203696371,FALSE,
Nothoprocta taczanowskii,Taczanowski's Tinamu,tactin1,628474647,FALSE,taĉanovskia tinamo
Nothoprocta ornata,Ornate Tinamou,orntin1,609546694,FALSE,ornamita tinamo
Nothoprocta perdicaria,Chilean Tinamou,chitin1,303573,FALSE,ĉilia tinamo
Nothoprocta cinerascens,Brushland Tinamou,brutin1,634961756,FALSE,vepra tinamo
Nothoprocta pentlandii,Andean Tinamou,andtin1,46168,FALSE,anda tinamo
Nothoprocta curvirostris,Curve-billed Tinamou,cubtin1,633661342,FALSE,kurbabeka tinamo
Nothura boraquira,White-bellied Nothura,whbnot1,219138941,FALSE,blankventra tinamo
Nothura minor,Lesser Nothura,lesnot1,424395341,FALSE,minora tinamo
Nothura darwinii,Darwin's Nothura,darnot1,426123241,FALSE,darvina tinamo
Nothura maculosa,Spotted Nothura,sponot1,114397301,TRUE,makula tinamo
Nothura chacoensis,Chaco Nothura,,,FALSE,
Taoniscus nanus,Dwarf Tinamou,dwatin1,643569796,FALSE,nana tinamo
Eudromia elegans,Elegant Crested-Tinamou,elctin1,236936911,FALSE,eleganta krestotinamo
Eudromia formosa,Quebracho Crested-Tinamou,quctin1,626262181,FALSE,kebraĉa krestotinamo
Tinamotis pentlandii,Puna Tinamou,puntin1,210229,FALSE,punaa tinamo
Tinamotis ingoufi,Patagonian Tinamou,pattin1,612106908,FALSE,patagonia tinamo
Alectura lathami,Australian Brush-turkey,ausbrt1,381591551,FALSE,aŭstralia megapodo
Aepypodius arfakianus,Wattled Brush-turkey,watbrt1,,FALSE,karunkla megapodo
Aepypodius bruijnii,Bruijn's Brush-turkey,brubrt1,,FALSE,vaigea megapodo
Talegalla cuvieri,Red-billed Brush-turkey,rebbrt1,617189538,FALSE,ruĝbeka megapodo
Talegalla fuscirostris,Black-billed Brush-turkey,bkbbrt1,65819,FALSE,nigrabeka megapodo
Talegalla jobiensis,Brown-collared Brush-turkey,bncbrt1,204011051,FALSE,koluma megapodo
Leipoa ocellata,Malleefowl,mallee1,507328321,TRUE,ocela megapodo
Macrocephalon maleo,Maleo,maleo1,210744231,FALSE,malea megapodo
Eulipoa wallacei,Moluccan Scrubfowl,molscr1,,FALSE,moluka megapodo
Megapodius nicobariensis,Nicobar Scrubfowl,nicscr1,648533499,FALSE,
Megapodius cumingii,Philippine Scrubfowl,tabscr1,203893311,FALSE,filipina megapodo
Megapodius bernsteinii,Sula Scrubfowl,sulscr1,203905281,FALSE,sulaa megapodo
Megapodius tenimberensis,Tanimbar Scrubfowl,tanscr1,616243717,FALSE,tanimbara megapodo
Megapodius layardi,Vanuatu Scrubfowl,vanscr1,159476231,FALSE,vanuatua megapodo
Megapodius laperouse,Micronesian Scrubfowl,micscr1,140190,FALSE,mikronezia megapodo
Megapodius pritchardii,Polynesian Scrubfowl,niuscr1,,FALSE,tonga megapodo
Megapodius freycinet,Dusky Scrubfowl,dusscr1,203908891,FALSE,
Megapodius geelvikanus,Biak Scrubfowl,,,FALSE,
Megapodius decollatus,New Guinea Scrubfowl,negscr1,608353878,FALSE,novgvinea megapodo
Megapodius eremita,Melanesian Scrubfowl,melscr1,203908291,FALSE,melanezia megapodo
Megapodius reinwardt,Orange-footed Scrubfowl,orfscr1,58969901,TRUE,
CRACIDAE,Guans Chachalacas Curassows,,,FALSE,
Chamaepetes unicolor,Black Guan,blagua1,53957,FALSE,nigra penelopo
Chamaepetes goudotii,Sickle-winged Guan,siwgua1,167255,FALSE,falĉilflugila penelopo
Penelopina nigra,Highland Guan,higgua1,203692671,FALSE,monta penelopo
Penelope argyrotis,Band-tailed Guan,batgua1,167175,FALSE,
Penelope barbata,Bearded Guan,beagua1,203915771,FALSE,barba penelopo
Penelope ortoni,Baudo Guan,baugua1,168703,FALSE,bauda penelopo
Penelope montagnii,Andean Guan,andgua1,591553691,FALSE,
Penelope marail,Marail Guan,margua1,67615,FALSE,gujana penelopo
Penelope superciliaris,Rusty-margined Guan,rumgua1,102319,FALSE,rustoborderita penelopo
Penelope dabbenei,Red-faced Guan,refgua1,203985251,FALSE,ruĝmaska penelopo
Penelope jacquacu,Spix's Guan,spigua1,190225,FALSE,
Penelope purpurascens,Crested Guan,cregua1,173510751,FALSE,
Penelope perspicax,Cauca Guan,caugua1,24042071,FALSE,kaŭka penelopo
Penelope albipennis,White-winged Guan,whwgua1,13277,FALSE,blankflugila penelopo
Penelope obscura,Dusky-legged Guan,dulgua1,17658,FALSE,
Penelope pileata,White-crested Guan,whcgua1,203895021,FALSE,blankakresta penelopo
Penelope ochrogaster,Chestnut-bellied Guan,chbgua1,193678891,FALSE,okraventra penelopo
Penelope jacucaca,White-browed Guan,whbgua1,248626081,FALSE,blankbrova penelopo
Pipile pipile,Trinidad Piping-guan,trpgua1,619307334,FALSE,
Pipile cumanensis,Blue-throated Piping-guan,butpig1,321834561,FALSE,
Pipile grayi,White-throated Piping-guan,butpig2,396896121,FALSE,blankagorĝa penelopo
Pipile cujubi,Red-throated Piping-guan,rtpgua1,81437,FALSE,ruĝgorĝa penelopo
Pipile jacutinga,Black-fronted Piping-guan,bfpgua1,184775031,FALSE,nigrafrunta penelopo
Aburria aburri,Wattled Guan,watgua1,101066981,FALSE,karunkla penelopo
Oreophasis derbianus,Horned Guan,horgua1,177575,TRUE,korna penelopo
Ortalis vetula,Plain Chachalaca,placha,172754021,TRUE,
Ortalis cinereiceps,Grey-headed Chachalaca,grhcha1,456443461,FALSE,grizkapa ĉaĉalako
Ortalis garrula,Chestnut-winged Chachalaca,chwcha1,624280923,FALSE,
Ortalis ruficauda,Rufous-vented Chachalaca,ruvcha1,2320,FALSE,rufsubpuga ĉaĉalako
Ortalis erythroptera,Rufous-headed Chachalaca,ruhcha1,514472621,FALSE,rufkapa ĉaĉalako
Ortalis wagleri,Rufous-bellied Chachalaca,rubcha1,49211281,FALSE,rufaventra ĉaĉalako
Ortalis poliocephala,West Mexican Chachalaca,wemcha1,153248731,FALSE,
Ortalis canicollis,Chaco Chachalaca,chacha1,572139481,FALSE,ĉaka ĉaĉalako
Ortalis leucogastra,White-bellied Chachalaca,whbcha1,20375,FALSE,blankventra ĉaĉalako
Ortalis columbiana,Colombian Chachalaca,colcha1,212229,FALSE,kolombia ĉaĉalako
Ortalis guttata,Speckled Chachalaca,specha3,183366391,FALSE,
Ortalis araucan,East Brasilian Chachalaca,,,FALSE,
Ortalis squamata,Scaled Chachalaca,specha4,332027481,FALSE,
Ortalis motmot,Little Chachalaca,varcha1,78010,FALSE,
CASUARIIDAE,Cassowaries Emus,,,FALSE,
Casuarius casuarius,Southern Cassowary,soucas1,203989761,TRUE,suda kazuaro
Casuarius bennetti,Dwarf Cassowary,dwacas1,203987101,FALSE,nana kazuaro
Casuarius unappendiculatus,Northern Cassowary,norcas1,536563291,FALSE,norda kazuaro
Dromaius novaehollandiae,Emu,emu1,623096519,TRUE,ordinara emuo
†Dromaius minor,King Island Emu,,,FALSE,
†Dromaius baudinianus,Kangoroo Island Emu,,,FALSE,
APTERYGIDAE,Kiwis,,,FALSE,
Apteryx haastii,Great Spotted Kiwi,grskiw1,617700522,TRUE,makula kivio
Apteryx owenii,Little Spotted Kiwi,liskiw1,596188651,FALSE,eta kivio
Apteryx mantelli,Northern Brown Kiwi,nibkiw1,623165890,TRUE,nordinsula kivio
Apteryx australis,Southern Brown Kiwi,sobkiw1,85614831,FALSE,
Ortalis superciliaris,Buff-browed Chachalaca,bubcha1,349286621,FALSE,helbrova ĉaĉalako
Nothocrax urumutum,Nocturnal Curassow,noccur1,34378,FALSE,nokta krakso
Crax rubra,Great Curassow,grecur1,398165901,TRUE,granda krakso
Crax alberti,Blue-billed Curassow,bubcur1,203963551,FALSE,
Crax daubentoni,Yellow-knobbed Curassow,yekcur1,386558971,FALSE,flavbeka krakso
Crax alector,Black Curassow,blacur1,322191801,FALSE,nigra krakso
Crax fasciolata,Bare-faced Curassow,bafcur1,203894921,FALSE,nudvizaĝa krakso
Crax pinima,Belem Curassow,,,FALSE,
