Scientific Name,en,species_code,macaulay_asset_code,wingspan_bird,es,es_ar,es_cr,es_ec,es_es,es_mx,es_pa,es_pe,es_ve
STRUTHIONIFORMES,,,,FALSE,,,,,,,,,
STRUTHIONIDAE,Ostriches,,,FALSE,,,,,,,,,
Apteryx rowi,Okarito Kiwi,okbkiw1,197661661,FALSE,Kiwi de Okarito,Kiwi de Okarito,Kiwi de Okarito,Kiwi de Okarito,Kiwi de Okarito,Kiwi de Okarito,Kiwi de Okarito,Kiwi de Okarito,Kiwi de Okarito
†DINORNITHIDAE,Moas,,,FALSE,,,,,,,,,
Struthio camelus,Ostrich,ostric2,645938838,FALSE,Avestruz Común/Somalí,Avestruz Común/Somalí,Avestruz Común/Somalí,Avestruz Común/Somalí,Avestruz común/somalí,Avestruz Común/Somalí,Avestruz Común/Somalí,Avestruz Común/Somalí,Avestruz Común/Somalí
Struhio molybdophanes,Somali Ostrich,ostric3,,FALSE,,,,,,,,,
†Dinornis gigantheus,Great Moa,,,FALSE,,,,,,,,,
†Megalapteryx didinus,Lesser Megalapteryx,,,FALSE,,,,,,,,,
RHEIDAE,Rheas,,,FALSE,,,,,,,,,
†AEPYORNITHIDAE,Elephantbirds,,,FALSE,,,,,,,,,
Rhea americana,Greater Rhea,grerhe1,203988441,TRUE,Ñandú Común,Ñandú Común,Ñandú Común,Ñandú Común,Ñandú Común,Ñandú Común,Ñandú Común,Ñandú Común,Ñandú Común
Rhea pennata,Lesser Rhea,lesrhe2,49399691,FALSE,Ñandú petiso,Choique,Ñandú petiso,Ñandú petiso,Ñandú Petiso,Ñandú Menor,Ñandú petiso,Ñandú Petizo,Ñandú petiso
Rhea tarapacensis,Puna Rhea,,,FALSE,Ñandú Petiso (puna),Ñandú Petiso (puna),Ñandú Petiso (puna),Ñandú Petiso (puna),Ñandú petiso (puna),Ñandú Petiso (puna),Ñandú Petiso (puna),Ñandú Petiso (puna),Ñandú Petiso (puna)
†Aepyornis maximus,Elephantbird,,,FALSE,,,,,,,,,
GALLIFORMES,,,,FALSE,,,,,,,,,
MEGAPODIIDAE,Megapodes,,,FALSE,,,,,,,,,
TINAMIDAE,Tinamous,,,FALSE,,,,,,,,,
Nothocercus julius,Tawny-breasted Tinamou,tabtin1,462300061,FALSE,Tinamú Cabecirrojo,Tinamú Cabecirrojo,Tinamú Cabecirrojo,Tinamú Pechileonado,Tinamú Cabecirrojo,Tinamú Cabecirrojo,Tinamú Cabecirrojo,Perdiz de Pecho Leonado,Chócora de Tamá
Nothocercus bonapartei,Highland Tinamou,higtin1,871,FALSE,Tinamú Serrano,Tinamú Serrano,Tinamú Serrano,Tinamú Serrano,Tinamú Serrano,Tinamú Serrano,Tinamú Serrano,Perdiz Montesa,Gallina Cuero
Nothocercus nigrocapillus,Hooded Tinamou,hootin1,203940161,FALSE,Tinamú Cabecinegro,Tinamú Cabecinegro,Tinamú Cabecinegro,Tinamú Cabecinegro,Tinamú Cabecinegro,Tinamú Cabecinegro,Tinamú Cabecinegro,Perdiz de Cabeza Negra,Tinamú Cabecinegro
Tinamus tao,Grey Tinamou,grytin1,58702,FALSE,Tinamú Tao,Tinamú Tao,Tinamú Tao,Tinamú Gris,Tinamú Tao,Tinamú Tao,Tinamú Tao,Perdiz Gris,Gallina Azul
Tinamus solitarius,Solitary Tinamou,soltin1,18804,FALSE,Tinamú Macuco,Macuco,Tinamú Macuco,Tinamú Macuco,Tinamú Macuco,Tinamú Macuco,Tinamú Macuco,Tinamú Macuco,Tinamú Macuco
Tinamus osgoodi,Black Tinamou,blatin1,60456,FALSE,Tinamú Negro,Tinamú Negro,Tinamú Negro,Tinamú Negro,Tinamú Negro,Tinamú Negro,Tinamú Negro,Perdiz Negra,Tinamú Negro
Tinamus major,Great Tinamou,gretin1,57320,FALSE,Tinamú Oliváceo,Tinamú Oliváceo,Tinamú Grande,Tinamú Grande,Tinamú Oliváceo,Tinamú Mayor,Tinamú Grande,Perdiz Grande,Gallina de Monte
Tinamus guttatus,White-throated Tinamou,whttin1,31950,FALSE,Tinamú Moteado,Tinamú Moteado,Tinamú Moteado,Tinamú Goliblanco,Tinamú Moteado,Tinamú Moteado,Tinamú Moteado,Perdiz de Garganta Blanca,Gallineta Chica
Crypturellus berlepschi,Berlepsch's Tinamou,bertin1,629455957,FALSE,Tinamú Tizón,Tinamú Tizón,Tinamú Tizón,Tinamú de Berlepsch,Tinamú Tizón,Tinamú Tizón,Tinamú Tizón,Tinamú Tizón,Tinamú Tizón
Crypturellus cinereus,Cinereous Tinamou,cintin1,203696311,FALSE,Tinamú Sombrío,Tinamú Sombrío,Tinamú Sombrío,Tinamú Cinéreo,Tinamú sombrío,Tinamú Sombrío,Tinamú Sombrío,Perdiz Cinérea,Poncha
Crypturellus ptaritepui,Tepui Tinamou,teptin1,204027571,FALSE,Tinamú de tepuy,Tinamú de tepuy,Tinamú de tepuy,Tinamú de tepuy,Tinamú de Tepuy,Tinamú de los Tepuis,Tinamú de tepuy,Tinamú de tepuy,Poncha de los Tepuyes
Crypturellus soui,Little Tinamou,littin1,117119,TRUE,Tinamú Chico,Tinamú Chico,Tinamú Chico,Tinamú Chico,Tinamú Chico,Tinamú Menor,Tinamú Chico,Perdiz Chica,Ponchita
Crypturellus obsoletus,Brown Tinamou,brotin1,164251,FALSE,Tinamú Café,Tataupá Rojizo,Tinamú Café,Tinamú Pardo,Tinamú Café,Tinamú Café,Tinamú Café,Perdiz Parda,Poncha Montañera
Crypturellus undulatus,Undulated Tinamou,undtin1,626373802,FALSE,Tinamú ondeado,Tataupá Listado,Tinamú ondeado,Tinamú Ondulado,Tinamú Ondeado,Tinamú ondeado,Tinamú ondeado,Perdiz Ondulada,Gallineta Ondulada
Crypturellus strigulosus,Brazilian Tinamou,bratin1,204022031,FALSE,Tinamú Brasileño,Tinamú Brasileño,Tinamú Brasileño,Tinamú Brasileño,Tinamú Brasileño,Tinamú Brasileño,Tinamú Brasileño,Perdiz Brasileña,Tinamú Brasileño
Crypturellus duidae,Grey-legged Tinamou,gyltin1,158883681,FALSE,Tinamú Patigrís,Tinamú Patigrís,Tinamú Patigrís,Tinamú Patigrís,Tinamú Patigrís,Tinamú Patigrís,Tinamú Patigrís,Perdiz de Pata Gris,Soisola Pata Gris
Crypturellus erythropus,Red-legged Tinamou,reltin1,461593031,FALSE,Tinamú Patirrojo,Tinamú Patirrojo,Tinamú Patirrojo,Tinamú Patirrojo,Tinamú Patirrojo,Tinamú Patirrojo,Tinamú Patirrojo,Tinamú Patirrojo,Soisola Pata Roja
Crypturellus noctivagus,Yellow-legged Tinamou,yeltin1,385079961,FALSE,Tinamú Patigualdo,Tinamú Patigualdo,Tinamú Patigualdo,Tinamú Patigualdo,Tinamú patigualdo,Tinamú Patas Amarillas,Tinamú Patigualdo,Tinamú Patigualdo,Tinamú Patigualdo
Crypturellus atrocapillus,Black-capped Tinamou,blctin1,76049,FALSE,Tinamú Capirotado,Tinamú Capirotado,Tinamú Capirotado,Tinamú Capirotado,Tinamú Capirotado,Tinamú Encapuchado,Tinamú Capirotado,Perdiz de Gorro Negro,Tinamú Capirotado
Crypturellus occidentalis,Western Thicket Tinamou,,,FALSE,Tinamú Canelo (occidentalis),Tinamú Canelo (occidentalis),Tinamú Canelo (occidentalis),Tinamú Canelo (occidentalis),Tinamú canelo (occidentalis),Tinamú Canelo (occidentalis),Tinamú Canelo (occidentalis),Tinamú Canelo (occidentalis),Tinamú Canelo (occidentalis)
Crypturellus cinnamomeus,Eastern Thicket Tinamou,thitin1,33206801,FALSE,Tinamú Canelo,Tinamú Canelo,Tinamú Canelo,Tinamú Canelo,Tinamú canelo,Tinamú Canelo,Tinamú Canelo,Tinamú Canelo,Tinamú Canelo
Crypturellus transfasciatus,Pale-browed Tinamou,pabtin1,143809,FALSE,Tinamú Cejudo,Tinamú Cejudo,Tinamú Cejudo,Tinamú Cejiblanco,Tinamú Cejudo,Tinamú Cejudo,Tinamú Cejudo,Perdiz de Ceja Pálida,Tinamú Cejudo
Crypturellus boucardi,Slaty-breasted Tinamou,slbtin1,127724071,FALSE,Tinamú Pizarroso,Tinamú Pizarroso,Tinamú Pizarroso,Tinamú Pizarroso,Tinamú pizarroso,Tinamú Jamuey,Tinamú Pizarroso,Tinamú Pizarroso,Tinamú Pizarroso
Crypturellus kerriae,Choco Tinamou,chotin1,324633271,FALSE,Tinamú del Chocó,Tinamú del Chocó,Tinamú del Chocó,Tinamú del Chocó,Tinamú del Chocó,Tinamú del Chocó,Tinamú del Chocó,Tinamú del Chocó,Tinamú del Chocó
Crypturellus varieagatus,Variegated Tinamou,vartin1,203934011,FALSE,,,,,,,,,
Crypturellus brevirostris,Rusty Tinamou,rustin1,614660336,FALSE,Tinamú Herrumbroso,Tinamú Herrumbroso,Tinamú Herrumbroso,Tinamú Herrumbroso,Tinamú Herrumbroso,Tinamú Ladrillo,Tinamú Herrumbroso,Tinamú Herrumbroso,Tinamú Herrumbroso
Crypturellus barletti,Barlett's Tinamou,,,FALSE,,,,,,,,,
Crypturellus casiquiare,Barred Tinamou,bartin1,630722708,FALSE,Tinamú del Casiquiare,Tinamú del Casiquiare,Tinamú del Casiquiare,Tinamú del Casiquiare,Tinamú del Casiquiare,Tinamú del Casiquiare,Tinamú del Casiquiare,Perdiz Barrada,Soisola Barreteada
Crypturellus parvirostris,Small-billed Tinamou,smbtin1,51850,FALSE,Tinamú Piquicorto,Tataupá Chico,Tinamú Piquicorto,Tinamú Piquicorto,Tinamú Piquicorto,Tinamú Piquicorto,Tinamú Piquicorto,Perdiz de Pico Corto,Tinamú Piquicorto
Crypturellus tataupa,Tataupa Tinamou,tattin1,217313,FALSE,Tinamú Tataupá,Tataupá Montaraz,Tinamú Tataupá,Tinamú Tataupá,Tinamú Tataupá,Tinamú Tataupá,Tinamú Tataupá,Perdiz Tataupá,Tinamú Tataupá
Rhynchotus rufescens,Red-winged Tinamou,rewtin1,203696371,FALSE,Tinamú Alirrojo,Colorada,Tinamú Alirrojo,Tinamú Alirrojo,Tinamú alirrojo,Tinamú Alirrojo,Tinamú Alirrojo,Perdiz de Ala Roja,Tinamú Alirrojo
Nothoprocta taczanowskii,Taczanowski's Tinamu,tactin1,628474647,FALSE,Tinamú de Taczanowski,Tinamú de Taczanowski,Tinamú de Taczanowski,Tinamú de Taczanowski,Tinamú de Taczanowski,Tinamú de Taczanowski,Tinamú de Taczanowski,Perdiz de Taczanowski,Tinamú de Taczanowski
Nothoprocta ornata,Ornate Tinamou,orntin1,609546694,FALSE,Tinamú pisacca,Inambú Serrano,Tinamú pisacca,Tinamú pisacca,Tinamú Pisacca,Tinamú Montañes,Tinamú pisacca,Perdiz Cordillerana,Tinamú pisacca
Nothoprocta perdicaria,Chilean Tinamou,chitin1,303573,FALSE,Tinamú Chileno,Inambú Chileno,Tinamú Chileno,Tinamú Chileno,Tinamú Chileno,Tinamú Chileno,Tinamú Chileno,Tinamú Chileno,Tinamú Chileno
Nothoprocta cinerascens,Brushland Tinamou,brutin1,634961756,FALSE,Tinamú Montaraz,Inambú Montaraz,Tinamú Montaraz,Tinamú Montaraz,Tinamú Montaraz,Tinamú Montaraz,Tinamú Montaraz,Tinamú Montaraz,Tinamú Montaraz
Nothoprocta pentlandii,Andean Tinamou,andtin1,46168,FALSE,Tinamú Andino,Inambú Silbón,Tinamú Andino,Tinamú Andino,Tinamú Andino,Tinamú Andino,Tinamú Andino,Perdiz Andina,Tinamú Andino
