Scientific Name,en,species_code,macaulay_asset_code,wingspan_bird,et
STRUTHIONIFORMES,,,,FALSE,
STRUTHIONIDAE,Ostriches,,,FALSE,
Apteryx rowi,Okarito Kiwi,okbkiw1,197661661,FALSE,okarito kiivi
†DINORNITHIDAE,Moas,,,FALSE,
Struthio camelus,Ostrich,ostric2,645938838,FALSE,jaanalind/somaali jaanalind
Struhio molybdophanes,Somali Ostrich,ostric3,,FALSE,
†Dinornis gigantheus,Great Moa,,,FALSE,
†Megalapteryx didinus,Lesser Megalapteryx,,,FALSE,
RHEIDAE,Rheas,,,FALSE,
†AEPYORNITHIDAE,Elephantbirds,,,FALSE,
Rhea americana,Greater Rhea,grerhe1,203988441,TRUE,nandu
Rhea pennata,Lesser Rhea,lesrhe2,49399691,FALSE,väikenandu
Rhea tarapacensis,Puna Rhea,,,FALSE,mägi-väikenandu
†Aepyornis maximus,Elephantbird,,,FALSE,
GALLIFORMES,,,,FALSE,
MEGAPODIIDAE,Megapodes,,,FALSE,
TINAMIDAE,Tinamous,,,FALSE,
Nothocercus julius,Tawny-breasted Tinamou,tabtin1,462300061,FALSE,välutinamu
Nothocercus bonapartei,Highland Tinamou,higtin1,871,FALSE,bambusetinamu
Nothocercus nigrocapillus,Hooded Tinamou,hootin1,203940161,FALSE,karbustinamu
Tinamus tao,Grey Tinamou,grytin1,58702,FALSE,halltinamu
Tinamus solitarius,Solitary Tinamou,soltin1,18804,FALSE,eraktinamu
Tinamus osgoodi,Black Tinamou,blatin1,60456,FALSE,musttinamu
Tinamus major,Great Tinamou,gretin1,57320,FALSE,suurtinamu
Tinamus guttatus,White-throated Tinamou,whttin1,31950,FALSE,helmestinamu
Crypturellus berlepschi,Berlepsch's Tinamou,bertin1,629455957,FALSE,nõgi-metstinamu
Crypturellus cinereus,Cinereous Tinamou,cintin1,203696311,FALSE,tõmmu-metstinamu
Crypturellus ptaritepui,Tepui Tinamou,teptin1,204027571,FALSE,tepui-metstinamu
Crypturellus soui,Little Tinamou,littin1,117119,TRUE,väike-metstinamu
Crypturellus obsoletus,Brown Tinamou,brotin1,164251,FALSE,pruun-metstinamu
Crypturellus undulatus,Undulated Tinamou,undtin1,626373802,FALSE,vile-metstinamu
Crypturellus strigulosus,Brazilian Tinamou,bratin1,204022031,FALSE,punakael-metstinamu
Crypturellus duidae,Grey-legged Tinamou,gyltin1,158883681,FALSE,halljalg-metstinamu
Crypturellus erythropus,Red-legged Tinamou,reltin1,461593031,FALSE,punajalg-metstinamu
Crypturellus noctivagus,Yellow-legged Tinamou,yeltin1,385079961,FALSE,tanu-metstinamu
Crypturellus atrocapillus,Black-capped Tinamou,blctin1,76049,FALSE,tumekiird-metstinamu
Crypturellus occidentalis,Western Thicket Tinamou,,,FALSE,põhja-metstinamu (ssp. occidentalis)
Crypturellus cinnamomeus,Eastern Thicket Tinamou,thitin1,33206801,FALSE,põhja-metstinamu
Crypturellus transfasciatus,Pale-browed Tinamou,pabtin1,143809,FALSE,valgekulm-metstinamu
Crypturellus boucardi,Slaty-breasted Tinamou,slbtin1,127724071,FALSE,kariibi metstinamu
Crypturellus kerriae,Choco Tinamou,chotin1,324633271,FALSE,kolumbia metstinamu
Crypturellus varieagatus,Variegated Tinamou,vartin1,203934011,FALSE,
Crypturellus brevirostris,Rusty Tinamou,rustin1,614660336,FALSE,lammi-metstinamu
Crypturellus barletti,Barlett's Tinamou,,,FALSE,
Crypturellus casiquiare,Barred Tinamou,bartin1,630722708,FALSE,punapea-metstinamu
Crypturellus parvirostris,Small-billed Tinamou,smbtin1,51850,FALSE,lühinokk-metstinamu
Crypturellus tataupa,Tataupa Tinamou,tattin1,217313,FALSE,tataupa-metstinamu
Rhynchotus rufescens,Red-winged Tinamou,rewtin1,203696371,FALSE,pampatinamu
Nothoprocta taczanowskii,Taczanowski's Tinamu,tactin1,628474647,FALSE,peruu mägitinamu
Nothoprocta ornata,Ornate Tinamou,orntin1,609546694,FALSE,põld-mägitinamu
Nothoprocta perdicaria,Chilean Tinamou,chitin1,303573,FALSE,tšiili mägitinamu
Nothoprocta cinerascens,Brushland Tinamou,brutin1,634961756,FALSE,viir-mägitinamu
Nothoprocta pentlandii,Andean Tinamou,andtin1,46168,FALSE,redu-mägitinamu
Nothoprocta curvirostris,Curve-billed Tinamou,cubtin1,633661342,FALSE,paramo-mägitinamu
Nothura boraquira,White-bellied Nothura,whbnot1,219138941,FALSE,kaatinga-triiptinamu
Nothura minor,Lesser Nothura,lesnot1,424395341,FALSE,serrado-triiptinamu
Nothura darwinii,Darwin's Nothura,darnot1,426123241,FALSE,nõlva-triiptinamu
Nothura maculosa,Spotted Nothura,sponot1,114397301,TRUE,nurm-triiptinamu
Nothura chacoensis,Chaco Nothura,,,FALSE,
Taoniscus nanus,Dwarf Tinamou,dwatin1,643569796,FALSE,värbtinamu
Eudromia elegans,Elegant Crested-Tinamou,elctin1,236936911,FALSE,tutt-tinamu
Eudromia formosa,Quebracho Crested-Tinamou,quctin1,626262181,FALSE,chaco tutt-tinamu
Tinamotis pentlandii,Puna Tinamou,puntin1,210229,FALSE,puunatinamu
Tinamotis ingoufi,Patagonian Tinamou,pattin1,612106908,FALSE,patagoonia tinamu
Alectura lathami,Australian Brush-turkey,ausbrt1,381591551,FALSE,kalkun-rihukana
Aepypodius arfakianus,Wattled Brush-turkey,watbrt1,,FALSE,sagar-rihukana
Aepypodius bruijnii,Bruijn's Brush-turkey,brubrt1,,FALSE,lott-rihukana
Talegalla cuvieri,Red-billed Brush-turkey,rebbrt1,617189538,FALSE,punanokk-rihukana
Talegalla fuscirostris,Black-billed Brush-turkey,bkbbrt1,65819,FALSE,nõgi-rihukana
Talegalla jobiensis,Brown-collared Brush-turkey,bncbrt1,204011051,FALSE,pruunkael-rihukana
Leipoa ocellata,Malleefowl,mallee1,507328321,TRUE,kõnnu-rihukana
Macrocephalon maleo,Maleo,maleo1,210744231,FALSE,vasar-rihukana
Eulipoa wallacei,Moluccan Scrubfowl,molscr1,,FALSE,punaselg-rihukana
Megapodius nicobariensis,Nicobar Scrubfowl,nicscr1,648533499,FALSE,nicobari rihukana
Megapodius cumingii,Philippine Scrubfowl,tabscr1,203893311,FALSE,filipiini rihukana
Megapodius bernsteinii,Sula Scrubfowl,sulscr1,203905281,FALSE,sulasaarte rihukana
Megapodius tenimberensis,Tanimbar Scrubfowl,tanscr1,616243717,FALSE,tanimbari rihukana
Megapodius layardi,Vanuatu Scrubfowl,vanscr1,159476231,FALSE,vanuatu rihukana
Megapodius laperouse,Micronesian Scrubfowl,micscr1,140190,FALSE,mikroneesia rihukana
Megapodius pritchardii,Polynesian Scrubfowl,niuscr1,,FALSE,tonga rihukana
Megapodius freycinet,Dusky Scrubfowl,dusscr1,203908891,FALSE,tõmmu-rihukana
Megapodius geelvikanus,Biak Scrubfowl,,,FALSE,
Megapodius decollatus,New Guinea Scrubfowl,negscr1,608353878,FALSE,paapua rihukana
Megapodius eremita,Melanesian Scrubfowl,melscr1,203908291,FALSE,melaneesia rihukana
Megapodius reinwardt,Orange-footed Scrubfowl,orfscr1,58969901,TRUE,punajalg-rihukana
CRACIDAE,Guans Chachalacas Curassows,,,FALSE,
Chamaepetes unicolor,Black Guan,blagua1,53957,FALSE,must-nõlvahoko
Chamaepetes goudotii,Sickle-winged Guan,siwgua1,167255,FALSE,punakõht-nõlvahoko
Penelopina nigra,Highland Guan,higgua1,203692671,FALSE,lokut-nõlvahoko
Penelope argyrotis,Band-tailed Guan,batgua1,167175,FALSE,laidsaba-lotthoko
Penelope barbata,Bearded Guan,beagua1,203915771,FALSE,väike-lotthoko
Penelope ortoni,Baudo Guan,baugua1,168703,FALSE,mustpõsk-lotthoko
Penelope montagnii,Andean Guan,andgua1,591553691,FALSE,andi lotthoko
Penelope marail,Marail Guan,margua1,67615,FALSE,läik-lotthoko
Penelope superciliaris,Rusty-margined Guan,rumgua1,102319,FALSE,brasiilia lotthoko
Penelope dabbenei,Red-faced Guan,refgua1,203985251,FALSE,punapale-lotthoko
Penelope jacquacu,Spix's Guan,spigua1,190225,FALSE,häälis-lotthoko
Penelope purpurascens,Crested Guan,cregua1,173510751,FALSE,suur-lotthoko
Penelope perspicax,Cauca Guan,caugua1,24042071,FALSE,cauca lotthoko
Penelope albipennis,White-winged Guan,whwgua1,13277,FALSE,valgetiib-lotthoko
Penelope obscura,Dusky-legged Guan,dulgua1,17658,FALSE,tõmmu-lotthoko
Penelope pileata,White-crested Guan,whcgua1,203895021,FALSE,ruskepugu-lotthoko
Penelope ochrogaster,Chestnut-bellied Guan,chbgua1,193678891,FALSE,ruskekõht-lotthoko
Penelope jacucaca,White-browed Guan,whbgua1,248626081,FALSE,valgekulm-lotthoko
Pipile pipile,Trinidad Piping-guan,trpgua1,619307334,FALSE,paruk-pugalhoko
Pipile cumanensis,Blue-throated Piping-guan,butpig1,321834561,FALSE,läik-pugalhoko
Pipile grayi,White-throated Piping-guan,butpig2,396896121,FALSE,
Pipile cujubi,Red-throated Piping-guan,rtpgua1,81437,FALSE,amasoonia pugalhoko
Pipile jacutinga,Black-fronted Piping-guan,bfpgua1,184775031,FALSE,palmi-pugalhoko
Aburria aburri,Wattled Guan,watgua1,101066981,FALSE,sireenhoko
Oreophasis derbianus,Horned Guan,horgua1,177575,TRUE,sarvhoko
Ortalis vetula,Plain Chachalaca,placha,172754021,TRUE,võsa-tšatšalaka
Ortalis cinereiceps,Grey-headed Chachalaca,grhcha1,456443461,FALSE,panama tšatšalaka
Ortalis garrula,Chestnut-winged Chachalaca,chwcha1,624280923,FALSE,punatiib-tšatšalaka
Ortalis ruficauda,Rufous-vented Chachalaca,ruvcha1,2320,FALSE,venetsueela tšatšalaka
Ortalis erythroptera,Rufous-headed Chachalaca,ruhcha1,514472621,FALSE,ekuadori tšatšalaka
Ortalis wagleri,Rufous-bellied Chachalaca,rubcha1,49211281,FALSE,punakõht-tšatšalaka
Ortalis poliocephala,West Mexican Chachalaca,wemcha1,153248731,FALSE,suur-tšatšalaka
Ortalis canicollis,Chaco Chachalaca,chacha1,572139481,FALSE,lõuna-tšatšalaka
Ortalis leucogastra,White-bellied Chachalaca,whbcha1,20375,FALSE,valgekõht-tšatšalaka
Ortalis columbiana,Colombian Chachalaca,colcha1,212229,FALSE,kolumbia tšatšalaka
Ortalis guttata,Speckled Chachalaca,specha3,183366391,FALSE,kiripugu-tšatšalaka
Ortalis araucan,East Brasilian Chachalaca,,,FALSE,
Ortalis squamata,Scaled Chachalaca,specha4,332027481,FALSE,
Ortalis motmot,Little Chachalaca,varcha1,78010,FALSE,väike-tšatšalaka
CASUARIIDAE,Cassowaries Emus,,,FALSE,
Casuarius casuarius,Southern Cassowary,soucas1,203989761,TRUE,kiiverkaasuar
Casuarius bennetti,Dwarf Cassowary,dwacas1,203987101,FALSE,väikekaasuar
Casuarius unappendiculatus,Northern Cassowary,norcas1,536563291,FALSE,kaeluskaasuar
Dromaius novaehollandiae,Emu,emu1,623096519,TRUE,emu
†Dromaius minor,King Island Emu,,,FALSE,
†Dromaius baudinianus,Kangoroo Island Emu,,,FALSE,
APTERYGIDAE,Kiwis,,,FALSE,
Apteryx haastii,Great Spotted Kiwi,grskiw1,617700522,TRUE,täpikkiivi
Apteryx owenii,Little Spotted Kiwi,liskiw1,596188651,FALSE,väikekiivi
Apteryx mantelli,Northern Brown Kiwi,nibkiw1,623165890,TRUE,triipkiivi
Apteryx australis,Southern Brown Kiwi,sobkiw1,85614831,FALSE,pruunkiivi
Ortalis superciliaris,Buff-browed Chachalaca,bubcha1,349286621,FALSE,kahkkulm-tšatšalaka
