Scientific Name,en,species_code,macaulay_asset_code,wingspan_bird,fi
STRUTHIONIFORMES,,,,FALSE,
STRUTHIONIDAE,Ostriches,,,FALSE,
Apteryx rowi,Okarito Kiwi,okbkiw1,197661661,FALSE,okaritonruskokiivi
†DINORNITHIDAE,Moas,,,FALSE,
Struthio camelus,Ostrich,ostric2,645938838,FALSE,strutsi/somalianstrutsi
Struhio molybdophanes,Somali Ostrich,ostric3,,FALSE,
†Dinornis gigantheus,Great Moa,,,FALSE,
†Megalapteryx didinus,Lesser Megalapteryx,,,FALSE,
RHEIDAE,Rheas,,,FALSE,
†AEPYORNITHIDAE,Elephantbirds,,,FALSE,
Rhea americana,Greater Rhea,grerhe1,203988441,TRUE,nandu
Rhea pennata,Lesser Rhea,lesrhe2,49399691,FALSE,patagoniannandu
Rhea tarapacensis,Puna Rhea,,,FALSE,patagoniannandu (tarapacensis/garleppi)
†Aepyornis maximus,Elephantbird,,,FALSE,
GALLIFORMES,,,,FALSE,
MEGAPODIIDAE,Megapodes,,,FALSE,
TINAMIDAE,Tinamous,,,FALSE,
Nothocercus julius,Tawny-breasted Tinamou,tabtin1,462300061,FALSE,keltarintatinami
Nothocercus bonapartei,Highland Tinamou,higtin1,871,FALSE,vuoritinami
Nothocercus nigrocapillus,Hooded Tinamou,hootin1,203940161,FALSE,hupputinami
Tinamus tao,Grey Tinamou,grytin1,58702,FALSE,harmaatinami
Tinamus solitarius,Solitary Tinamou,soltin1,18804,FALSE,erakkotinami
Tinamus osgoodi,Black Tinamou,blatin1,60456,FALSE,mustatinami
Tinamus major,Great Tinamou,gretin1,57320,FALSE,isotinami
Tinamus guttatus,White-throated Tinamou,whttin1,31950,FALSE,helmitinami
Crypturellus berlepschi,Berlepsch's Tinamou,bertin1,629455957,FALSE,nokitinami
Crypturellus cinereus,Cinereous Tinamou,cintin1,203696311,FALSE,punapäätinami
Crypturellus ptaritepui,Tepui Tinamou,teptin1,204027571,FALSE,venezuelantinami
Crypturellus soui,Little Tinamou,littin1,117119,TRUE,pikkutinami
Crypturellus obsoletus,Brown Tinamou,brotin1,164251,FALSE,ruskotinami
Crypturellus undulatus,Undulated Tinamou,undtin1,626373802,FALSE,huhuilijatinami
Crypturellus strigulosus,Brazilian Tinamou,bratin1,204022031,FALSE,brasiliantinami
Crypturellus duidae,Grey-legged Tinamou,gyltin1,158883681,FALSE,harmaajalkatinami
Crypturellus erythropus,Red-legged Tinamou,reltin1,461593031,FALSE,punajalkatinami
Crypturellus noctivagus,Yellow-legged Tinamou,yeltin1,385079961,FALSE,keltajalkatinami
Crypturellus atrocapillus,Black-capped Tinamou,blctin1,76049,FALSE,nokipäätinami
Crypturellus occidentalis,Western Thicket Tinamou,,,FALSE,tiheikkötinami (occidentalis)
Crypturellus cinnamomeus,Eastern Thicket Tinamou,thitin1,33206801,FALSE,tiheikkötinami
Crypturellus transfasciatus,Pale-browed Tinamou,pabtin1,143809,FALSE,valkokulmatinami
Crypturellus boucardi,Slaty-breasted Tinamou,slbtin1,127724071,FALSE,huilutinami
Crypturellus kerriae,Choco Tinamou,chotin1,324633271,FALSE,baudovuortentinami
Crypturellus varieagatus,Variegated Tinamou,vartin1,203934011,FALSE,
Crypturellus brevirostris,Rusty Tinamou,rustin1,614660336,FALSE,isohuittitinami
Crypturellus barletti,Barlett's Tinamou,,,FALSE,
Crypturellus casiquiare,Barred Tinamou,bartin1,630722708,FALSE,juovatinami
Crypturellus parvirostris,Small-billed Tinamou,smbtin1,51850,FALSE,nykerötinami
Crypturellus tataupa,Tataupa Tinamou,tattin1,217313,FALSE,huittitinami
Rhynchotus rufescens,Red-winged Tinamou,rewtin1,203696371,FALSE,pampatinami
Nothoprocta taczanowskii,Taczanowski's Tinamu,tactin1,628474647,FALSE,peruntinami
Nothoprocta ornata,Ornate Tinamou,orntin1,609546694,FALSE,pyytinami
Nothoprocta perdicaria,Chilean Tinamou,chitin1,303573,FALSE,chilentinami
Nothoprocta cinerascens,Brushland Tinamou,brutin1,634961756,FALSE,pensastinami
Nothoprocta pentlandii,Andean Tinamou,andtin1,46168,FALSE,andientinami
Nothoprocta curvirostris,Curve-billed Tinamou,cubtin1,633661342,FALSE,käyränokkatinami
Nothura boraquira,White-bellied Nothura,whbnot1,219138941,FALSE,isoviiriäistinami
Nothura minor,Lesser Nothura,lesnot1,424395341,FALSE,viiriäistinami
Nothura darwinii,Darwin's Nothura,darnot1,426123241,FALSE,darwinintinami
Nothura maculosa,Spotted Nothura,sponot1,114397301,TRUE,viirutinami
Nothura chacoensis,Chaco Nothura,,,FALSE,
Taoniscus nanus,Dwarf Tinamou,dwatin1,643569796,FALSE,kääpiötinami
Eudromia elegans,Elegant Crested-Tinamou,elctin1,236936911,FALSE,töyhtötinami
Eudromia formosa,Quebracho Crested-Tinamou,quctin1,626262181,FALSE,suomutöyhtötinami
Tinamotis pentlandii,Puna Tinamou,puntin1,210229,FALSE,punantinami
Tinamotis ingoufi,Patagonian Tinamou,pattin1,612106908,FALSE,patagoniantinami
Alectura lathami,Australian Brush-turkey,ausbrt1,381591551,FALSE,kekokana
Aepypodius arfakianus,Wattled Brush-turkey,watbrt1,,FALSE,helttatalekana
Aepypodius bruijnii,Bruijn's Brush-turkey,brubrt1,,FALSE,vaigeuntalekana
Talegalla cuvieri,Red-billed Brush-turkey,rebbrt1,617189538,FALSE,punanokkatalekana
Talegalla fuscirostris,Black-billed Brush-turkey,bkbbrt1,65819,FALSE,mustanokkatalekana
Talegalla jobiensis,Brown-collared Brush-turkey,bncbrt1,204011051,FALSE,vuoritalekana
Leipoa ocellata,Malleefowl,mallee1,507328321,TRUE,malleekana
Macrocephalon maleo,Maleo,maleo1,210744231,FALSE,vasarapääkana
Eulipoa wallacei,Moluccan Scrubfowl,molscr1,,FALSE,molukkienisojalka
Megapodius nicobariensis,Nicobar Scrubfowl,nicscr1,648533499,FALSE,nikobaarienisojalka
Megapodius cumingii,Philippine Scrubfowl,tabscr1,203893311,FALSE,filippiinienisojalka
Megapodius bernsteinii,Sula Scrubfowl,sulscr1,203905281,FALSE,sulanisojalka
Megapodius tenimberensis,Tanimbar Scrubfowl,tanscr1,616243717,FALSE,tanimbarinisojalka
Megapodius layardi,Vanuatu Scrubfowl,vanscr1,159476231,FALSE,vanuatunisojalka
Megapodius laperouse,Micronesian Scrubfowl,micscr1,140190,FALSE,mariaanienisojalka
Megapodius pritchardii,Polynesian Scrubfowl,niuscr1,,FALSE,niuafounisojalka
Megapodius freycinet,Dusky Scrubfowl,dusscr1,203908891,FALSE,isojalka
Megapodius geelvikanus,Biak Scrubfowl,,,FALSE,
Megapodius decollatus,New Guinea Scrubfowl,negscr1,608353878,FALSE,papuanisojalka
Megapodius eremita,Melanesian Scrubfowl,melscr1,203908291,FALSE,harmaaisojalka
Megapodius reinwardt,Orange-footed Scrubfowl,orfscr1,58969901,TRUE,australianisojalka
CRACIDAE,Guans Chachalacas Curassows,,,FALSE,
Chamaepetes unicolor,Black Guan,blagua1,53957,FALSE,mustasaku
Chamaepetes goudotii,Sickle-winged Guan,siwgua1,167255,FALSE,sirppisiipisaku
Penelopina nigra,Highland Guan,higgua1,203692671,FALSE,ylänkösaku
Penelope argyrotis,Band-tailed Guan,batgua1,167175,FALSE,vuorisaku
Penelope barbata,Bearded Guan,beagua1,203915771,FALSE,partasaku
Penelope ortoni,Baudo Guan,baugua1,168703,FALSE,viidakkosaku
Penelope montagnii,Andean Guan,andgua1,591553691,FALSE,andiensaku
Penelope marail,Marail Guan,margua1,67615,FALSE,viherselkäsaku
Penelope superciliaris,Rusty-margined Guan,rumgua1,102319,FALSE,ruostesaku
Penelope dabbenei,Red-faced Guan,refgua1,203985251,FALSE,punanaamiosaku
Penelope jacquacu,Spix's Guan,spigua1,190225,FALSE,amazoniansaku
Penelope purpurascens,Crested Guan,cregua1,173510751,FALSE,isosaku
Penelope perspicax,Cauca Guan,caugua1,24042071,FALSE,kolumbiansaku
Penelope albipennis,White-winged Guan,whwgua1,13277,FALSE,perunsaku
Penelope obscura,Dusky-legged Guan,dulgua1,17658,FALSE,tummajalkasaku
Penelope pileata,White-crested Guan,whcgua1,203895021,FALSE,valkotöyhtösaku
Penelope ochrogaster,Chestnut-bellied Guan,chbgua1,193678891,FALSE,ruskovatsasaku
Penelope jacucaca,White-browed Guan,whbgua1,248626081,FALSE,valkokulmasaku
Pipile pipile,Trinidad Piping-guan,trpgua1,619307334,FALSE,trinidadinsaku
Pipile cumanensis,Blue-throated Piping-guan,butpig1,321834561,FALSE,sinikurkkusaku
Pipile grayi,White-throated Piping-guan,butpig2,396896121,FALSE,
Pipile cujubi,Red-throated Piping-guan,rtpgua1,81437,FALSE,punakurkkusaku
Pipile jacutinga,Black-fronted Piping-guan,bfpgua1,184775031,FALSE,mustaotsasaku
Aburria aburri,Wattled Guan,watgua1,101066981,FALSE,helttasaku
Oreophasis derbianus,Horned Guan,horgua1,177575,TRUE,sarvisaku
Ortalis vetula,Plain Chachalaca,placha,172754021,TRUE,jukataninkaklattaja
Ortalis cinereiceps,Grey-headed Chachalaca,grhcha1,456443461,FALSE,panamankaklattaja
Ortalis garrula,Chestnut-winged Chachalaca,chwcha1,624280923,FALSE,kolumbiankaklattaja
Ortalis ruficauda,Rufous-vented Chachalaca,ruvcha1,2320,FALSE,punaperäkaklattaja
Ortalis erythroptera,Rufous-headed Chachalaca,ruhcha1,514472621,FALSE,ecuadorinkaklattaja
Ortalis wagleri,Rufous-bellied Chachalaca,rubcha1,49211281,FALSE,kastanjavatsakaklattaja
Ortalis poliocephala,West Mexican Chachalaca,wemcha1,153248731,FALSE,meksikonkaklattaja
Ortalis canicollis,Chaco Chachalaca,chacha1,572139481,FALSE,mustaotsakaklattaja
Ortalis leucogastra,White-bellied Chachalaca,whbcha1,20375,FALSE,valkovatsakaklattaja
Ortalis columbiana,Colombian Chachalaca,colcha1,212229,FALSE,magdalenankaklattaja
Ortalis guttata,Speckled Chachalaca,specha3,183366391,FALSE,suomukaklattaja
Ortalis araucan,East Brasilian Chachalaca,,,FALSE,
Ortalis squamata,Scaled Chachalaca,specha4,332027481,FALSE,idänsuomukaklattaja
Ortalis motmot,Little Chachalaca,varcha1,78010,FALSE,amazoniankaklattaja
CASUARIIDAE,Cassowaries Emus,,,FALSE,
Casuarius casuarius,Southern Cassowary,soucas1,203989761,TRUE,kypäräkasuaari
Casuarius bennetti,Dwarf Cassowary,dwacas1,203987101,FALSE,pikkukasuaari
Casuarius unappendiculatus,Northern Cassowary,norcas1,536563291,FALSE,isokasuaari
Dromaius novaehollandiae,Emu,emu1,623096519,TRUE,emu
†Dromaius minor,King Island Emu,,,FALSE,
†Dromaius baudinianus,Kangoroo Island Emu,,,FALSE,
APTERYGIDAE,Kiwis,,,FALSE,
Apteryx haastii,Great Spotted Kiwi,grskiw1,617700522,TRUE,kirjokiivi
Apteryx owenii,Little Spotted Kiwi,liskiw1,596188651,FALSE,pikkukiivi
Apteryx mantelli,Northern Brown Kiwi,nibkiw1,623165890,TRUE,pohjoissaarenruskokiivi
Apteryx australis,Southern Brown Kiwi,sobkiw1,85614831,FALSE,eteläsaarenruskokiivi
Ortalis superciliaris,Buff-browed Chachalaca,bubcha1,349286621,FALSE,vaaleakulmakaklattaja
Nothocrax urumutum,Nocturnal Curassow,noccur1,34378,FALSE,yöhokko
Crax rubra,Great Curassow,grecur1,398165901,TRUE,aarnihokko
Crax alberti,Blue-billed Curassow,bubcur1,203963551,FALSE,sininokkahokko
Crax daubentoni,Yellow-knobbed Curassow,yekcur1,386558971,FALSE,keltaliuskahokko
