Scientific Name,en,species_code,macaulay_asset_code,wingspan_bird,fr
STRUTHIONIFORMES,,,,FALSE,
STRUTHIONIDAE,Ostriches,,,FALSE,
Apteryx rowi,Okarito Kiwi,okbkiw1,197661661,FALSE,Kiwi d'Okarito
†DINORNITHIDAE,Moas,,,FALSE,
Struthio camelus,Ostrich,ostric2,645938838,FALSE,Autruche d'Afrique ou A. de Somalie
Struhio molybdophanes,Somali Ostrich,ostric3,,FALSE,
†Dinornis gigantheus,Great Moa,,,FALSE,
†Megalapteryx didinus,Lesser Megalapteryx,,,FALSE,
RHEIDAE,Rheas,,,FALSE,
†AEPYORNITHIDAE,Elephantbirds,,,FALSE,
Rhea americana,Greater Rhea,grerhe1,203988441,TRUE,Nandou d'Amérique
Rhea pennata,Lesser Rhea,lesrhe2,49399691,FALSE,Nandou de Darwin
Rhea tarapacensis,Puna Rhea,,,FALSE,Nandou de Darwin [garleppi ou tarapacensis]
†Aepyornis maximus,Elephantbird,,,FALSE,
GALLIFORMES,,,,FALSE,
MEGAPODIIDAE,Megapodes,,,FALSE,
TINAMIDAE,Tinamous,,,FALSE,Tinamou sp.
Nothocercus julius,Tawny-breasted Tinamou,tabtin1,462300061,FALSE,Tinamou à tête rousse
Nothocercus bonapartei,Highland Tinamou,higtin1,871,FALSE,Tinamou de Bonaparte
Nothocercus nigrocapillus,Hooded Tinamou,hootin1,203940161,FALSE,Tinamou à capuchon
Tinamus tao,Grey Tinamou,grytin1,58702,FALSE,Tinamou tao
Tinamus solitarius,Solitary Tinamou,soltin1,18804,FALSE,Tinamou solitaire
Tinamus osgoodi,Black Tinamou,blatin1,60456,FALSE,Tinamou noir
Tinamus major,Great Tinamou,gretin1,57320,FALSE,Grand Tinamou
Tinamus guttatus,White-throated Tinamou,whttin1,31950,FALSE,Tinamou à gorge blanche
Crypturellus berlepschi,Berlepsch's Tinamou,bertin1,629455957,FALSE,Tinamou de Berlepsch
Crypturellus cinereus,Cinereous Tinamou,cintin1,203696311,FALSE,Tinamou cendré ou T. de Berlepsch
Crypturellus ptaritepui,Tepui Tinamou,teptin1,204027571,FALSE,Tinamou des tépuis
Crypturellus soui,Little Tinamou,littin1,117119,TRUE,Tinamou soui
Crypturellus obsoletus,Brown Tinamou,brotin1,164251,FALSE,Tinamou brun
Crypturellus undulatus,Undulated Tinamou,undtin1,626373802,FALSE,Tinamou vermiculé
Crypturellus strigulosus,Brazilian Tinamou,bratin1,204022031,FALSE,Tinamou oariana
Crypturellus duidae,Grey-legged Tinamou,gyltin1,158883681,FALSE,Tinamou de Zimmer
Crypturellus erythropus,Red-legged Tinamou,reltin1,461593031,FALSE,Tinamou à pieds rouges
Crypturellus noctivagus,Yellow-legged Tinamou,yeltin1,385079961,FALSE,Tinamou noctivague cannelle Boucard à pieds rouges de Colombie de Santa Marta ou du Magdalena
Crypturellus atrocapillus,Black-capped Tinamou,blctin1,76049,FALSE,Tinamou à calotte noire
Crypturellus occidentalis,Western Thicket Tinamou,,,FALSE,Tinamou cannelle (occidentalis)
Crypturellus cinnamomeus,Eastern Thicket Tinamou,thitin1,33206801,FALSE,Tinamou cannelle [incl. spencei idoneus]
Crypturellus transfasciatus,Pale-browed Tinamou,pabtin1,143809,FALSE,Tinamou à grands sourcils
Crypturellus boucardi,Slaty-breasted Tinamou,slbtin1,127724071,FALSE,Tinamou de Boucard ou T. à pieds rouges
Crypturellus kerriae,Choco Tinamou,chotin1,324633271,FALSE,Tinamou de Kerr
Crypturellus varieagatus,Variegated Tinamou,vartin1,203934011,FALSE,
Crypturellus brevirostris,Rusty Tinamou,rustin1,614660336,FALSE,Tinamou rubigineux
Crypturellus barletti,Barlett's Tinamou,,,FALSE,
Crypturellus casiquiare,Barred Tinamou,bartin1,630722708,FALSE,Tinamou barré
Crypturellus parvirostris,Small-billed Tinamou,smbtin1,51850,FALSE,Tinamou à petit bec
Crypturellus tataupa,Tataupa Tinamou,tattin1,217313,FALSE,Tinamou tataupa
Rhynchotus rufescens,Red-winged Tinamou,rewtin1,203696371,FALSE,Tinamou isabelle ou T. huayco
Nothoprocta taczanowskii,Taczanowski's Tinamu,tactin1,628474647,FALSE,Tinamou de Taczanowski
Nothoprocta ornata,Ornate Tinamou,orntin1,609546694,FALSE,Tinamou orné
Nothoprocta perdicaria,Chilean Tinamou,chitin1,303573,FALSE,Tinamou perdrix
Nothoprocta cinerascens,Brushland Tinamou,brutin1,634961756,FALSE,Tinamou sauvageon
Nothoprocta pentlandii,Andean Tinamou,andtin1,46168,FALSE,Tinamou des Andes
Nothoprocta curvirostris,Curve-billed Tinamou,cubtin1,633661342,FALSE,Tinamou curvirostre
Nothura boraquira,White-bellied Nothura,whbnot1,219138941,FALSE,Tinamou boraquira
Nothura minor,Lesser Nothura,lesnot1,424395341,FALSE,Petit Tinamou
Nothura darwinii,Darwin's Nothura,darnot1,426123241,FALSE,Tinamou de Darwin
Nothura maculosa,Spotted Nothura,sponot1,114397301,TRUE,Tinamou tacheté
Nothura chacoensis,Chaco Nothura,,,FALSE,Tinamou tacheté (chacoensis)
Taoniscus nanus,Dwarf Tinamou,dwatin1,643569796,FALSE,Tinamou carapé
Eudromia elegans,Elegant Crested-Tinamou,elctin1,236936911,FALSE,Tinamou élégant
Eudromia formosa,Quebracho Crested-Tinamou,quctin1,626262181,FALSE,Tinamou superbe
Tinamotis pentlandii,Puna Tinamou,puntin1,210229,FALSE,Tinamou quioula
Tinamotis ingoufi,Patagonian Tinamou,pattin1,612106908,FALSE,Tinamou de Patagonie
Alectura lathami,Australian Brush-turkey,ausbrt1,381591551,FALSE,Talégalle de Latham
Aepypodius arfakianus,Wattled Brush-turkey,watbrt1,,FALSE,Talégalle des Arfak
Aepypodius bruijnii,Bruijn's Brush-turkey,brubrt1,,FALSE,Talégalle de Bruijn
Talegalla cuvieri,Red-billed Brush-turkey,rebbrt1,617189538,FALSE,Talégalle de Cuvier
Talegalla fuscirostris,Black-billed Brush-turkey,bkbbrt1,65819,FALSE,Talégalle à bec foncé
Talegalla jobiensis,Brown-collared Brush-turkey,bncbrt1,204011051,FALSE,Talégalle de Jobi
Leipoa ocellata,Malleefowl,mallee1,507328321,TRUE,Léipoa Ocellé
Macrocephalon maleo,Maleo,maleo1,210744231,FALSE,Mégapode maléo
Eulipoa wallacei,Moluccan Scrubfowl,molscr1,,FALSE,Mégapode de Wallace
Megapodius nicobariensis,Nicobar Scrubfowl,nicscr1,648533499,FALSE,Mégapode des Nicobar M. des Philippines ou M. de Bernstein
Megapodius cumingii,Philippine Scrubfowl,tabscr1,203893311,FALSE,Mégapode des Philippines
Megapodius bernsteinii,Sula Scrubfowl,sulscr1,203905281,FALSE,Mégapode de Bernstein
Megapodius tenimberensis,Tanimbar Scrubfowl,tanscr1,616243717,FALSE,Mégapode des Tanimbar
Megapodius layardi,Vanuatu Scrubfowl,vanscr1,159476231,FALSE,Mégapode de Layard
Megapodius laperouse,Micronesian Scrubfowl,micscr1,140190,FALSE,Mégapode de La Pérouse
Megapodius pritchardii,Polynesian Scrubfowl,niuscr1,,FALSE,Mégapode de Pritchard
Megapodius freycinet,Dusky Scrubfowl,dusscr1,203908891,FALSE,Mégapode de Freycinet [sensu lato]
Megapodius geelvikanus,Biak Scrubfowl,,,FALSE,
Megapodius decollatus,New Guinea Scrubfowl,negscr1,608353878,FALSE,Mégapode de Nouvelle-Guinée
Megapodius eremita,Melanesian Scrubfowl,melscr1,203908291,FALSE,Mégapode mélanésien
Megapodius reinwardt,Orange-footed Scrubfowl,orfscr1,58969901,TRUE,Mégapode de Reinwardt
CRACIDAE,Guans Chachalacas Curassows,,,FALSE,Cracidé sp.
Chamaepetes unicolor,Black Guan,blagua1,53957,FALSE,Pénélope unicolore
Chamaepetes goudotii,Sickle-winged Guan,siwgua1,167255,FALSE,Pénélope de Goudot
Penelopina nigra,Highland Guan,higgua1,203692671,FALSE,Pénélope pajuil
Penelope argyrotis,Band-tailed Guan,batgua1,167175,FALSE,Pénélope à queue barrée ou P. barbue
Penelope barbata,Bearded Guan,beagua1,203915771,FALSE,Pénélope barbue
Penelope ortoni,Baudo Guan,baugua1,168703,FALSE,Pénélope d'Orton
Penelope montagnii,Andean Guan,andgua1,591553691,FALSE,Pénélope des Andes ou P. d'Orton
Penelope marail,Marail Guan,margua1,67615,FALSE,Pénélope marail
Penelope superciliaris,Rusty-margined Guan,rumgua1,102319,FALSE,Pénélope péoa
Penelope dabbenei,Red-faced Guan,refgua1,203985251,FALSE,Pénélope de Dabbene
Penelope jacquacu,Spix's Guan,spigua1,190225,FALSE,Pénélope de Spix ou P. du Cauca
Penelope purpurascens,Crested Guan,cregua1,173510751,FALSE,Pénélope panachée P. du Cauca ou P. de Spix
Penelope perspicax,Cauca Guan,caugua1,24042071,FALSE,Pénélope du Cauca
Penelope albipennis,White-winged Guan,whwgua1,13277,FALSE,Pénélope à ailes blanches
Penelope obscura,Dusky-legged Guan,dulgua1,17658,FALSE,Pénélope yacouhou P. des yungas P. panachée P. du Cauca ou P. de Spix
Penelope pileata,White-crested Guan,whcgua1,203895021,FALSE,Pénélope à poitrine rousse
Penelope ochrogaster,Chestnut-bellied Guan,chbgua1,193678891,FALSE,Pénélope à ventre roux
Penelope jacucaca,White-browed Guan,whbgua1,248626081,FALSE,Pénélope à front blanc
Pipile pipile,Trinidad Piping-guan,trpgua1,619307334,FALSE,Pénélope siffleuse P. à gorge bleue ou P. cujubi
Pipile cumanensis,Blue-throated Piping-guan,butpig1,321834561,FALSE,Pénélope à gorge bleue ou P. de Gray
Pipile grayi,White-throated Piping-guan,butpig2,396896121,FALSE,Pénélope de Gray
Pipile cujubi,Red-throated Piping-guan,rtpgua1,81437,FALSE,Pénélope cujubi
Pipile jacutinga,Black-fronted Piping-guan,bfpgua1,184775031,FALSE,Pénélope à front noir
Aburria aburri,Wattled Guan,watgua1,101066981,FALSE,Pénélope aburri
Oreophasis derbianus,Horned Guan,horgua1,177575,TRUE,Oréophase cornu
Ortalis vetula,Plain Chachalaca,placha,172754021,TRUE,Ortalide chacamel O. à ventre blanc O. de Wagler ou O. à ventre marron
Ortalis cinereiceps,Grey-headed Chachalaca,grhcha1,456443461,FALSE,Ortalide à tête grise
Ortalis garrula,Chestnut-winged Chachalaca,chwcha1,624280923,FALSE,Ortalide babillarde ou O. à tête grise
Ortalis ruficauda,Rufous-vented Chachalaca,ruvcha1,2320,FALSE,Ortalide à ventre roux
Ortalis erythroptera,Rufous-headed Chachalaca,ruhcha1,514472621,FALSE,Ortalide à tête rousse
Ortalis wagleri,Rufous-bellied Chachalaca,rubcha1,49211281,FALSE,Ortalide à ventre marron
Ortalis poliocephala,West Mexican Chachalaca,wemcha1,153248731,FALSE,Ortalide de Wagler ou O. à ventre marron
Ortalis canicollis,Chaco Chachalaca,chacha1,572139481,FALSE,Ortalide du Chaco
Ortalis leucogastra,White-bellied Chachalaca,whbcha1,20375,FALSE,Ortalide à ventre blanc
Ortalis columbiana,Colombian Chachalaca,colcha1,212229,FALSE,Ortalide de Colombie
Ortalis guttata,Speckled Chachalaca,specha3,183366391,FALSE,Ortalide maillée O. araucuan O. écaillée ou O. de Colombie
Ortalis araucan,East Brasilian Chachalaca,,,FALSE,
Ortalis squamata,Scaled Chachalaca,specha4,332027481,FALSE,Ortalide écaillée [incl. remota]
Ortalis motmot,Little Chachalaca,varcha1,78010,FALSE,Ortalide motmot O. maillée ou O. à sourcils
CASUARIIDAE,Cassowaries Emus,,,FALSE,
Casuarius casuarius,Southern Cassowary,soucas1,203989761,TRUE,Casoar à Casque
