Scientific Name,en,species_code,macaulay_asset_code,wingspan_bird,hr
STRUTHIONIFORMES,,,,FALSE,nojevke
STRUTHIONIDAE,Ostriches,,,FALSE,nojevi
Apteryx rowi,Okarito Kiwi,okbkiw1,197661661,FALSE,sivoglavi kivi
†DINORNITHIDAE,Moas,,,FALSE,moe
Struthio camelus,Ostrich,ostric2,645938838,FALSE,noj
Struhio molybdophanes,Somali Ostrich,ostric3,,FALSE,somalijski noj
†Dinornis gigantheus,Great Moa,,,FALSE,velika moa
†Megalapteryx didinus,Lesser Megalapteryx,,,FALSE,mala moa
RHEIDAE,Rheas,,,FALSE,nandui
†AEPYORNITHIDAE,Elephantbirds,,,FALSE,golemašice
Rhea americana,Greater Rhea,grerhe1,203988441,TRUE,veliki nandu
Rhea pennata,Lesser Rhea,lesrhe2,49399691,FALSE,mali nandu
Rhea tarapacensis,Puna Rhea,,,FALSE,punski nandu
†Aepyornis maximus,Elephantbird,,,FALSE,divovska golemašica
GALLIFORMES,,,,FALSE,kokoške
MEGAPODIIDAE,Megapodes,,,FALSE,kokošine
TINAMIDAE,Tinamous,,,FALSE,tinamui
Nothocercus julius,Tawny-breasted Tinamou,tabtin1,462300061,FALSE,bjelogrli tinamu
Nothocercus bonapartei,Highland Tinamou,higtin1,871,FALSE,bonaparteov tinamu
Nothocercus nigrocapillus,Hooded Tinamou,hootin1,203940161,FALSE,crnoglavi tinamu
Tinamus tao,Grey Tinamou,grytin1,58702,FALSE,sivi tinamu
Tinamus solitarius,Solitary Tinamou,soltin1,18804,FALSE,paragvajski tinamu
Tinamus osgoodi,Black Tinamou,blatin1,60456,FALSE,crni tinamu
Tinamus major,Great Tinamou,gretin1,57320,FALSE,maslinasti tinamu
Tinamus guttatus,White-throated Tinamou,whttin1,31950,FALSE,pjegavi tinamu
Crypturellus berlepschi,Berlepsch's Tinamou,bertin1,629455957,FALSE,ekvadorski tinamu
Crypturellus cinereus,Cinereous Tinamou,cintin1,203696311,FALSE,pepeljasti tinamu
Crypturellus ptaritepui,Tepui Tinamou,teptin1,204027571,FALSE,tepujski tinamu
Crypturellus soui,Little Tinamou,littin1,117119,TRUE,mali tinamu
Crypturellus obsoletus,Brown Tinamou,brotin1,164251,FALSE,smeđi tinamu
Crypturellus undulatus,Undulated Tinamou,undtin1,626373802,FALSE,prugasti tinamu
Crypturellus strigulosus,Brazilian Tinamou,bratin1,204022031,FALSE,brazilski tinamu
Crypturellus duidae,Grey-legged Tinamou,gyltin1,158883681,FALSE,sivonogi tinamu
Crypturellus erythropus,Red-legged Tinamou,reltin1,461593031,FALSE,crvenonogi tinamu
Crypturellus noctivagus,Yellow-legged Tinamou,yeltin1,385079961,FALSE,žutonogi tinamu
Crypturellus atrocapillus,Black-capped Tinamou,blctin1,76049,FALSE,tamnokapi tinamu
Crypturellus occidentalis,Western Thicket Tinamou,,,FALSE,sivoprsi tinamu
Crypturellus cinnamomeus,Eastern Thicket Tinamou,thitin1,33206801,FALSE,cimetasti tinamu
Crypturellus transfasciatus,Pale-browed Tinamou,pabtin1,143809,FALSE,obrvasti tinamu
Crypturellus boucardi,Slaty-breasted Tinamou,slbtin1,127724071,FALSE,srednjoamerički tinamu
Crypturellus kerriae,Choco Tinamou,chotin1,324633271,FALSE,mrki tinamu
Crypturellus varieagatus,Variegated Tinamou,vartin1,203934011,FALSE,riđovrati tinamu
Crypturellus brevirostris,Rusty Tinamou,rustin1,614660336,FALSE,riđi tinamu
Crypturellus barletti,Barlett's Tinamou,,,FALSE,barlettov tinamu
Crypturellus casiquiare,Barred Tinamou,bartin1,630722708,FALSE,šareni tinamu
Crypturellus parvirostris,Small-billed Tinamou,smbtin1,51850,FALSE,kratkokljuni tinamu
Crypturellus tataupa,Tataupa Tinamou,tattin1,217313,FALSE,pjegavoboki tinamu
Rhynchotus rufescens,Red-winged Tinamou,rewtin1,203696371,FALSE,crvenokrili tinamu
Nothoprocta taczanowskii,Taczanowski's Tinamu,tactin1,628474647,FALSE,krivokljuni tinamu
Nothoprocta ornata,Ornate Tinamou,orntin1,609546694,FALSE,šarenokrili tinamu
Nothoprocta perdicaria,Chilean Tinamou,chitin1,303573,FALSE,čilski tinamu
Nothoprocta cinerascens,Brushland Tinamou,brutin1,634961756,FALSE,pjegavoprsi tinamu
Nothoprocta pentlandii,Andean Tinamou,andtin1,46168,FALSE,andski tinamu
Nothoprocta curvirostris,Curve-billed Tinamou,cubtin1,633661342,FALSE,crvenoprsi tinamu
Nothura boraquira,White-bellied Nothura,whbnot1,219138941,FALSE,prugastovrati tinamu
Nothura minor,Lesser Nothura,lesnot1,424395341,FALSE,pjegavovrati tinamu
Nothura darwinii,Darwin's Nothura,darnot1,426123241,FALSE,darwinov tinamu
Nothura maculosa,Spotted Nothura,sponot1,114397301,TRUE,pjegavokrili tinamu
Nothura chacoensis,Chaco Nothura,,,FALSE,prugastoleđi tinamu
Taoniscus nanus,Dwarf Tinamou,dwatin1,643569796,FALSE,patuljasti tinamu
Eudromia elegans,Elegant Crested-Tinamou,elctin1,236936911,FALSE,kukmasti tinamu
Eudromia formosa,Quebracho Crested-Tinamou,quctin1,626262181,FALSE,troprsti tinamu
Tinamotis pentlandii,Puna Tinamou,puntin1,210229,FALSE,punski tinamu
Tinamotis ingoufi,Patagonian Tinamou,pattin1,612106908,FALSE,patagonski tinamu
Alectura lathami,Australian Brush-turkey,ausbrt1,381591551,FALSE,crvenovrata kokošina
Aepypodius arfakianus,Wattled Brush-turkey,watbrt1,,FALSE,bjelogrla kokošina
Aepypodius bruijnii,Bruijn's Brush-turkey,brubrt1,,FALSE,riđoprsa kokošina
Talegalla cuvieri,Red-billed Brush-turkey,rebbrt1,617189538,FALSE,crvenokljuna kokošina
