Scientific Name,en,species_code,macaulay_asset_code,wingspan_bird,hu
STRUTHIONIFORMES,,,,FALSE,
STRUTHIONIDAE,Ostriches,,,FALSE,
Apteryx rowi,Okarito Kiwi,okbkiw1,197661661,FALSE,okaritói barna kivi
†DINORNITHIDAE,Moas,,,FALSE,
Struthio camelus,Ostrich,ostric2,645938838,FALSE,
Struhio molybdophanes,Somali Ostrich,ostric3,,FALSE,
†Dinornis gigantheus,Great Moa,,,FALSE,
†Megalapteryx didinus,Lesser Megalapteryx,,,FALSE,
RHEIDAE,Rheas,,,FALSE,
†AEPYORNITHIDAE,Elephantbirds,,,FALSE,
Rhea americana,Greater Rhea,grerhe1,203988441,TRUE,nandu
Rhea pennata,Lesser Rhea,lesrhe2,49399691,FALSE,Darwin-nandu
Rhea tarapacensis,Puna Rhea,,,FALSE,
†Aepyornis maximus,Elephantbird,,,FALSE,
GALLIFORMES,,,,FALSE,
MEGAPODIIDAE,Megapodes,,,FALSE,
TINAMIDAE,Tinamous,,,FALSE,
Nothocercus julius,Tawny-breasted Tinamou,tabtin1,462300061,FALSE,
Nothocercus bonapartei,Highland Tinamou,higtin1,871,FALSE,Bonaparte-tinamu
Nothocercus nigrocapillus,Hooded Tinamou,hootin1,203940161,FALSE,
Tinamus tao,Grey Tinamou,grytin1,58702,FALSE,szürke tinamu
Tinamus solitarius,Solitary Tinamou,soltin1,18804,FALSE,remetetinamu
Tinamus osgoodi,Black Tinamou,blatin1,60456,FALSE,fekete tinamu
Tinamus major,Great Tinamou,gretin1,57320,FALSE,nagy tinamu
Tinamus guttatus,White-throated Tinamou,whttin1,31950,FALSE,fehértorkú tinamu
Crypturellus berlepschi,Berlepsch's Tinamou,bertin1,629455957,FALSE,Berlepsch-tinamu
Crypturellus cinereus,Cinereous Tinamou,cintin1,203696311,FALSE,
Crypturellus ptaritepui,Tepui Tinamou,teptin1,204027571,FALSE,
Crypturellus soui,Little Tinamou,littin1,117119,TRUE,apró tinamu
Crypturellus obsoletus,Brown Tinamou,brotin1,164251,FALSE,
Crypturellus undulatus,Undulated Tinamou,undtin1,626373802,FALSE,hullámos tinamu
Crypturellus strigulosus,Brazilian Tinamou,bratin1,204022031,FALSE,brazil tinamu
Crypturellus duidae,Grey-legged Tinamou,gyltin1,158883681,FALSE,
Crypturellus erythropus,Red-legged Tinamou,reltin1,461593031,FALSE,
Crypturellus noctivagus,Yellow-legged Tinamou,yeltin1,385079961,FALSE,
Crypturellus atrocapillus,Black-capped Tinamou,blctin1,76049,FALSE,
Crypturellus occidentalis,Western Thicket Tinamou,,,FALSE,
Crypturellus cinnamomeus,Eastern Thicket Tinamou,thitin1,33206801,FALSE,
Crypturellus transfasciatus,Pale-browed Tinamou,pabtin1,143809,FALSE,
Crypturellus boucardi,Slaty-breasted Tinamou,slbtin1,127724071,FALSE,
Crypturellus kerriae,Choco Tinamou,chotin1,324633271,FALSE,
Crypturellus varieagatus,Variegated Tinamou,vartin1,203934011,FALSE,
Crypturellus brevirostris,Rusty Tinamou,rustin1,614660336,FALSE,
Crypturellus barletti,Barlett's Tinamou,,,FALSE,
Crypturellus casiquiare,Barred Tinamou,bartin1,630722708,FALSE,
Crypturellus parvirostris,Small-billed Tinamou,smbtin1,51850,FALSE,kiscsőrű fürjtinamu
Crypturellus tataupa,Tataupa Tinamou,tattin1,217313,FALSE,Tataupa-tinamu
Rhynchotus rufescens,Red-winged Tinamou,rewtin1,203696371,FALSE,
Nothoprocta taczanowskii,Taczanowski's Tinamu,tactin1,628474647,FALSE,Taczanowski-tinamu
Nothoprocta ornata,Ornate Tinamou,orntin1,609546694,FALSE,
Nothoprocta perdicaria,Chilean Tinamou,chitin1,303573,FALSE,chilei tinamu
Nothoprocta cinerascens,Brushland Tinamou,brutin1,634961756,FALSE,
Nothoprocta pentlandii,Andean Tinamou,andtin1,46168,FALSE,
Nothoprocta curvirostris,Curve-billed Tinamou,cubtin1,633661342,FALSE,
Nothura boraquira,White-bellied Nothura,whbnot1,219138941,FALSE,
Nothura minor,Lesser Nothura,lesnot1,424395341,FALSE,
Nothura darwinii,Darwin's Nothura,darnot1,426123241,FALSE,
Nothura maculosa,Spotted Nothura,sponot1,114397301,TRUE,foltos tinamu
Nothura chacoensis,Chaco Nothura,,,FALSE,
Taoniscus nanus,Dwarf Tinamou,dwatin1,643569796,FALSE,
Eudromia elegans,Elegant Crested-Tinamou,elctin1,236936911,FALSE,gyöngyös tinamu
Eudromia formosa,Quebracho Crested-Tinamou,quctin1,626262181,FALSE,
Tinamotis pentlandii,Puna Tinamou,puntin1,210229,FALSE,
Tinamotis ingoufi,Patagonian Tinamou,pattin1,612106908,FALSE,
Alectura lathami,Australian Brush-turkey,ausbrt1,381591551,FALSE,talegallatyúk
Aepypodius arfakianus,Wattled Brush-turkey,watbrt1,,FALSE,
Aepypodius bruijnii,Bruijn's Brush-turkey,brubrt1,,FALSE,
Talegalla cuvieri,Red-billed Brush-turkey,rebbrt1,617189538,FALSE,vöröscsőrű talegallatyúk
Talegalla fuscirostris,Black-billed Brush-turkey,bkbbrt1,65819,FALSE,feketecsőrű talegallatyúk
Talegalla jobiensis,Brown-collared Brush-turkey,bncbrt1,204011051,FALSE,galléros talegallatyúk
Leipoa ocellata,Malleefowl,mallee1,507328321,TRUE,homoki lábastyúk
Macrocephalon maleo,Maleo,maleo1,210744231,FALSE,kalapácsfejű tyúk
Eulipoa wallacei,Moluccan Scrubfowl,molscr1,,FALSE,maluku-szigeteki ásótyúk
Megapodius nicobariensis,Nicobar Scrubfowl,nicscr1,648533499,FALSE,
Megapodius cumingii,Philippine Scrubfowl,tabscr1,203893311,FALSE,fülöp-szigeteki ásótyúk
Megapodius bernsteinii,Sula Scrubfowl,sulscr1,203905281,FALSE,sula-szigeteki ásótyúk
Megapodius tenimberensis,Tanimbar Scrubfowl,tanscr1,616243717,FALSE,tanimbar-szigeteki ásótyúk
Megapodius layardi,Vanuatu Scrubfowl,vanscr1,159476231,FALSE,vanuatui ásótyúk
Megapodius laperouse,Micronesian Scrubfowl,micscr1,140190,FALSE,mariana-szigeteki ásótyúk
Megapodius pritchardii,Polynesian Scrubfowl,niuscr1,,FALSE,tongai ásótyúk
Megapodius freycinet,Dusky Scrubfowl,dusscr1,203908891,FALSE,
Megapodius geelvikanus,Biak Scrubfowl,,,FALSE,
Megapodius decollatus,New Guinea Scrubfowl,negscr1,608353878,FALSE,új-guineai ásótyúk
Megapodius eremita,Melanesian Scrubfowl,melscr1,203908291,FALSE,melanéz ásótyúk
Megapodius reinwardt,Orange-footed Scrubfowl,orfscr1,58969901,TRUE,
CRACIDAE,Guans Chachalacas Curassows,,,FALSE,
Chamaepetes unicolor,Black Guan,blagua1,53957,FALSE,fekete guán
Chamaepetes goudotii,Sickle-winged Guan,siwgua1,167255,FALSE,sarlósszárnyú guán
Penelopina nigra,Highland Guan,higgua1,203692671,FALSE,szurdokguán
Penelope argyrotis,Band-tailed Guan,batgua1,167175,FALSE,
Penelope barbata,Bearded Guan,beagua1,203915771,FALSE,
Penelope ortoni,Baudo Guan,baugua1,168703,FALSE,
Penelope montagnii,Andean Guan,andgua1,591553691,FALSE,
Penelope marail,Marail Guan,margua1,67615,FALSE,
Penelope superciliaris,Rusty-margined Guan,rumgua1,102319,FALSE,
Penelope dabbenei,Red-faced Guan,refgua1,203985251,FALSE,
Penelope jacquacu,Spix's Guan,spigua1,190225,FALSE,
Penelope purpurascens,Crested Guan,cregua1,173510751,FALSE,
Penelope perspicax,Cauca Guan,caugua1,24042071,FALSE,Kauka-guán
Penelope albipennis,White-winged Guan,whwgua1,13277,FALSE,fehérszárnyú sakutyúk
Penelope obscura,Dusky-legged Guan,dulgua1,17658,FALSE,
Penelope pileata,White-crested Guan,whcgua1,203895021,FALSE,fehérkontyos sakutyúk
Penelope ochrogaster,Chestnut-bellied Guan,chbgua1,193678891,FALSE,vöröshasú sakutyúk
Penelope jacucaca,White-browed Guan,whbgua1,248626081,FALSE,
Pipile pipile,Trinidad Piping-guan,trpgua1,619307334,FALSE,
Pipile cumanensis,Blue-throated Piping-guan,butpig1,321834561,FALSE,
Pipile grayi,White-throated Piping-guan,butpig2,396896121,FALSE,
Pipile cujubi,Red-throated Piping-guan,rtpgua1,81437,FALSE,vöröstorkú guán
Pipile jacutinga,Black-fronted Piping-guan,bfpgua1,184775031,FALSE,pápaszemes guán
Aburria aburri,Wattled Guan,watgua1,101066981,FALSE,lebenyes guán
Oreophasis derbianus,Horned Guan,horgua1,177575,TRUE,pirosszarvú guán
Ortalis vetula,Plain Chachalaca,placha,172754021,TRUE,
Ortalis cinereiceps,Grey-headed Chachalaca,grhcha1,456443461,FALSE,szürkefejű erdeityúk
Ortalis garrula,Chestnut-winged Chachalaca,chwcha1,624280923,FALSE,
Ortalis ruficauda,Rufous-vented Chachalaca,ruvcha1,2320,FALSE,vöröstorkú erdeityúk
Ortalis erythroptera,Rufous-headed Chachalaca,ruhcha1,514472621,FALSE,
Ortalis wagleri,Rufous-bellied Chachalaca,rubcha1,49211281,FALSE,
Ortalis poliocephala,West Mexican Chachalaca,wemcha1,153248731,FALSE,
Ortalis canicollis,Chaco Chachalaca,chacha1,572139481,FALSE,szürkenyakú erdeityúk
Ortalis leucogastra,White-bellied Chachalaca,whbcha1,20375,FALSE,
Ortalis columbiana,Colombian Chachalaca,colcha1,212229,FALSE,
Ortalis guttata,Speckled Chachalaca,specha3,183366391,FALSE,
Ortalis araucan,East Brasilian Chachalaca,,,FALSE,
Ortalis squamata,Scaled Chachalaca,specha4,332027481,FALSE,
Ortalis motmot,Little Chachalaca,varcha1,78010,FALSE,
CASUARIIDAE,Cassowaries Emus,,,FALSE,
Casuarius casuarius,Southern Cassowary,soucas1,203989761,TRUE,sisakos kazuár
Casuarius bennetti,Dwarf Cassowary,dwacas1,203987101,FALSE,Bennett-kazuár
Casuarius unappendiculatus,Northern Cassowary,norcas1,536563291,FALSE,északi kazuár
Dromaius novaehollandiae,Emu,emu1,623096519,TRUE,emu
†Dromaius minor,King Island Emu,,,FALSE,
†Dromaius baudinianus,Kangoroo Island Emu,,,FALSE,
APTERYGIDAE,Kiwis,,,FALSE,
Apteryx haastii,Great Spotted Kiwi,grskiw1,617700522,TRUE,nagy foltos kivi
Apteryx owenii,Little Spotted Kiwi,liskiw1,596188651,FALSE,kis foltos kivi
Apteryx mantelli,Northern Brown Kiwi,nibkiw1,623165890,TRUE,északi-szigeti barna kivi
Apteryx australis,Southern Brown Kiwi,sobkiw1,85614831,FALSE,
Ortalis superciliaris,Buff-browed Chachalaca,bubcha1,349286621,FALSE,
Nothocrax urumutum,Nocturnal Curassow,noccur1,34378,FALSE,bagolyhokkó
Crax rubra,Great Curassow,grecur1,398165901,TRUE,nagy hokkó
Crax alberti,Blue-billed Curassow,bubcur1,203963551,FALSE,
Crax daubentoni,Yellow-knobbed Curassow,yekcur1,386558971,FALSE,sárgabütykös hokkó
Crax alector,Black Curassow,blacur1,322191801,FALSE,fekete hokkó
Crax fasciolata,Bare-faced Curassow,bafcur1,203894921,FALSE,csupaszarcú hokkó
Crax pinima,Belem Curassow,,,FALSE,
Crax globulosa,Wattled Curassow,watcur1,219106901,FALSE,pirosbütykös hokkó
Crax blumenbachii,Red-billed Curassow,rebcur1,625223109,FALSE,piroscsőrű hokkó
Mitu tomentosum,Crestless Curassow,crecur2,317505041,FALSE,
Mitu mitu,Alagoas Curassow,alacur1,,FALSE,csupaszfülű mitu
Mitu tuberosum,Razor-billed Curassow,rabcur2,559592971,FALSE,amazonasi hokkó
