Scientific Name,en,species_code,macaulay_asset_code,wingspan_bird,it
STRUTHIONIFORMES,,,,FALSE,
STRUTHIONIDAE,Ostriches,,,FALSE,
Apteryx rowi,Okarito Kiwi,okbkiw1,197661661,FALSE,Kiwi bruno di Okarito
†DINORNITHIDAE,Moas,,,FALSE,
Struthio camelus,Ostrich,ostric2,645938838,FALSE,
Struhio molybdophanes,Somali Ostrich,ostric3,,FALSE,
†Dinornis gigantheus,Great Moa,,,FALSE,
†Megalapteryx didinus,Lesser Megalapteryx,,,FALSE,
RHEIDAE,Rheas,,,FALSE,
†AEPYORNITHIDAE,Elephantbirds,,,FALSE,
Rhea americana,Greater Rhea,grerhe1,203988441,TRUE,Nandù
Rhea pennata,Lesser Rhea,lesrhe2,49399691,FALSE,Nandù minore
Rhea tarapacensis,Puna Rhea,,,FALSE,
†Aepyornis maximus,Elephantbird,,,FALSE,
GALLIFORMES,,,,FALSE,
MEGAPODIIDAE,Megapodes,,,FALSE,
TINAMIDAE,Tinamous,,,FALSE,
Nothocercus julius,Tawny-breasted Tinamou,tabtin1,462300061,FALSE,Tinamo pettofulvo
Nothocercus bonapartei,Highland Tinamou,higtin1,871,FALSE,Tinamo delle alture
Nothocercus nigrocapillus,Hooded Tinamou,hootin1,203940161,FALSE,Tinamo monaco
Tinamus tao,Grey Tinamou,grytin1,58702,FALSE,Tinamo grigio
Tinamus solitarius,Solitary Tinamou,soltin1,18804,FALSE,Tinamo solitario
Tinamus osgoodi,Black Tinamou,blatin1,60456,FALSE,Tinamo nero
Tinamus major,Great Tinamou,gretin1,57320,FALSE,Tinamo grosso
Tinamus guttatus,White-throated Tinamou,whttin1,31950,FALSE,Tinamo golabianca
Crypturellus berlepschi,Berlepsch's Tinamou,bertin1,629455957,FALSE,Tinamo di Berlepsch
Crypturellus cinereus,Cinereous Tinamou,cintin1,203696311,FALSE,
Crypturellus ptaritepui,Tepui Tinamou,teptin1,204027571,FALSE,Tinamo dei tepui
Crypturellus soui,Little Tinamou,littin1,117119,TRUE,Tinamo piccolo
Crypturellus obsoletus,Brown Tinamou,brotin1,164251,FALSE,Tinamo bruno
Crypturellus undulatus,Undulated Tinamou,undtin1,626373802,FALSE,Tinamo vermicolato
Crypturellus strigulosus,Brazilian Tinamou,bratin1,204022031,FALSE,Tinamo del Brasile
Crypturellus duidae,Grey-legged Tinamou,gyltin1,158883681,FALSE,Tinamo zampegrigie
Crypturellus erythropus,Red-legged Tinamou,reltin1,461593031,FALSE,Tinamo zamperosse
Crypturellus noctivagus,Yellow-legged Tinamou,yeltin1,385079961,FALSE,
Crypturellus atrocapillus,Black-capped Tinamou,blctin1,76049,FALSE,Tinamo capinero
Crypturellus occidentalis,Western Thicket Tinamou,,,FALSE,
Crypturellus cinnamomeus,Eastern Thicket Tinamou,thitin1,33206801,FALSE,
Crypturellus transfasciatus,Pale-browed Tinamou,pabtin1,143809,FALSE,Tinamo dai sopraccigli
Crypturellus boucardi,Slaty-breasted Tinamou,slbtin1,127724071,FALSE,
Crypturellus kerriae,Choco Tinamou,chotin1,324633271,FALSE,Tinamo del Chocò
Crypturellus varieagatus,Variegated Tinamou,vartin1,203934011,FALSE,
Crypturellus brevirostris,Rusty Tinamou,rustin1,614660336,FALSE,Tinamo rugginoso
Crypturellus barletti,Barlett's Tinamou,,,FALSE,
Crypturellus casiquiare,Barred Tinamou,bartin1,630722708,FALSE,Tinamo barrato
Crypturellus parvirostris,Small-billed Tinamou,smbtin1,51850,FALSE,Tinamo beccopiccolo
Crypturellus tataupa,Tataupa Tinamou,tattin1,217313,FALSE,Tinamo tataupa
Rhynchotus rufescens,Red-winged Tinamou,rewtin1,203696371,FALSE,
Nothoprocta taczanowskii,Taczanowski's Tinamu,tactin1,628474647,FALSE,Tinamo di Taczanowski
Nothoprocta ornata,Ornate Tinamou,orntin1,609546694,FALSE,Tinamo ornato
Nothoprocta perdicaria,Chilean Tinamou,chitin1,303573,FALSE,Tinamo del Cile
Nothoprocta cinerascens,Brushland Tinamou,brutin1,634961756,FALSE,Tinamo di macchia
Nothoprocta pentlandii,Andean Tinamou,andtin1,46168,FALSE,Tinamo delle Ande
Nothoprocta curvirostris,Curve-billed Tinamou,cubtin1,633661342,FALSE,Tinamo beccocurvo
Nothura boraquira,White-bellied Nothura,whbnot1,219138941,FALSE,Tinamo panciabianca
Nothura minor,Lesser Nothura,lesnot1,424395341,FALSE,Tinamo minore
Nothura darwinii,Darwin's Nothura,darnot1,426123241,FALSE,Tinamo di Darwin
Nothura maculosa,Spotted Nothura,sponot1,114397301,TRUE,Tinamo macchiato
Nothura chacoensis,Chaco Nothura,,,FALSE,
Taoniscus nanus,Dwarf Tinamou,dwatin1,643569796,FALSE,Tinamo nano
Eudromia elegans,Elegant Crested-Tinamou,elctin1,236936911,FALSE,Martinetta dal ciuffo
Eudromia formosa,Quebracho Crested-Tinamou,quctin1,626262181,FALSE,Martinetta del quebracho
Tinamotis pentlandii,Puna Tinamou,puntin1,210229,FALSE,Tinamo della puna
Tinamotis ingoufi,Patagonian Tinamou,pattin1,612106908,FALSE,Tinamo di Patagonia
Alectura lathami,Australian Brush-turkey,ausbrt1,381591551,FALSE,Megapodio australiano
Aepypodius arfakianus,Wattled Brush-turkey,watbrt1,,FALSE,Megapodio dal bargiglio
Aepypodius bruijnii,Bruijn's Brush-turkey,brubrt1,,FALSE,Megapodio di Bruijn
Talegalla cuvieri,Red-billed Brush-turkey,rebbrt1,617189538,FALSE,Megapodio beccorosso
Talegalla fuscirostris,Black-billed Brush-turkey,bkbbrt1,65819,FALSE,Megapodio becconero
Talegalla jobiensis,Brown-collared Brush-turkey,bncbrt1,204011051,FALSE,Megapodio dal collare
Leipoa ocellata,Malleefowl,mallee1,507328321,TRUE,Megapodio del mallee
Macrocephalon maleo,Maleo,maleo1,210744231,FALSE,Maleo
Eulipoa wallacei,Moluccan Scrubfowl,molscr1,,FALSE,Megapodio delle Molucche
Megapodius nicobariensis,Nicobar Scrubfowl,nicscr1,648533499,FALSE,
Megapodius cumingii,Philippine Scrubfowl,tabscr1,203893311,FALSE,Megapodio tabon
Megapodius bernsteinii,Sula Scrubfowl,sulscr1,203905281,FALSE,Megapodio delle Sula
Megapodius tenimberensis,Tanimbar Scrubfowl,tanscr1,616243717,FALSE,Megapodio delle Tanimbar
Megapodius layardi,Vanuatu Scrubfowl,vanscr1,159476231,FALSE,Megapodio delle Vanuatu
Megapodius laperouse,Micronesian Scrubfowl,micscr1,140190,FALSE,Megapodio di Micronesia
Megapodius pritchardii,Polynesian Scrubfowl,niuscr1,,FALSE,Megapodio di Niuafoou
Megapodius freycinet,Dusky Scrubfowl,dusscr1,203908891,FALSE,
Megapodius geelvikanus,Biak Scrubfowl,,,FALSE,
Megapodius decollatus,New Guinea Scrubfowl,negscr1,608353878,FALSE,Megapodio papua
Megapodius eremita,Melanesian Scrubfowl,melscr1,203908291,FALSE,Megapodio di Melanesia
Megapodius reinwardt,Orange-footed Scrubfowl,orfscr1,58969901,TRUE,
CRACIDAE,Guans Chachalacas Curassows,,,FALSE,
Chamaepetes unicolor,Black Guan,blagua1,53957,FALSE,Guan nero
Chamaepetes goudotii,Sickle-winged Guan,siwgua1,167255,FALSE,Guan alifalcate
Penelopina nigra,Highland Guan,higgua1,203692671,FALSE,Guan delle alture
Penelope argyrotis,Band-tailed Guan,batgua1,167175,FALSE,
Penelope barbata,Bearded Guan,beagua1,203915771,FALSE,Guan barbuto
Penelope ortoni,Baudo Guan,baugua1,168703,FALSE,Guan di Baudò
Penelope montagnii,Andean Guan,andgua1,591553691,FALSE,
Penelope marail,Marail Guan,margua1,67615,FALSE,Guan marail
Penelope superciliaris,Rusty-margined Guan,rumgua1,102319,FALSE,Guan alirossicce
Penelope dabbenei,Red-faced Guan,refgua1,203985251,FALSE,Guan facciarossa
Penelope jacquacu,Spix's Guan,spigua1,190225,FALSE,
Penelope purpurascens,Crested Guan,cregua1,173510751,FALSE,
Penelope perspicax,Cauca Guan,caugua1,24042071,FALSE,Guan di Cauca
Penelope albipennis,White-winged Guan,whwgua1,13277,FALSE,Guan alibianche
Penelope obscura,Dusky-legged Guan,dulgua1,17658,FALSE,
Penelope pileata,White-crested Guan,whcgua1,203895021,FALSE,Guan crestabianca
Penelope ochrogaster,Chestnut-bellied Guan,chbgua1,193678891,FALSE,Guan panciacastana
Penelope jacucaca,White-browed Guan,whbgua1,248626081,FALSE,Guan cigliabianche
Pipile pipile,Trinidad Piping-guan,trpgua1,619307334,FALSE,
Pipile cumanensis,Blue-throated Piping-guan,butpig1,321834561,FALSE,
Pipile grayi,White-throated Piping-guan,butpig2,396896121,FALSE,
Pipile cujubi,Red-throated Piping-guan,rtpgua1,81437,FALSE,Guan fischiatore golarossa
Pipile jacutinga,Black-fronted Piping-guan,bfpgua1,184775031,FALSE,Guan fischiatore frontenera
Aburria aburri,Wattled Guan,watgua1,101066981,FALSE,Guan dal bargiglio
Oreophasis derbianus,Horned Guan,horgua1,177575,TRUE,Guan cornuto
Ortalis vetula,Plain Chachalaca,placha,172754021,TRUE,
Ortalis cinereiceps,Grey-headed Chachalaca,grhcha1,456443461,FALSE,Ciacialaca testagrigia
Ortalis garrula,Chestnut-winged Chachalaca,chwcha1,624280923,FALSE,
Ortalis ruficauda,Rufous-vented Chachalaca,ruvcha1,2320,FALSE,Ciacialaca culorossiccio
Ortalis erythroptera,Rufous-headed Chachalaca,ruhcha1,514472621,FALSE,Ciacialaca testarossiccia
Ortalis wagleri,Rufous-bellied Chachalaca,rubcha1,49211281,FALSE,Ciacialaca panciarossiccia
Ortalis poliocephala,West Mexican Chachalaca,wemcha1,153248731,FALSE,
Ortalis canicollis,Chaco Chachalaca,chacha1,572139481,FALSE,Ciacialaca del chaco
Ortalis leucogastra,White-bellied Chachalaca,whbcha1,20375,FALSE,Ciacialaca panciabianca
Ortalis columbiana,Colombian Chachalaca,colcha1,212229,FALSE,Ciacialaca colombiano
Ortalis guttata,Speckled Chachalaca,specha3,183366391,FALSE,
Ortalis araucan,East Brasilian Chachalaca,,,FALSE,
Ortalis squamata,Scaled Chachalaca,specha4,332027481,FALSE,
Ortalis motmot,Little Chachalaca,varcha1,78010,FALSE,
CASUARIIDAE,Cassowaries Emus,,,FALSE,
Casuarius casuarius,Southern Cassowary,soucas1,203989761,TRUE,Casuario meridionale
Casuarius bennetti,Dwarf Cassowary,dwacas1,203987101,FALSE,Casuario nano
Casuarius unappendiculatus,Northern Cassowary,norcas1,536563291,FALSE,Casuario settentrionale
Dromaius novaehollandiae,Emu,emu1,623096519,TRUE,Emù
†Dromaius minor,King Island Emu,,,FALSE,
†Dromaius baudinianus,Kangoroo Island Emu,,,FALSE,
APTERYGIDAE,Kiwis,,,FALSE,
Apteryx haastii,Great Spotted Kiwi,grskiw1,617700522,TRUE,Kiwi macchiato maggiore
Apteryx owenii,Little Spotted Kiwi,liskiw1,596188651,FALSE,Kiwi macchiato minore
Apteryx mantelli,North Island Brown Kiwi,nibkiw1,623165890,TRUE,Kiwi bruno settentrionale
Apteryx australis,Southern Brown Kiwi,sobkiw1,85614831,FALSE,
Ortalis superciliaris,Buff-browed Chachalaca,bubcha1,349286621,FALSE,Ciacialaca cigliacamoscio
Nothocrax urumutum,Nocturnal Curassow,noccur1,34378,FALSE,Hocco notturno
Crax rubra,Great Curassow,grecur1,398165901,TRUE,Hocco maggiore
Crax alberti,Blue-billed Curassow,bubcur1,203963551,FALSE,
Crax daubentoni,Yellow-knobbed Curassow,yekcur1,386558971,FALSE,Hocco beccogiallo
