Scientific Name,en,species_code,macaulay_asset_code,wingspan_bird,jp,jp_latn
STRUTHIONIFORMES,,,,FALSE,,
STRUTHIONIDAE,Ostriches,,,FALSE,,
Apteryx rowi,Okarito Kiwi,okbkiw1,197661661,FALSE,オカリトキーウィ,
†DINORNITHIDAE,Moas,,,FALSE,,
Struthio camelus,Ostrich,ostric2,645938838,FALSE,ダチョウ/ソマリアダチョウ,
Struhio molybdophanes,Somali Ostrich,ostric3,,FALSE,,
†Dinornis gigantheus,Great Moa,,,FALSE,,
†Megalapteryx didinus,Lesser Megalapteryx,,,FALSE,,
RHEIDAE,Rheas,,,FALSE,,
†AEPYORNITHIDAE,Elephantbirds,,,FALSE,,
Rhea americana,Greater Rhea,grerhe1,203988441,TRUE,レア,
Rhea pennata,Lesser Rhea,lesrhe2,49399691,FALSE,ダーウィンレア,
Rhea tarapacensis,Puna Rhea,,,FALSE,ダーウィンレア（tarapacensis／garleppi）,
†Aepyornis maximus,Elephantbird,,,FALSE,,
GALLIFORMES,,,,FALSE,,
MEGAPODIIDAE,Megapodes,,,FALSE,,
TINAMIDAE,Tinamous,,,FALSE,,
Nothocercus julius,Tawny-breasted Tinamou,tabtin1,462300061,FALSE,チャバラシギダチョウ,
Nothocercus bonapartei,Highland Tinamou,higtin1,871,FALSE,タカネシギダチョウ,
Nothocercus nigrocapillus,Hooded Tinamou,hootin1,203940161,FALSE,コモンシギダチョウ,
Tinamus tao,Grey Tinamou,grytin1,58702,FALSE,ハイイロシギダチョウ,
Tinamus solitarius,Solitary Tinamou,soltin1,18804,FALSE,オバシギダチョウ,
Tinamus osgoodi,Black Tinamou,blatin1,60456,FALSE,クロシギダチョウ,
Tinamus major,Great Tinamou,gretin1,57320,FALSE,オオシギダチョウ,
Tinamus guttatus,White-throated Tinamou,whttin1,31950,FALSE,ノドジロシギダチョウ,
Crypturellus berlepschi,Berlepsch's Tinamou,bertin1,629455957,FALSE,ススグロシギダチョウ,
Crypturellus cinereus,Cinereous Tinamou,cintin1,203696311,FALSE,ムジシギダチョウ,
Crypturellus ptaritepui,Tepui Tinamou,teptin1,204027571,FALSE,メジロシギダチョウ,
Crypturellus soui,Little Tinamou,littin1,117119,TRUE,コシギダチョウ,
Crypturellus obsoletus,Brown Tinamou,brotin1,164251,FALSE,チャイロシギダチョウ,
Crypturellus undulatus,Undulated Tinamou,undtin1,626373802,FALSE,シロハラシギダチョウ,
Crypturellus strigulosus,Brazilian Tinamou,bratin1,204022031,FALSE,ブラジルシギダチョウ,
Crypturellus duidae,Grey-legged Tinamou,gyltin1,158883681,FALSE,アオアシシギダチョウ,
Crypturellus erythropus,Red-legged Tinamou,reltin1,461593031,FALSE,アカアシシギダチョウ,
Crypturellus noctivagus,Yellow-legged Tinamou,yeltin1,385079961,FALSE,キアシシギダチョウ,
Crypturellus atrocapillus,Black-capped Tinamou,blctin1,76049,FALSE,ズグロシギダチョウ,
Crypturellus occidentalis,Western Thicket Tinamou,,,FALSE,ヤブシギダチョウ（occidentalis）,
Crypturellus cinnamomeus,Eastern Thicket Tinamou,thitin1,33206801,FALSE,ヤブシギダチョウ,
Crypturellus transfasciatus,Pale-browed Tinamou,pabtin1,143809,FALSE,マミジロシギダチョウ,
Crypturellus boucardi,Slaty-breasted Tinamou,slbtin1,127724071,FALSE,モリシギダチョウ,
Crypturellus kerriae,Choco Tinamou,chotin1,324633271,FALSE,コシジマシギダチョウ,
Crypturellus varieagatus,Variegated Tinamou,vartin1,203934011,FALSE,,
Crypturellus brevirostris,Rusty Tinamou,rustin1,614660336,FALSE,アマゾンシギダチョウ,
Crypturellus barletti,Barlett's Tinamou,,,FALSE,,
Crypturellus casiquiare,Barred Tinamou,bartin1,630722708,FALSE,トラフシギダチョウ,
Crypturellus parvirostris,Small-billed Tinamou,smbtin1,51850,FALSE,コバシシギダチョウ,
Crypturellus tataupa,Tataupa Tinamou,tattin1,217313,FALSE,ヒメシギダチョウ,
Rhynchotus rufescens,Red-winged Tinamou,rewtin1,203696371,FALSE,アカバネシギダチョウ,
Nothoprocta taczanowskii,Taczanowski's Tinamu,tactin1,628474647,FALSE,ハシナガシギダチョウ,
Nothoprocta ornata,Ornate Tinamou,orntin1,609546694,FALSE,ゴマダラシギダチョウ,
Nothoprocta perdicaria,Chilean Tinamou,chitin1,303573,FALSE,チリーシギダチョウ,
Nothoprocta cinerascens,Brushland Tinamou,brutin1,634961756,FALSE,アレチシギダチョウ,
Nothoprocta pentlandii,Andean Tinamou,andtin1,46168,FALSE,アンデスシギダチョウ,
Nothoprocta curvirostris,Curve-billed Tinamou,cubtin1,633661342,FALSE,ハシボソシギダチョウ,
Nothura boraquira,White-bellied Nothura,whbnot1,219138941,FALSE,ウズラシギダチョウ,
Nothura minor,Lesser Nothura,lesnot1,424395341,FALSE,ヒメウズラシギダチョウ,
Nothura darwinii,Darwin's Nothura,darnot1,426123241,FALSE,ダーウィンシギダチョウ,
Nothura maculosa,Spotted Nothura,sponot1,114397301,TRUE,マダラシギダチョウ,
Nothura chacoensis,Chaco Nothura,,,FALSE,,
Taoniscus nanus,Dwarf Tinamou,dwatin1,643569796,FALSE,マメシギダチョウ,
Eudromia elegans,Elegant Crested-Tinamou,elctin1,236936911,FALSE,カンムリシギダチョウ,
Eudromia formosa,Quebracho Crested-Tinamou,quctin1,626262181,FALSE,ミコシギダチョウ,
Tinamotis pentlandii,Puna Tinamou,puntin1,210229,FALSE,ミツユビシギダチョウ,
Tinamotis ingoufi,Patagonian Tinamou,pattin1,612106908,FALSE,パタゴニアシギダチョウ,
Alectura lathami,Australian Brush-turkey,ausbrt1,381591551,FALSE,ヤブツカツクリ,
Aepypodius arfakianus,Wattled Brush-turkey,watbrt1,,FALSE,エボシツカツクリ,
Aepypodius bruijnii,Bruijn's Brush-turkey,brubrt1,,FALSE,ワイゲウツカツクリ,
Talegalla cuvieri,Red-billed Brush-turkey,rebbrt1,617189538,FALSE,アカハシツカツクリ,
Talegalla fuscirostris,Black-billed Brush-turkey,bkbbrt1,65819,FALSE,ハシグロツカツクリ,
Talegalla jobiensis,Brown-collared Brush-turkey,bncbrt1,204011051,FALSE,チャエリツカツクリ,
Leipoa ocellata,Malleefowl,mallee1,507328321,TRUE,クサムラツカツクリ,
Macrocephalon maleo,Maleo,maleo1,210744231,FALSE,セレベスツカツクリ,
Eulipoa wallacei,Moluccan Scrubfowl,molscr1,,FALSE,モルッカツカツクリ,
Megapodius nicobariensis,Nicobar Scrubfowl,nicscr1,648533499,FALSE,ニコバルツカツクリ,
Megapodius cumingii,Philippine Scrubfowl,tabscr1,203893311,FALSE,パラワンツカツクリ,
Megapodius bernsteinii,Sula Scrubfowl,sulscr1,203905281,FALSE,スラツカツクリ,
Megapodius tenimberensis,Tanimbar Scrubfowl,tanscr1,616243717,FALSE,タニンバルツカツクリ,
Megapodius layardi,Vanuatu Scrubfowl,vanscr1,159476231,FALSE,バヌアツツカツクリ,
Megapodius laperouse,Micronesian Scrubfowl,micscr1,140190,FALSE,マリアナツカツクリ,
Megapodius pritchardii,Polynesian Scrubfowl,niuscr1,,FALSE,トンガツカツクリ,
Megapodius freycinet,Dusky Scrubfowl,dusscr1,203908891,FALSE,,
Megapodius geelvikanus,Biak Scrubfowl,,,FALSE,,
Megapodius decollatus,New Guinea Scrubfowl,negscr1,608353878,FALSE,ニューギニアツカツクリ,
Megapodius eremita,Melanesian Scrubfowl,melscr1,203908291,FALSE,メラネシアツカツクリ,
Megapodius reinwardt,Orange-footed Scrubfowl,orfscr1,58969901,TRUE,オーストラリアツカツクリ,
CRACIDAE,Guans Chachalacas Curassows,,,FALSE,,
Chamaepetes unicolor,Black Guan,blagua1,53957,FALSE,クロシャクケイ,
Chamaepetes goudotii,Sickle-winged Guan,siwgua1,167255,FALSE,カマバネシャクケイ,
Penelopina nigra,Highland Guan,higgua1,203692671,FALSE,ヒメクロシャクケイ,
Penelope argyrotis,Band-tailed Guan,batgua1,167175,FALSE,オビオシャクケイ,
Penelope barbata,Bearded Guan,beagua1,203915771,FALSE,ヒゲシャクケイ,
Penelope ortoni,Baudo Guan,baugua1,168703,FALSE,チャイロシャクケイ,
Penelope montagnii,Andean Guan,andgua1,591553691,FALSE,アンデスシャクケイ,
Penelope marail,Marail Guan,margua1,67615,FALSE,マレイルシャクケイ,
Penelope superciliaris,Rusty-margined Guan,rumgua1,102319,FALSE,チャバネシャクケイ,
Penelope dabbenei,Red-faced Guan,refgua1,203985251,FALSE,アカガオシャクケイ,
Penelope jacquacu,Spix's Guan,spigua1,190225,FALSE,アマゾンシャクケイ,
Penelope purpurascens,Crested Guan,cregua1,173510751,FALSE,カンムリシャクケイ,
Penelope perspicax,Cauca Guan,caugua1,24042071,FALSE,アカシャクケイ,
Penelope albipennis,White-winged Guan,whwgua1,13277,FALSE,ハジロシャクケイ,
Penelope obscura,Dusky-legged Guan,dulgua1,17658,FALSE,クロアシシャクケイ,
Penelope pileata,White-crested Guan,whcgua1,203895021,FALSE,シロガシラシャクケイ,
Penelope ochrogaster,Chestnut-bellied Guan,chbgua1,193678891,FALSE,アカハラシャクケイ,
Penelope jacucaca,White-browed Guan,whbgua1,248626081,FALSE,マミジロシャクケイ,
Pipile pipile,Trinidad Piping-guan,trpgua1,619307334,FALSE,トリニダードナキシャクケイ,
Pipile cumanensis,Blue-throated Piping-guan,butpig1,321834561,FALSE,,
Pipile grayi,White-throated Piping-guan,butpig2,396896121,FALSE,,
Pipile cujubi,Red-throated Piping-guan,rtpgua1,81437,FALSE,アカノドナキシャクケイ,
Pipile jacutinga,Black-fronted Piping-guan,bfpgua1,184775031,FALSE,カオグロナキシャクケイ,
Aburria aburri,Wattled Guan,watgua1,101066981,FALSE,ニクダレシャクケイ,
Oreophasis derbianus,Horned Guan,horgua1,177575,TRUE,ツノシャクケイ,
Ortalis vetula,Plain Chachalaca,placha,172754021,TRUE,ムジヒメシャクケイ,
Ortalis cinereiceps,Grey-headed Chachalaca,grhcha1,456443461,FALSE,ハイガシラヒメシャクケイ,
Ortalis garrula,Chestnut-winged Chachalaca,chwcha1,624280923,FALSE,チャバネヒメシャクケイ,
Ortalis ruficauda,Rufous-vented Chachalaca,ruvcha1,2320,FALSE,ワキアカヒメシャクケイ,
Ortalis erythroptera,Rufous-headed Chachalaca,ruhcha1,514472621,FALSE,ズアカヒメシャクケイ,
Ortalis wagleri,Rufous-bellied Chachalaca,rubcha1,49211281,FALSE,アカハラヒメシャクケイ,
Ortalis poliocephala,West Mexican Chachalaca,wemcha1,153248731,FALSE,メキシコヒメシャクケイ,
Ortalis canicollis,Chaco Chachalaca,chacha1,572139481,FALSE,アカオヒメシャクケイ,
Ortalis leucogastra,White-bellied Chachalaca,whbcha1,20375,FALSE,シロハラヒメシャクケイ,
Ortalis columbiana,Colombian Chachalaca,colcha1,212229,FALSE,コロンビアヒメシャクケイ,
Ortalis guttata,Speckled Chachalaca,specha3,183366391,FALSE,ブラジルヒメシャクケイ,
Ortalis araucan,East Brasilian Chachalaca,,,FALSE,,
Ortalis squamata,Scaled Chachalaca,specha4,332027481,FALSE,ウロコヒメシャクケイ,
Ortalis motmot,Little Chachalaca,varcha1,78010,FALSE,カワリヒメシャクケイ,
CASUARIIDAE,Cassowaries Emus,,,FALSE,,
Casuarius casuarius,Southern Cassowary,soucas1,203989761,TRUE,ヒクイドリ,
Casuarius bennetti,Dwarf Cassowary,dwacas1,203987101,FALSE,コヒクイドリ,
Casuarius unappendiculatus,Northern Cassowary,norcas1,536563291,FALSE,パプアヒクイドリ,
Dromaius novaehollandiae,Emu,emu1,623096519,TRUE,エミュー,
