Scientific Name,en,species_code,macaulay_asset_code,wingspan_bird,lt
STRUTHIONIFORMES,,,,FALSE,
STRUTHIONIDAE,Ostriches,,,FALSE,
Apteryx rowi,Okarito Kiwi,okbkiw1,197661661,FALSE,Okarito miško kivis
†DINORNITHIDAE,Moas,,,FALSE,
Struthio camelus,Ostrich,ostric2,645938838,FALSE,
Struhio molybdophanes,Somali Ostrich,ostric3,,FALSE,
†Dinornis gigantheus,Great Moa,,,FALSE,
†Megalapteryx didinus,Lesser Megalapteryx,,,FALSE,
RHEIDAE,Rheas,,,FALSE,
†AEPYORNITHIDAE,Elephantbirds,,,FALSE,
Rhea americana,Greater Rhea,grerhe1,203988441,TRUE,Amerikinis nandu
Rhea pennata,Lesser Rhea,lesrhe2,49399691,FALSE,Darvino nandu
Rhea tarapacensis,Puna Rhea,,,FALSE,
†Aepyornis maximus,Elephantbird,,,FALSE,
GALLIFORMES,,,,FALSE,
MEGAPODIIDAE,Megapodes,,,FALSE,
TINAMIDAE,Tinamous,,,FALSE,
Nothocercus julius,Tawny-breasted Tinamou,tabtin1,462300061,FALSE,Juliaus notocerkas
Nothocercus bonapartei,Highland Tinamou,higtin1,871,FALSE,Bonaparto notocerkas
Nothocercus nigrocapillus,Hooded Tinamou,hootin1,203940161,FALSE,Tamsiagalvis notocerkas
Tinamus tao,Grey Tinamou,grytin1,58702,FALSE,Žilasis tinamas
Tinamus solitarius,Solitary Tinamou,soltin1,18804,FALSE,Tinamas atsiskyrėlis
Tinamus osgoodi,Black Tinamou,blatin1,60456,FALSE,Juodasis tinamas
Tinamus major,Great Tinamou,gretin1,57320,FALSE,Didysis tinamas
Tinamus guttatus,White-throated Tinamou,whttin1,31950,FALSE,Baltagurklis tinamas
Crypturellus berlepschi,Berlepsch's Tinamou,bertin1,629455957,FALSE,Berlepšo tinamas
Crypturellus cinereus,Cinereous Tinamou,cintin1,203696311,FALSE,
Crypturellus ptaritepui,Tepui Tinamou,teptin1,204027571,FALSE,Venesuelinis tinamas
Crypturellus soui,Little Tinamou,littin1,117119,TRUE,Mažasis tinamas
Crypturellus obsoletus,Brown Tinamou,brotin1,164251,FALSE,Kaštoninis tinamas
Crypturellus undulatus,Undulated Tinamou,undtin1,626373802,FALSE,Raibasis tinamas
Crypturellus strigulosus,Brazilian Tinamou,bratin1,204022031,FALSE,Brazilinis tinamas
Crypturellus duidae,Grey-legged Tinamou,gyltin1,158883681,FALSE,Pilkakojis tinamas
Crypturellus erythropus,Red-legged Tinamou,reltin1,461593031,FALSE,Raudonkojis tinamas
Crypturellus noctivagus,Yellow-legged Tinamou,yeltin1,385079961,FALSE,
Crypturellus atrocapillus,Black-capped Tinamou,blctin1,76049,FALSE,Juodakepuris tinamas
Crypturellus occidentalis,Western Thicket Tinamou,,,FALSE,
Crypturellus cinnamomeus,Eastern Thicket Tinamou,thitin1,33206801,FALSE,
Crypturellus transfasciatus,Pale-browed Tinamou,pabtin1,143809,FALSE,Baltabruvis tinamas
Crypturellus boucardi,Slaty-breasted Tinamou,slbtin1,127724071,FALSE,
Crypturellus kerriae,Choco Tinamou,chotin1,324633271,FALSE,Kero tinamas
Crypturellus varieagatus,Variegated Tinamou,vartin1,203934011,FALSE,
Crypturellus brevirostris,Rusty Tinamou,rustin1,614660336,FALSE,Rusvasis tinamas
Crypturellus barletti,Barlett's Tinamou,,,FALSE,
Crypturellus casiquiare,Barred Tinamou,bartin1,630722708,FALSE,Dryžasis tinamas
Crypturellus parvirostris,Small-billed Tinamou,smbtin1,51850,FALSE,Trumpasnapis tinamas
Crypturellus tataupa,Tataupa Tinamou,tattin1,217313,FALSE,Tinamas tataupa
Rhynchotus rufescens,Red-winged Tinamou,rewtin1,203696371,FALSE,
Nothoprocta taczanowskii,Taczanowski's Tinamu,tactin1,628474647,FALSE,Tačanovskio stepinis tinamas
Nothoprocta ornata,Ornate Tinamou,orntin1,609546694,FALSE,Puošnusis stepinis tinamas
Nothoprocta perdicaria,Chilean Tinamou,chitin1,303573,FALSE,Čilinis stepinis tinamas
Nothoprocta cinerascens,Brushland Tinamou,brutin1,634961756,FALSE,Krūmyninis stepinis tinamas
Nothoprocta pentlandii,Andean Tinamou,andtin1,46168,FALSE,Andinis stepinis tinamas
Nothoprocta curvirostris,Curve-billed Tinamou,cubtin1,633661342,FALSE,Kreivasnapis stepinis tinamas
Nothura boraquira,White-bellied Nothura,whbnot1,219138941,FALSE,Baltapilvė notura
Nothura minor,Lesser Nothura,lesnot1,424395341,FALSE,Mažoji notura
Nothura darwinii,Darwin's Nothura,darnot1,426123241,FALSE,Darvino notura
Nothura maculosa,Spotted Nothura,sponot1,114397301,TRUE,Dėmėtoji notura
Nothura chacoensis,Chaco Nothura,,,FALSE,
Taoniscus nanus,Dwarf Tinamou,dwatin1,643569796,FALSE,Nykštukinis tinamas
Eudromia elegans,Elegant Crested-Tinamou,elctin1,236936911,FALSE,Pilkasis kuoduotasis tinamas
Eudromia formosa,Quebracho Crested-Tinamou,quctin1,626262181,FALSE,Gražusis kuoduotasis tinamas
Tinamotis pentlandii,Puna Tinamou,puntin1,210229,FALSE,Paprastasis tinamas
Tinamotis ingoufi,Patagonian Tinamou,pattin1,612106908,FALSE,Patagoninis tinamas
Alectura lathami,Australian Brush-turkey,ausbrt1,381591551,FALSE,Krūmyninė višta
Aepypodius arfakianus,Wattled Brush-turkey,watbrt1,,FALSE,Raudonskiauterė didžiakojė višta
Aepypodius bruijnii,Bruijn's Brush-turkey,brubrt1,,FALSE,Auskaruotoji didžiakojė višta
Talegalla cuvieri,Red-billed Brush-turkey,rebbrt1,617189538,FALSE,raudonsnapė šiukšliavištė
Talegalla fuscirostris,Black-billed Brush-turkey,bkbbrt1,65819,FALSE,Juodasnapė šiukšliavištė
Talegalla jobiensis,Brown-collared Brush-turkey,bncbrt1,204011051,FALSE,Rudoji šiukšliavištė
Leipoa ocellata,Malleefowl,mallee1,507328321,TRUE,Akiuotoji višta
Macrocephalon maleo,Maleo,maleo1,210744231,FALSE,Didžiagalvė višta
Eulipoa wallacei,Moluccan Scrubfowl,molscr1,,FALSE,Molukinė višta
Megapodius nicobariensis,Nicobar Scrubfowl,nicscr1,648533499,FALSE,
Megapodius cumingii,Philippine Scrubfowl,tabscr1,203893311,FALSE,Filipininė didžiakojė višta
Megapodius bernsteinii,Sula Scrubfowl,sulscr1,203905281,FALSE,Bernšteino didžiakojė višta
Megapodius tenimberensis,Tanimbar Scrubfowl,tanscr1,616243717,FALSE,
Megapodius layardi,Vanuatu Scrubfowl,vanscr1,159476231,FALSE,Lajardo didžiakojė višta
Megapodius laperouse,Micronesian Scrubfowl,micscr1,140190,FALSE,Mikronezinė didžiakojė višta
Megapodius pritchardii,Polynesian Scrubfowl,niuscr1,,FALSE,Polinezinė didžiakojė višta
Megapodius freycinet,Dusky Scrubfowl,dusscr1,203908891,FALSE,
Megapodius geelvikanus,Biak Scrubfowl,,,FALSE,
Megapodius decollatus,New Guinea Scrubfowl,negscr1,608353878,FALSE,Naujosios Gvinėjos didžiakojė višta
Megapodius eremita,Melanesian Scrubfowl,melscr1,203908291,FALSE,Melanezinė didžiakojė višta
Megapodius reinwardt,Orange-footed Scrubfowl,orfscr1,58969901,TRUE,
CRACIDAE,Guans Chachalacas Curassows,,,FALSE,
Chamaepetes unicolor,Black Guan,blagua1,53957,FALSE,Juodasis guanas
Chamaepetes goudotii,Sickle-winged Guan,siwgua1,167255,FALSE,Pjūklasparnis guanas
Penelopina nigra,Highland Guan,higgua1,203692671,FALSE,Juodoji penelopina
Penelope argyrotis,Band-tailed Guan,batgua1,167175,FALSE,
Penelope barbata,Bearded Guan,beagua1,203915771,FALSE,Barzdotoji penelopė
Penelope ortoni,Baudo Guan,baugua1,168703,FALSE,Ortono penelopė
Penelope montagnii,Andean Guan,andgua1,591553691,FALSE,
Penelope marail,Marail Guan,margua1,67615,FALSE,Kajeninė penelopė
Penelope superciliaris,Rusty-margined Guan,rumgua1,102319,FALSE,Rudašonė penelopė
Penelope dabbenei,Red-faced Guan,refgua1,203985251,FALSE,Raudonveidė penelopė
Penelope jacquacu,Spix's Guan,spigua1,190225,FALSE,
Penelope purpurascens,Crested Guan,cregua1,173510751,FALSE,
Penelope perspicax,Cauca Guan,caugua1,24042071,FALSE,Kolumbinė penelopė
Penelope albipennis,White-winged Guan,whwgua1,13277,FALSE,Baltasparnė penelopė
Penelope obscura,Dusky-legged Guan,dulgua1,17658,FALSE,
Penelope pileata,White-crested Guan,whcgua1,203895021,FALSE,Baltakuodė penelopė
Penelope ochrogaster,Chestnut-bellied Guan,chbgua1,193678891,FALSE,Kaštonpilvė penelopė
Penelope jacucaca,White-browed Guan,whbgua1,248626081,FALSE,Baltabruvė penelopė
Pipile pipile,Trinidad Piping-guan,trpgua1,619307334,FALSE,
Pipile cumanensis,Blue-throated Piping-guan,butpig1,321834561,FALSE,
Pipile grayi,White-throated Piping-guan,butpig2,396896121,FALSE,
Pipile cujubi,Red-throated Piping-guan,rtpgua1,81437,FALSE,Raudongurklė pipilė
Pipile jacutinga,Black-fronted Piping-guan,bfpgua1,184775031,FALSE,Juodakaktė pipilė
Aburria aburri,Wattled Guan,watgua1,101066981,FALSE,Aburija
Oreophasis derbianus,Horned Guan,horgua1,177575,TRUE,Raguotasis guanas
Ortalis vetula,Plain Chachalaca,placha,172754021,TRUE,
Ortalis cinereiceps,Grey-headed Chachalaca,grhcha1,456443461,FALSE,Pilkagalvė čačalaka
Ortalis garrula,Chestnut-winged Chachalaca,chwcha1,624280923,FALSE,
Ortalis ruficauda,Rufous-vented Chachalaca,ruvcha1,2320,FALSE,Raudonuodegė čačalaka
Ortalis erythroptera,Rufous-headed Chachalaca,ruhcha1,514472621,FALSE,Rausvagalvė čačalaka
Ortalis wagleri,Rufous-bellied Chachalaca,rubcha1,49211281,FALSE,Rausvapilvė čačalaka
Ortalis poliocephala,West Mexican Chachalaca,wemcha1,153248731,FALSE,
Ortalis canicollis,Chaco Chachalaca,chacha1,572139481,FALSE,Čakinė čačalaka
Ortalis leucogastra,White-bellied Chachalaca,whbcha1,20375,FALSE,Baltapilvė čačalaka
Ortalis columbiana,Colombian Chachalaca,colcha1,212229,FALSE,
Ortalis guttata,Speckled Chachalaca,specha3,183366391,FALSE,
Ortalis araucan,East Brasilian Chachalaca,,,FALSE,
Ortalis squamata,Scaled Chachalaca,specha4,332027481,FALSE,
Ortalis motmot,Little Chachalaca,varcha1,78010,FALSE,
CASUARIIDAE,Cassowaries Emus,,,FALSE,
Casuarius casuarius,Southern Cassowary,soucas1,203989761,TRUE,Šalminis kazuaras
Casuarius bennetti,Dwarf Cassowary,dwacas1,203987101,FALSE,Nykštukinis kazuaras
Casuarius unappendiculatus,Northern Cassowary,norcas1,536563291,FALSE,Raudonkaklis kazuaras
Dromaius novaehollandiae,Emu,emu1,623096519,TRUE,Emu
†Dromaius minor,King Island Emu,,,FALSE,
†Dromaius baudinianus,Kangoroo Island Emu,,,FALSE,
APTERYGIDAE,Kiwis,,,FALSE,
Apteryx haastii,Great Spotted Kiwi,grskiw1,617700522,TRUE,Didysis kivis
Apteryx owenii,Little Spotted Kiwi,liskiw1,596188651,FALSE,Mažasis kivis
Apteryx mantelli,Northern Brown Kiwi,nibkiw1,623165890,TRUE,Šiaurinis kivis
Apteryx australis,Southern Brown Kiwi,sobkiw1,85614831,FALSE,
Ortalis superciliaris,Buff-browed Chachalaca,bubcha1,349286621,FALSE,Geltonbruvė čačalaka
Nothocrax urumutum,Nocturnal Curassow,noccur1,34378,FALSE,Naktinis kraksas
