Scientific Name,en,species_code,macaulay_asset_code,wingspan_bird,nl
STRUTHIONIFORMES,,,,FALSE,
STRUTHIONIDAE,Ostriches,,,FALSE,
Apteryx rowi,Okarito Kiwi,okbkiw1,197661661,FALSE,Rowi
†DINORNITHIDAE,Moas,,,FALSE,
Struthio camelus,Ostrich,ostric2,645938838,FALSE,Struisvogel/Somalische struisvogel
Struhio molybdophanes,Somali Ostrich,ostric3,,FALSE,
†Dinornis gigantheus,Great Moa,,,FALSE,
†Megalapteryx didinus,Lesser Megalapteryx,,,FALSE,
RHEIDAE,Rheas,,,FALSE,
†AEPYORNITHIDAE,Elephantbirds,,,FALSE,
Rhea americana,Greater Rhea,grerhe1,203988441,TRUE,Nandoe
Rhea pennata,Lesser Rhea,lesrhe2,49399691,FALSE,Darwins Nandoe
Rhea tarapacensis,Puna Rhea,,,FALSE,Darwins Nandoe (tarapacensis/garleppi)
†Aepyornis maximus,Elephantbird,,,FALSE,
GALLIFORMES,,,,FALSE,
MEGAPODIIDAE,Megapodes,,,FALSE,
TINAMIDAE,Tinamous,,,FALSE,
Nothocercus julius,Tawny-breasted Tinamou,tabtin1,462300061,FALSE,Roodkoptinamoe
Nothocercus bonapartei,Highland Tinamou,higtin1,871,FALSE,Bergtinamoe
Nothocercus nigrocapillus,Hooded Tinamou,hootin1,203940161,FALSE,Zwartkaptinamoe
Tinamus tao,Grey Tinamou,grytin1,58702,FALSE,Grijze Tinamoe
Tinamus solitarius,Solitary Tinamou,soltin1,18804,FALSE,Kluizenaarstinamoe
Tinamus osgoodi,Black Tinamou,blatin1,60456,FALSE,Zwarte Tinamoe
Tinamus major,Great Tinamou,gretin1,57320,FALSE,Grote Tinamoe
Tinamus guttatus,White-throated Tinamou,whttin1,31950,FALSE,Witkeeltinamoe
Crypturellus berlepschi,Berlepsch's Tinamou,bertin1,629455957,FALSE,Berlepsch' Tinamoe
Crypturellus cinereus,Cinereous Tinamou,cintin1,203696311,FALSE,Grauwe tinamoe
Crypturellus ptaritepui,Tepui Tinamou,teptin1,204027571,FALSE,Tepuitinamoe
Crypturellus soui,Little Tinamou,littin1,117119,TRUE,Kleine Tinamoe
Crypturellus obsoletus,Brown Tinamou,brotin1,164251,FALSE,Bruine Tinamoe
Crypturellus undulatus,Undulated Tinamou,undtin1,626373802,FALSE,Marmertinamoe
Crypturellus strigulosus,Brazilian Tinamou,bratin1,204022031,FALSE,Braziliaanse Tinamoe
Crypturellus duidae,Grey-legged Tinamou,gyltin1,158883681,FALSE,Grijspoottinamoe
Crypturellus erythropus,Red-legged Tinamou,reltin1,461593031,FALSE,Roodpoottinamoe
Crypturellus noctivagus,Yellow-legged Tinamou,yeltin1,385079961,FALSE,Geelpoottinamoe
Crypturellus atrocapillus,Black-capped Tinamou,blctin1,76049,FALSE,Zwartkoptinamoe
Crypturellus occidentalis,Western Thicket Tinamou,,,FALSE,Struiktinamoe (occidentalis)
Crypturellus cinnamomeus,Eastern Thicket Tinamou,thitin1,33206801,FALSE,Struiktinamoe
Crypturellus transfasciatus,Pale-browed Tinamou,pabtin1,143809,FALSE,Wenkbrauwtinamoe
Crypturellus boucardi,Slaty-breasted Tinamou,slbtin1,127724071,FALSE,Grijsborsttinamoe
Crypturellus kerriae,Choco Tinamou,chotin1,324633271,FALSE,Chocótinamoe
Crypturellus varieagatus,Variegated Tinamou,vartin1,203934011,FALSE,
Crypturellus brevirostris,Rusty Tinamou,rustin1,614660336,FALSE,Rosse Tinamoe
Crypturellus barletti,Barlett's Tinamou,,,FALSE,
Crypturellus casiquiare,Barred Tinamou,bartin1,630722708,FALSE,Gebandeerde Tinamoe
Crypturellus parvirostris,Small-billed Tinamou,smbtin1,51850,FALSE,Kortsnaveltinamoe
Crypturellus tataupa,Tataupa Tinamou,tattin1,217313,FALSE,Tataupatinamoe
Rhynchotus rufescens,Red-winged Tinamou,rewtin1,203696371,FALSE,Pampahoen
Nothoprocta taczanowskii,Taczanowski's Tinamu,tactin1,628474647,FALSE,Taczanowski's Tinamoe
Nothoprocta ornata,Ornate Tinamou,orntin1,609546694,FALSE,Pisaccatinamoe
Nothoprocta perdicaria,Chilean Tinamou,chitin1,303573,FALSE,Chileense Tinamoe
Nothoprocta cinerascens,Brushland Tinamou,brutin1,634961756,FALSE,Cordobatinamoe
Nothoprocta pentlandii,Andean Tinamou,andtin1,46168,FALSE,Andestinamoe
Nothoprocta curvirostris,Curve-billed Tinamou,cubtin1,633661342,FALSE,Krombektinamoe
Nothura boraquira,White-bellied Nothura,whbnot1,219138941,FALSE,Witbuiknothura
Nothura minor,Lesser Nothura,lesnot1,424395341,FALSE,Kleine Nothura
Nothura darwinii,Darwin's Nothura,darnot1,426123241,FALSE,Darwins Nothura
Nothura maculosa,Spotted Nothura,sponot1,114397301,TRUE,Gevlekte Nothura
Nothura chacoensis,Chaco Nothura,,,FALSE,
Taoniscus nanus,Dwarf Tinamou,dwatin1,643569796,FALSE,Dwergtinamoe
Eudromia elegans,Elegant Crested-Tinamou,elctin1,236936911,FALSE,Kuiftinamoe
Eudromia formosa,Quebracho Crested-Tinamou,quctin1,626262181,FALSE,Quebrachotinamoe
Tinamotis pentlandii,Puna Tinamou,puntin1,210229,FALSE,Punatinamoe
Tinamotis ingoufi,Patagonian Tinamou,pattin1,612106908,FALSE,Patagonische Tinamoe
Alectura lathami,Australian Brush-turkey,ausbrt1,381591551,FALSE,Boskalkoen
Aepypodius arfakianus,Wattled Brush-turkey,watbrt1,,FALSE,Kamboskalkoen
Aepypodius bruijnii,Bruijn's Brush-turkey,brubrt1,,FALSE,Bruijns Boskalkoen
Talegalla cuvieri,Red-billed Brush-turkey,rebbrt1,617189538,FALSE,Roodsnavelboskalkoen
Talegalla fuscirostris,Black-billed Brush-turkey,bkbbrt1,65819,FALSE,Zwartsnavelboskalkoen
Talegalla jobiensis,Brown-collared Brush-turkey,bncbrt1,204011051,FALSE,Bruinkraagboskalkoen
Leipoa ocellata,Malleefowl,mallee1,507328321,TRUE,Thermometervogel
Macrocephalon maleo,Maleo,maleo1,210744231,FALSE,Hamerhoen
Eulipoa wallacei,Moluccan Scrubfowl,molscr1,,FALSE,Moluks Boshoen
Megapodius nicobariensis,Nicobar Scrubfowl,nicscr1,648533499,FALSE,Nicobarenboshoen
Megapodius cumingii,Philippine Scrubfowl,tabscr1,203893311,FALSE,Filipijns Boshoen
Megapodius bernsteinii,Sula Scrubfowl,sulscr1,203905281,FALSE,Bruin Boshoen
Megapodius tenimberensis,Tanimbar Scrubfowl,tanscr1,616243717,FALSE,Tanimbarboshoen
Megapodius layardi,Vanuatu Scrubfowl,vanscr1,159476231,FALSE,Vanuatuboshoen
Megapodius laperouse,Micronesian Scrubfowl,micscr1,140190,FALSE,Marianenboshoen
Megapodius pritchardii,Polynesian Scrubfowl,niuscr1,,FALSE,Polynesisch Boshoen
Megapodius freycinet,Dusky Scrubfowl,dusscr1,203908891,FALSE,Zwart boshoen
Megapodius geelvikanus,Biak Scrubfowl,,,FALSE,
Megapodius decollatus,New Guinea Scrubfowl,negscr1,608353878,FALSE,Grijs Boshoen
Megapodius eremita,Melanesian Scrubfowl,melscr1,203908291,FALSE,Heremietboshoen
Megapodius reinwardt,Orange-footed Scrubfowl,orfscr1,58969901,TRUE,Rood boshoen
CRACIDAE,Guans Chachalacas Curassows,,,FALSE,
Chamaepetes unicolor,Black Guan,blagua1,53957,FALSE,Zwarte Goean
Chamaepetes goudotii,Sickle-winged Guan,siwgua1,167255,FALSE,Sikkelvleugelgoean
Penelopina nigra,Highland Guan,higgua1,203692671,FALSE,Berggoean
Penelope argyrotis,Band-tailed Guan,batgua1,167175,FALSE,Bandstaartsjakohoen
Penelope barbata,Bearded Guan,beagua1,203915771,FALSE,Baardsjakohoen
Penelope ortoni,Baudo Guan,baugua1,168703,FALSE,Ortons Sjakohoen
Penelope montagnii,Andean Guan,andgua1,591553691,FALSE,Andessjakohoen
Penelope marail,Marail Guan,margua1,67615,FALSE,Marailsjakohoen
Penelope superciliaris,Rusty-margined Guan,rumgua1,102319,FALSE,Witvoorhoofdsjakohoen
Penelope dabbenei,Red-faced Guan,refgua1,203985251,FALSE,Roodmaskersjakohoen
Penelope jacquacu,Spix's Guan,spigua1,190225,FALSE,Spixsjakohoen
Penelope purpurascens,Crested Guan,cregua1,173510751,FALSE,Kuifsjakohoen
Penelope perspicax,Cauca Guan,caugua1,24042071,FALSE,Caucasjakohoen
Penelope albipennis,White-winged Guan,whwgua1,13277,FALSE,Witvleugelsjakohoen
Penelope obscura,Dusky-legged Guan,dulgua1,17658,FALSE,Grijspootsjakohoen
Penelope pileata,White-crested Guan,whcgua1,203895021,FALSE,Witkuifsjakohoen
Penelope ochrogaster,Chestnut-bellied Guan,chbgua1,193678891,FALSE,Rossig Sjakohoen
Penelope jacucaca,White-browed Guan,whbgua1,248626081,FALSE,Witbrauwsjakohoen
Pipile pipile,Trinidad Piping-guan,trpgua1,619307334,FALSE,Trinidadgoean
Pipile cumanensis,Blue-throated Piping-guan,butpig1,321834561,FALSE,Blauwkeelgoean/Witkeelgoean
Pipile grayi,White-throated Piping-guan,butpig2,396896121,FALSE,Witkeelgoean
Pipile cujubi,Red-throated Piping-guan,rtpgua1,81437,FALSE,Roodkeelgoean
Pipile jacutinga,Black-fronted Piping-guan,bfpgua1,184775031,FALSE,Zwartmaskergoean
Aburria aburri,Wattled Guan,watgua1,101066981,FALSE,Lelgoean
Oreophasis derbianus,Horned Guan,horgua1,177575,TRUE,Hoorngoean
Ortalis vetula,Plain Chachalaca,placha,172754021,TRUE,Bruine chachalaca
Ortalis cinereiceps,Grey-headed Chachalaca,grhcha1,456443461,FALSE,Grijskopchachalaca
Ortalis garrula,Chestnut-winged Chachalaca,chwcha1,624280923,FALSE,Roodvleugelchachalaca
Ortalis ruficauda,Rufous-vented Chachalaca,ruvcha1,2320,FALSE,Roodbuikchachalaca
Ortalis erythroptera,Rufous-headed Chachalaca,ruhcha1,514472621,FALSE,Roodkopchachalaca
Ortalis wagleri,Rufous-bellied Chachalaca,rubcha1,49211281,FALSE,Waglers Chachalaca
Ortalis poliocephala,West Mexican Chachalaca,wemcha1,153248731,FALSE,West-Mexicaanse chachalaca
Ortalis canicollis,Chaco Chachalaca,chacha1,572139481,FALSE,Chacochachalaca
Ortalis leucogastra,White-bellied Chachalaca,whbcha1,20375,FALSE,Witbuikchachalaca
Ortalis columbiana,Colombian Chachalaca,colcha1,212229,FALSE,Colombiaanse Chachalaca
Ortalis guttata,Speckled Chachalaca,specha3,183366391,FALSE,Gevlekte chachalaca
Ortalis araucan,East Brasilian Chachalaca,,,FALSE,
Ortalis squamata,Scaled Chachalaca,specha4,332027481,FALSE,Geschubde chachalaca
Ortalis motmot,Little Chachalaca,varcha1,78010,FALSE,Kleine chachalaca
CASUARIIDAE,Cassowaries Emus,,,FALSE,
Casuarius casuarius,Southern Cassowary,soucas1,203989761,TRUE,Helmkasuaris
Casuarius bennetti,Dwarf Cassowary,dwacas1,203987101,FALSE,Dwergkasuaris
Casuarius unappendiculatus,Northern Cassowary,norcas1,536563291,FALSE,Oranjehalskasuaris
Dromaius novaehollandiae,Emu,emu1,623096519,TRUE,Emoe
†Dromaius minor,King Island Emu,,,FALSE,
†Dromaius baudinianus,Kangoroo Island Emu,,,FALSE,
APTERYGIDAE,Kiwis,,,FALSE,
Apteryx haastii,Great Spotted Kiwi,grskiw1,617700522,TRUE,Grote Grijze Kiwi
Apteryx owenii,Little Spotted Kiwi,liskiw1,596188651,FALSE,Kleine Grijze Kiwi
