Scientific Name,en,species_code,macaulay_asset_code,wingspan_bird,pl
STRUTHIONIFORMES,,,,FALSE,
STRUTHIONIDAE,Ostriches,,,FALSE,
Apteryx rowi,Okarito Kiwi,okbkiw1,197661661,FALSE,kiwi szary
†DINORNITHIDAE,Moas,,,FALSE,
Struthio camelus,Ostrich,ostric2,645938838,FALSE,struś czerwonoskóry/szaroskóry
Struhio molybdophanes,Somali Ostrich,ostric3,,FALSE,
†Dinornis gigantheus,Great Moa,,,FALSE,
†Megalapteryx didinus,Lesser Megalapteryx,,,FALSE,
RHEIDAE,Rheas,,,FALSE,
†AEPYORNITHIDAE,Elephantbirds,,,FALSE,
Rhea americana,Greater Rhea,grerhe1,203988441,TRUE,nandu szare
Rhea pennata,Lesser Rhea,lesrhe2,49399691,FALSE,nandu plamiste
Rhea tarapacensis,Puna Rhea,,,FALSE,nandu plamiste (tarapacensis/garleppi)
†Aepyornis maximus,Elephantbird,,,FALSE,
GALLIFORMES,,,,FALSE,
MEGAPODIIDAE,Megapodes,,,FALSE,
TINAMIDAE,Tinamous,,,FALSE,
Nothocercus julius,Tawny-breasted Tinamou,tabtin1,462300061,FALSE,kusacz rdzawogłowy
Nothocercus bonapartei,Highland Tinamou,higtin1,871,FALSE,kusacz górski
Nothocercus nigrocapillus,Hooded Tinamou,hootin1,203940161,FALSE,kusacz ciemnogłowy
Tinamus tao,Grey Tinamou,grytin1,58702,FALSE,kusacz szary
Tinamus solitarius,Solitary Tinamou,soltin1,18804,FALSE,kusacz samotny
Tinamus osgoodi,Black Tinamou,blatin1,60456,FALSE,kusacz czarny
Tinamus major,Great Tinamou,gretin1,57320,FALSE,kusacz duży
Tinamus guttatus,White-throated Tinamou,whttin1,31950,FALSE,kusacz kropkowany
Crypturellus berlepschi,Berlepsch's Tinamou,bertin1,629455957,FALSE,kusacz brunatny
Crypturellus cinereus,Cinereous Tinamou,cintin1,203696311,FALSE,kusacz popielaty
Crypturellus ptaritepui,Tepui Tinamou,teptin1,204027571,FALSE,kusacz białooki
Crypturellus soui,Little Tinamou,littin1,117119,TRUE,kusacz czarnogłowy
Crypturellus obsoletus,Brown Tinamou,brotin1,164251,FALSE,kusacz kasztanowaty
Crypturellus undulatus,Undulated Tinamou,undtin1,626373802,FALSE,kusacz falisty
Crypturellus strigulosus,Brazilian Tinamou,bratin1,204022031,FALSE,kusacz rdzawoszyi
Crypturellus duidae,Grey-legged Tinamou,gyltin1,158883681,FALSE,kusacz szaronogi
Crypturellus erythropus,Red-legged Tinamou,reltin1,461593031,FALSE,kusacz czerwononogi
Crypturellus noctivagus,Yellow-legged Tinamou,yeltin1,385079961,FALSE,kusacz żółtonogi
Crypturellus atrocapillus,Black-capped Tinamou,blctin1,76049,FALSE,kusacz kapturowy
Crypturellus occidentalis,Western Thicket Tinamou,,,FALSE,kusacz cynamonowy (occidentalis)
Crypturellus cinnamomeus,Eastern Thicket Tinamou,thitin1,33206801,FALSE,kusacz cynamonowy
Crypturellus transfasciatus,Pale-browed Tinamou,pabtin1,143809,FALSE,kusacz jasnobrewy
Crypturellus boucardi,Slaty-breasted Tinamou,slbtin1,127724071,FALSE,kusacz okopcony
Crypturellus kerriae,Choco Tinamou,chotin1,324633271,FALSE,kusacz ciemny
Crypturellus varieagatus,Variegated Tinamou,vartin1,203934011,FALSE,
Crypturellus brevirostris,Rusty Tinamou,rustin1,614660336,FALSE,kusacz rdzawy
Crypturellus barletti,Barlett's Tinamou,,,FALSE,
Crypturellus casiquiare,Barred Tinamou,bartin1,630722708,FALSE,kusacz prążkowany
Crypturellus parvirostris,Small-billed Tinamou,smbtin1,51850,FALSE,kusacz krótkodzioby
Crypturellus tataupa,Tataupa Tinamou,tattin1,217313,FALSE,kusacz śniady
Rhynchotus rufescens,Red-winged Tinamou,rewtin1,203696371,FALSE,kusacz rdzawoskrzydły
Nothoprocta taczanowskii,Taczanowski's Tinamu,tactin1,628474647,FALSE,kusacz Taczanowskiego
Nothoprocta ornata,Ornate Tinamou,orntin1,609546694,FALSE,kusacz ozdobny
Nothoprocta perdicaria,Chilean Tinamou,chitin1,303573,FALSE,kusacz chilijski
Nothoprocta cinerascens,Brushland Tinamou,brutin1,634961756,FALSE,kusacz zaroślowy
Nothoprocta pentlandii,Andean Tinamou,andtin1,46168,FALSE,kusacz andyjski
Nothoprocta curvirostris,Curve-billed Tinamou,cubtin1,633661342,FALSE,kusacz krzywodzioby
Nothura boraquira,White-bellied Nothura,whbnot1,219138941,FALSE,kusacz białobrzuchy
Nothura minor,Lesser Nothura,lesnot1,424395341,FALSE,kusacz mały
Nothura darwinii,Darwin's Nothura,darnot1,426123241,FALSE,kusacz Darwina
Nothura maculosa,Spotted Nothura,sponot1,114397301,TRUE,kusacz kreskowany
Nothura chacoensis,Chaco Nothura,,,FALSE,
Taoniscus nanus,Dwarf Tinamou,dwatin1,643569796,FALSE,kusacz karłowaty
Eudromia elegans,Elegant Crested-Tinamou,elctin1,236936911,FALSE,kusacz pampasowy
Eudromia formosa,Quebracho Crested-Tinamou,quctin1,626262181,FALSE,kusacz leśny
Tinamotis pentlandii,Puna Tinamou,puntin1,210229,FALSE,kusoń andyjski
Tinamotis ingoufi,Patagonian Tinamou,pattin1,612106908,FALSE,kusoń patagoński
Alectura lathami,Australian Brush-turkey,ausbrt1,381591551,FALSE,nogal brunatny
Aepypodius arfakianus,Wattled Brush-turkey,watbrt1,,FALSE,nogal koralikowy
Aepypodius bruijnii,Bruijn's Brush-turkey,brubrt1,,FALSE,nogal trójsoplowy
Talegalla cuvieri,Red-billed Brush-turkey,rebbrt1,617189538,FALSE,nogal czerwonodzioby
Talegalla fuscirostris,Black-billed Brush-turkey,bkbbrt1,65819,FALSE,nogal czarnodzioby
Talegalla jobiensis,Brown-collared Brush-turkey,bncbrt1,204011051,FALSE,nogal brązowodzioby
Leipoa ocellata,Malleefowl,mallee1,507328321,TRUE,Nogal Prążkowany
Macrocephalon maleo,Maleo,maleo1,210744231,FALSE,nogal hełmiasty
Eulipoa wallacei,Moluccan Scrubfowl,molscr1,,FALSE,nogal molucki
Megapodius nicobariensis,Nicobar Scrubfowl,nicscr1,648533499,FALSE,nogal nikobarski
Megapodius cumingii,Philippine Scrubfowl,tabscr1,203893311,FALSE,nogal rdzawolicy
Megapodius bernsteinii,Sula Scrubfowl,sulscr1,203905281,FALSE,nogal brązowy
Megapodius tenimberensis,Tanimbar Scrubfowl,tanscr1,616243717,FALSE,nogal tanimbarski
Megapodius layardi,Vanuatu Scrubfowl,vanscr1,159476231,FALSE,nogal żółtonogi
Megapodius laperouse,Micronesian Scrubfowl,micscr1,140190,FALSE,nogal mikronezyjski
Megapodius pritchardii,Polynesian Scrubfowl,niuscr1,,FALSE,nogal polinezyjski
Megapodius freycinet,Dusky Scrubfowl,dusscr1,203908891,FALSE,nogal ciemny
Megapodius geelvikanus,Biak Scrubfowl,,,FALSE,
Megapodius decollatus,New Guinea Scrubfowl,negscr1,608353878,FALSE,nogal nowogwinejski
Megapodius eremita,Melanesian Scrubfowl,melscr1,203908291,FALSE,nogal melanezyjski
Megapodius reinwardt,Orange-footed Scrubfowl,orfscr1,58969901,TRUE,Nogal Zmienny
CRACIDAE,Guans Chachalacas Curassows,,,FALSE,
Chamaepetes unicolor,Black Guan,blagua1,53957,FALSE,grdacz czarny
Chamaepetes goudotii,Sickle-winged Guan,siwgua1,167255,FALSE,grdacz płomienny
Penelopina nigra,Highland Guan,higgua1,203692671,FALSE,penelopina
Penelope argyrotis,Band-tailed Guan,batgua1,167175,FALSE,penelopa jasnolica
Penelope barbata,Bearded Guan,beagua1,203915771,FALSE,penelopa brodata
Penelope ortoni,Baudo Guan,baugua1,168703,FALSE,penelopa brunatna
Penelope montagnii,Andean Guan,andgua1,591553691,FALSE,penelopa andyjska
Penelope marail,Marail Guan,margua1,67615,FALSE,penelopa gujańska
Penelope superciliaris,Rusty-margined Guan,rumgua1,102319,FALSE,penelopa krzykliwa
Penelope dabbenei,Red-faced Guan,refgua1,203985251,FALSE,penelopa czerwonolica
Penelope jacquacu,Spix's Guan,spigua1,190225,FALSE,penelopa zielonawa
Penelope purpurascens,Crested Guan,cregua1,173510751,FALSE,penelopa rdzawobrzucha
Penelope perspicax,Cauca Guan,caugua1,24042071,FALSE,penelopa kasztanowata
Penelope albipennis,White-winged Guan,whwgua1,13277,FALSE,penelopa białoskrzydła
Penelope obscura,Dusky-legged Guan,dulgua1,17658,FALSE,penelopa ciemnonoga
Penelope pileata,White-crested Guan,whcgua1,203895021,FALSE,penelopa piskliwa
Penelope ochrogaster,Chestnut-bellied Guan,chbgua1,193678891,FALSE,penelopa bagienna
Penelope jacucaca,White-browed Guan,whbgua1,248626081,FALSE,penelopa białobrewa
Pipile pipile,Trinidad Piping-guan,trpgua1,619307334,FALSE,grdacz trinidadzki
Pipile cumanensis,Blue-throated Piping-guan,butpig1,321834561,FALSE,grdacz modrogardły/białogłowy
Pipile grayi,White-throated Piping-guan,butpig2,396896121,FALSE,grdacz białogłowy
Pipile cujubi,Red-throated Piping-guan,rtpgua1,81437,FALSE,grdacz czerwonogardły
Pipile jacutinga,Black-fronted Piping-guan,bfpgua1,184775031,FALSE,grdacz czarnoczelny
Aburria aburri,Wattled Guan,watgua1,101066981,FALSE,grdacz soplowaty
Oreophasis derbianus,Horned Guan,horgua1,177575,TRUE,jednoróg
Ortalis vetula,Plain Chachalaca,placha,172754021,TRUE,czakalaka północna
Ortalis cinereiceps,Grey-headed Chachalaca,grhcha1,456443461,FALSE,czakalaka szarogłowa
Ortalis garrula,Chestnut-winged Chachalaca,chwcha1,624280923,FALSE,czakalaka brązowoskrzydła
Ortalis ruficauda,Rufous-vented Chachalaca,ruvcha1,2320,FALSE,czakalaka rdzaworzytna
Ortalis erythroptera,Rufous-headed Chachalaca,ruhcha1,514472621,FALSE,czakalaka rudogłowa
Ortalis wagleri,Rufous-bellied Chachalaca,rubcha1,49211281,FALSE,czakalaka barwna
Ortalis poliocephala,West Mexican Chachalaca,wemcha1,153248731,FALSE,czakalaka płowa
Ortalis canicollis,Chaco Chachalaca,chacha1,572139481,FALSE,czakalaka bura
Ortalis leucogastra,White-bellied Chachalaca,whbcha1,20375,FALSE,czakalaka białobrzucha
Ortalis columbiana,Colombian Chachalaca,colcha1,212229,FALSE,czakalaka kolumbijska
Ortalis guttata,Speckled Chachalaca,specha3,183366391,FALSE,czakalaka kreskowana
Ortalis araucan,East Brasilian Chachalaca,,,FALSE,
Ortalis squamata,Scaled Chachalaca,specha4,332027481,FALSE,czakalaka łuskowana
Ortalis motmot,Little Chachalaca,varcha1,78010,FALSE,czakalaka rdzawa
CASUARIIDAE,Cassowaries Emus,,,FALSE,
Casuarius casuarius,Southern Cassowary,soucas1,203989761,TRUE,Kazuar Hełmiasty
Casuarius bennetti,Dwarf Cassowary,dwacas1,203987101,FALSE,kazuar mniejszy
Casuarius unappendiculatus,Northern Cassowary,norcas1,536563291,FALSE,kazuar jednokoralowy
Dromaius novaehollandiae,Emu,emu1,623096519,TRUE,Emu Zwyczajne
†Dromaius minor,King Island Emu,,,FALSE,
†Dromaius baudinianus,Kangoroo Island Emu,,,FALSE,
APTERYGIDAE,Kiwis,,,FALSE,
Apteryx haastii,Great Spotted Kiwi,grskiw1,617700522,TRUE,kiwi plamisty
Apteryx owenii,Little Spotted Kiwi,liskiw1,596188651,FALSE,kiwi mały
Apteryx mantelli,North Island Brown Kiwi,nibkiw1,623165890,TRUE,Kiwi Północny
Apteryx australis,Southern Brown Kiwi,sobkiw1,85614831,FALSE,kiwi brunatny
