Scientific Name,en,species_code,macaulay_asset_code,wingspan_bird,pt,pt_ao,pt_br,pt_pt
STRUTHIONIFORMES,,,,FALSE,,,,
STRUTHIONIDAE,Ostriches,,,FALSE,,,,
Apteryx rowi,Okarito Kiwi,okbkiw1,197661661,FALSE,Quivi-marrom-de-okarito,Quivi-marrom-de-okarito,Quivi-marrom-de-okarito,kiwi-de-okarito
†DINORNITHIDAE,Moas,,,FALSE,,,,
Struthio camelus,Ostrich,ostric2,645938838,FALSE,,,,avestruz-comum/somali
Struhio molybdophanes,Somali Ostrich,ostric3,,FALSE,,,,
†Dinornis gigantheus,Great Moa,,,FALSE,,,,
†Megalapteryx didinus,Lesser Megalapteryx,,,FALSE,,,,
RHEIDAE,Rheas,,,FALSE,,,,
†AEPYORNITHIDAE,Elephantbirds,,,FALSE,,,,
Rhea americana,Greater Rhea,grerhe1,203988441,TRUE,Ema,Ema,ema,nandu-comum
Rhea pennata,Lesser Rhea,lesrhe2,49399691,FALSE,Ema-pequena,Ema-pequena,Ema-pequena,nandu-pequeno
Rhea tarapacensis,Puna Rhea,,,FALSE,,,,nandu-pequeno (tarapacensis/garleppi)
†Aepyornis maximus,Elephantbird,,,FALSE,,,,
GALLIFORMES,,,,FALSE,,,,
MEGAPODIIDAE,Megapodes,,,FALSE,,,,
TINAMIDAE,Tinamous,,,FALSE,,,,
Nothocercus julius,Tawny-breasted Tinamou,tabtin1,462300061,FALSE,inambu-de-peito-pardo,inambu-de-peito-pardo,inambu-de-peito-pardo,tinamu-de-peito-ruivo
Nothocercus bonapartei,Highland Tinamou,higtin1,871,FALSE,inambu-serrano,inambu-serrano,inambu-serrano,tinamu-serrano
Nothocercus nigrocapillus,Hooded Tinamou,hootin1,203940161,FALSE,inambu-de-capuz,inambu-de-capuz,inambu-de-capuz,tinamu-de-capuz
Tinamus tao,Grey Tinamou,grytin1,58702,FALSE,Azulona,Azulona,azulona,tinamu-cinzento
Tinamus solitarius,Solitary Tinamou,soltin1,18804,FALSE,Macuco,Macuco,macuco,tinamu-solitário
Tinamus osgoodi,Black Tinamou,blatin1,60456,FALSE,Macuco-preto,Macuco-preto,Macuco-preto,tinamu-preto
Tinamus major,Great Tinamou,gretin1,57320,FALSE,inambu-serra,inambu-serra,inambu-serra,tinamu-grande
Tinamus guttatus,White-throated Tinamou,whttin1,31950,FALSE,inambu-galinha,inambu-galinha,inambu-galinha,tinamu-pintalgado
Crypturellus berlepschi,Berlepsch's Tinamou,bertin1,629455957,FALSE,inambu-tição,inambu-tição,inambu-tição,tinamu-escuro
Crypturellus cinereus,Cinereous Tinamou,cintin1,203696311,FALSE,,,inhambu-pixuna,Inhambu-preto
Crypturellus ptaritepui,Tepui Tinamou,teptin1,204027571,FALSE,inambu-do-tepui,inambu-do-tepui,inambu-do-tepui,tinamu-dos-tepuis
Crypturellus soui,Little Tinamou,littin1,117119,TRUE,tururim,tururim,tururim,tinamu-pequeno
Crypturellus obsoletus,Brown Tinamou,brotin1,164251,FALSE,inambuguaçu,inambuguaçu,inambuguaçu,tinamu-castanho
Crypturellus undulatus,Undulated Tinamou,undtin1,626373802,FALSE,Jaó,Jaó,jaó,tinamu-ondulado
Crypturellus strigulosus,Brazilian Tinamou,bratin1,204022031,FALSE,inambu-relógio,inambu-relógio,inambu-relógio,tinamu-relógio
Crypturellus duidae,Grey-legged Tinamou,gyltin1,158883681,FALSE,inambu-de-pé-cinza,inambu-de-pé-cinza,inambu-de-pé-cinza,tinamu-de-patas-cinzentas
Crypturellus erythropus,Red-legged Tinamou,reltin1,461593031,FALSE,inambu-de-perna-vermelha,inambu-de-perna-vermelha,inambu-de-perna-vermelha,tinamu-de-patas-vermelhas
Crypturellus noctivagus,Yellow-legged Tinamou,yeltin1,385079961,FALSE,,,jaó-do-sul/zabelê,Jaó-do-sul
Crypturellus atrocapillus,Black-capped Tinamou,blctin1,76049,FALSE,inambu-de-coroa-preta,inambu-de-coroa-preta,inambu-de-coroa-preta,tinamu-de-barrete
Crypturellus occidentalis,Western Thicket Tinamou,,,FALSE,,,,tinamu-do-bosque (occidentalis)
Crypturellus cinnamomeus,Eastern Thicket Tinamou,thitin1,33206801,FALSE,,,,
Crypturellus transfasciatus,Pale-browed Tinamou,pabtin1,143809,FALSE,inambu-de-sobrancelhas-claras,inambu-de-sobrancelhas-claras,inambu-de-sobrancelhas-claras,tinamu-de-sobrancelha
Crypturellus boucardi,Slaty-breasted Tinamou,slbtin1,127724071,FALSE,,,,
Crypturellus kerriae,Choco Tinamou,chotin1,324633271,FALSE,inambu-do-chocó,inambu-do-chocó,inambu-do-chocó,tinamu-do-chocó
Crypturellus varieagatus,Variegated Tinamou,vartin1,203934011,FALSE,,,,
Crypturellus brevirostris,Rusty Tinamou,rustin1,614660336,FALSE,Inambu-carijó,Inambu-carijó,inambu-carijó,tinamu-ferruginoso-oriental
Crypturellus barletti,Barlett's Tinamou,,,FALSE,,,,
Crypturellus casiquiare,Barred Tinamou,bartin1,630722708,FALSE,inambu-listrado,inambu-listrado,inambu-listrado,tinamu-do-cassiquiare
Crypturellus parvirostris,Small-billed Tinamou,smbtin1,51850,FALSE,inambu-chororó,inambu-chororó,inambu-chororó,tinamu-de-bico-curto
Crypturellus tataupa,Tataupa Tinamou,tattin1,217313,FALSE,inambu-chintã,inambu-chintã,inambu-chintã,tinamu-tatáupá
Rhynchotus rufescens,Red-winged Tinamou,rewtin1,203696371,FALSE,,,perdiz,Perdiz-do-brasil
Nothoprocta taczanowskii,Taczanowski's Tinamu,tactin1,628474647,FALSE,inambu-peruano-azulado,inambu-peruano-azulado,inambu-peruano-azulado,tinamu-de-taczanowski
Nothoprocta ornata,Ornate Tinamou,orntin1,609546694,FALSE,inambu-adornado,inambu-adornado,inambu-adornado,tinamu-adornado
Nothoprocta perdicaria,Chilean Tinamou,chitin1,303573,FALSE,inambu-chileno,inambu-chileno,inambu-chileno,tinamu-chileno
Nothoprocta cinerascens,Brushland Tinamou,brutin1,634961756,FALSE,inambu-do-chaco,inambu-do-chaco,inambu-do-chaco,tinamu-do-mato
Nothoprocta pentlandii,Andean Tinamou,andtin1,46168,FALSE,inambu-andino,inambu-andino,inambu-andino,tinamu-andino
Nothoprocta curvirostris,Curve-billed Tinamou,cubtin1,633661342,FALSE,inambu-do-páramo,inambu-do-páramo,inambu-do-páramo,tinamu-do-páramo
Nothura boraquira,White-bellied Nothura,whbnot1,219138941,FALSE,codorna-do-nordeste,codorna-do-nordeste,codorna-do-nordeste,tinamu-de-barriga-branca
Nothura minor,Lesser Nothura,lesnot1,424395341,FALSE,codorna-mineira,codorna-mineira,codorna-mineira,tinamu-mineiro
Nothura darwinii,Darwin's Nothura,darnot1,426123241,FALSE,Codorna-de-darwin,Codorna-de-darwin,Codorna-de-darwin,tinamu-de-darwin
Nothura maculosa,Spotted Nothura,sponot1,114397301,TRUE,codorna-amarela,codorna-amarela,codorna-amarela,tinamu-malhado
Nothura chacoensis,Chaco Nothura,,,FALSE,,,,
Taoniscus nanus,Dwarf Tinamou,dwatin1,643569796,FALSE,codorninha,codorninha,codorninha,tinamu-anão
Eudromia elegans,Elegant Crested-Tinamou,elctin1,236936911,FALSE,Martineta-elegante,Martineta-elegante,Martineta-elegante,tinamu-elegante
Eudromia formosa,Quebracho Crested-Tinamou,quctin1,626262181,FALSE,Martineta-do-chaco,Martineta-do-chaco,Martineta-do-chaco,tinamu-do-chaco
Tinamotis pentlandii,Puna Tinamou,puntin1,210229,FALSE,Qiúla-andina,Qiúla-andina,Qiúla-andina,tinamu-da-puna
Tinamotis ingoufi,Patagonian Tinamou,pattin1,612106908,FALSE,Qiúla-patagônica,Qiúla-patagônica,Qiúla-patagônica,tinamu-patagónico
Alectura lathami,Australian Brush-turkey,ausbrt1,381591551,FALSE,Peru-do-mato-australiano,Peru-do-mato-australiano,Peru-do-mato-australiano,peru-do-mato-australiano
Aepypodius arfakianus,Wattled Brush-turkey,watbrt1,,FALSE,Peru-do-mato-de-barbela,Peru-do-mato-de-barbela,Peru-do-mato-de-barbela,peru-do-mato-de-cabeça-azul
Aepypodius bruijnii,Bruijn's Brush-turkey,brubrt1,,FALSE,Peru-do-mato-da-waigeo,Peru-do-mato-da-waigeo,Peru-do-mato-da-waigeo,peru-do-mato-de-waigeo
Talegalla cuvieri,Red-billed Brush-turkey,rebbrt1,617189538,FALSE,Peru-do-mato-de-barriga-vermelha,Peru-do-mato-de-barriga-vermelha,Peru-do-mato-de-barriga-vermelha,peru-do-mato-de-bico-vermelho
Talegalla fuscirostris,Black-billed Brush-turkey,bkbbrt1,65819,FALSE,Peru-do-mato-de-bico-preto,Peru-do-mato-de-bico-preto,Peru-do-mato-de-bico-preto,peru-do-mato-de-bico-preto
Talegalla jobiensis,Brown-collared Brush-turkey,bncbrt1,204011051,FALSE,Peru-do-mato-de-colar-marrom,Peru-do-mato-de-colar-marrom,Peru-do-mato-de-colar-marrom,peru-do-mato-de-patas-vermelhas
Leipoa ocellata,Malleefowl,mallee1,507328321,TRUE,Leipoa,Leipoa,Leipoa,peru-do-mato-ocelado
Macrocephalon maleo,Maleo,maleo1,210744231,FALSE,Maléo,Maléo,Maléo,peru-do-mato-de-capacete
Eulipoa wallacei,Moluccan Scrubfowl,molscr1,,FALSE,Frango-do-mato-das-molucas,Frango-do-mato-das-molucas,Frango-do-mato-das-molucas,frango-do-mato-das-molucas
Megapodius nicobariensis,Nicobar Scrubfowl,nicscr1,648533499,FALSE,,,,
Megapodius cumingii,Philippine Scrubfowl,tabscr1,203893311,FALSE,Frango-do-mato-de-barriga-cinzenta,Frango-do-mato-de-barriga-cinzenta,Frango-do-mato-de-barriga-cinzenta,frango-do-mato-filipino
Megapodius bernsteinii,Sula Scrubfowl,sulscr1,203905281,FALSE,Frango-do-mato-das-sula,Frango-do-mato-das-sula,Frango-do-mato-das-sula,frango-do-mato-das-sula
Megapodius tenimberensis,Tanimbar Scrubfowl,tanscr1,616243717,FALSE,frango-do-mato-das-tanimbar,frango-do-mato-das-tanimbar,frango-do-mato-das-tanimbar,frango-do-mato-das-tanimbar
Megapodius layardi,Vanuatu Scrubfowl,vanscr1,159476231,FALSE,Frango-do-mato-de-vanuatu,Frango-do-mato-de-vanuatu,Frango-do-mato-de-vanuatu,frango-do-mato-de-vanuatu
Megapodius laperouse,Micronesian Scrubfowl,micscr1,140190,FALSE,frango-do-mato-micronésio,frango-do-mato-micronésio,frango-do-mato-micronésio,frango-do-mato-micronésio
Megapodius pritchardii,Polynesian Scrubfowl,niuscr1,,FALSE,Frango-do-mato-de-tonga,Frango-do-mato-de-tonga,Frango-do-mato-de-tonga,frango-do-mato-de-tonga
Megapodius freycinet,Dusky Scrubfowl,dusscr1,203908891,FALSE,,,,
Megapodius geelvikanus,Biak Scrubfowl,,,FALSE,,,,
Megapodius decollatus,New Guinea Scrubfowl,negscr1,608353878,FALSE,Frango-do-mato-papua,Frango-do-mato-papua,Frango-do-mato-papua,frango-do-mato-da-papua
Megapodius eremita,Melanesian Scrubfowl,melscr1,203908291,FALSE,Frango-do-mato-ermitão,Frango-do-mato-ermitão,Frango-do-mato-ermitão,frango-do-mato-eremita
Megapodius reinwardt,Orange-footed Scrubfowl,orfscr1,58969901,TRUE,,,,Galinha-do-mato-de-reinwardt
CRACIDAE,Guans Chachalacas Curassows,,,FALSE,,,,
Chamaepetes unicolor,Black Guan,blagua1,53957,FALSE,Jacu-preto,Jacu-preto,Jacu-preto,guano-preto
