Scientific Name,en,species_code,macaulay_asset_code,wingspan_bird,ru
STRUTHIONIFORMES,,,,FALSE,
STRUTHIONIDAE,Ostriches,,,FALSE,
Apteryx rowi,Okarito Kiwi,okbkiw1,197661661,FALSE,Окаритский киви
†DINORNITHIDAE,Moas,,,FALSE,
Struthio camelus,Ostrich,ostric2,645938838,FALSE,Африканский/Сомалийский страус
Struhio molybdophanes,Somali Ostrich,ostric3,,FALSE,
†Dinornis gigantheus,Great Moa,,,FALSE,
†Megalapteryx didinus,Lesser Megalapteryx,,,FALSE,
RHEIDAE,Rheas,,,FALSE,
†AEPYORNITHIDAE,Elephantbirds,,,FALSE,
Rhea americana,Greater Rhea,grerhe1,203988441,TRUE,Нанду
Rhea pennata,Lesser Rhea,lesrhe2,49399691,FALSE,Дарвинов нанду
Rhea tarapacensis,Puna Rhea,,,FALSE,Дарвинов нанду (tarapacensis/garleppi)
†Aepyornis maximus,Elephantbird,,,FALSE,
GALLIFORMES,,,,FALSE,
MEGAPODIIDAE,Megapodes,,,FALSE,
TINAMIDAE,Tinamous,,,FALSE,
Nothocercus julius,Tawny-breasted Tinamou,tabtin1,462300061,FALSE,Желтогрудый трёхпалый тинаму
Nothocercus bonapartei,Highland Tinamou,higtin1,871,FALSE,Горный трёхпалый тинаму
Nothocercus nigrocapillus,Hooded Tinamou,hootin1,203940161,FALSE,Капюшоновый трёхпалый тинаму
Tinamus tao,Grey Tinamou,grytin1,58702,FALSE,Тао
Tinamus solitarius,Solitary Tinamou,soltin1,18804,FALSE,Тинаму-отшельник
Tinamus osgoodi,Black Tinamou,blatin1,60456,FALSE,Чёрный тинаму
Tinamus major,Great Tinamou,gretin1,57320,FALSE,Большой тинаму
Tinamus guttatus,White-throated Tinamou,whttin1,31950,FALSE,Белогорлый тинаму
Crypturellus berlepschi,Berlepsch's Tinamou,bertin1,629455957,FALSE,Колумбийский скрытохвост
Crypturellus cinereus,Cinereous Tinamou,cintin1,203696311,FALSE,Серый скрытохвост
Crypturellus ptaritepui,Tepui Tinamou,teptin1,204027571,FALSE,Венесуэльский скрытохвост
Crypturellus soui,Little Tinamou,littin1,117119,TRUE,Малый скрытохвост
Crypturellus obsoletus,Brown Tinamou,brotin1,164251,FALSE,Каштановый скрытохвост
Crypturellus undulatus,Undulated Tinamou,undtin1,626373802,FALSE,Волнистый скрытохвост
Crypturellus strigulosus,Brazilian Tinamou,bratin1,204022031,FALSE,Красногорлый скрытохвост
Crypturellus duidae,Grey-legged Tinamou,gyltin1,158883681,FALSE,Сероногий скрытохвост
Crypturellus erythropus,Red-legged Tinamou,reltin1,461593031,FALSE,Красноногий скрытохвост
Crypturellus noctivagus,Yellow-legged Tinamou,yeltin1,385079961,FALSE,Желтоногий скрытохвост
Crypturellus atrocapillus,Black-capped Tinamou,blctin1,76049,FALSE,Черношапочный скрытохвост
Crypturellus occidentalis,Western Thicket Tinamou,,,FALSE,Кустарниковый скрытохвост (occidentalis)
Crypturellus cinnamomeus,Eastern Thicket Tinamou,thitin1,33206801,FALSE,Кустарниковый скрытохвост
Crypturellus transfasciatus,Pale-browed Tinamou,pabtin1,143809,FALSE,Тусклый скрытохвост
Crypturellus boucardi,Slaty-breasted Tinamou,slbtin1,127724071,FALSE,Аспидногрудый скрытохвост
Crypturellus kerriae,Choco Tinamou,chotin1,324633271,FALSE,Чокский скрытохвост
Crypturellus varieagatus,Variegated Tinamou,vartin1,203934011,FALSE,
Crypturellus brevirostris,Rusty Tinamou,rustin1,614660336,FALSE,Ржавчатый скрытохвост
Crypturellus barletti,Barlett's Tinamou,,,FALSE,
Crypturellus casiquiare,Barred Tinamou,bartin1,630722708,FALSE,Полосатый скрытохвост
Crypturellus parvirostris,Small-billed Tinamou,smbtin1,51850,FALSE,Короткоклювый скрытохвост
Crypturellus tataupa,Tataupa Tinamou,tattin1,217313,FALSE,Скрытохвост татаупа
Rhynchotus rufescens,Red-winged Tinamou,rewtin1,203696371,FALSE,Краснокрылый тинаму
Nothoprocta taczanowskii,Taczanowski's Tinamu,tactin1,628474647,FALSE,Хунинский тинаму
Nothoprocta ornata,Ornate Tinamou,orntin1,609546694,FALSE,Украшенный тинаму
Nothoprocta perdicaria,Chilean Tinamou,chitin1,303573,FALSE,Чилийский тинаму
Nothoprocta cinerascens,Brushland Tinamou,brutin1,634961756,FALSE,Пампасный тинаму
Nothoprocta pentlandii,Andean Tinamou,andtin1,46168,FALSE,Андский тинаму
Nothoprocta curvirostris,Curve-billed Tinamou,cubtin1,633661342,FALSE,Кривоклювый тинаму
Nothura boraquira,White-bellied Nothura,whbnot1,219138941,FALSE,Белобрюхая нотура
Nothura minor,Lesser Nothura,lesnot1,424395341,FALSE,Малая нотура
Nothura darwinii,Darwin's Nothura,darnot1,426123241,FALSE,Дарвинова нотура
Nothura maculosa,Spotted Nothura,sponot1,114397301,TRUE,Пятнистая нотура
Nothura chacoensis,Chaco Nothura,,,FALSE,
Taoniscus nanus,Dwarf Tinamou,dwatin1,643569796,FALSE,Карликовый тинаму
Eudromia elegans,Elegant Crested-Tinamou,elctin1,236936911,FALSE,Хохлатый тинаму
Eudromia formosa,Quebracho Crested-Tinamou,quctin1,626262181,FALSE,Великолепный тинаму
Tinamotis pentlandii,Puna Tinamou,puntin1,210229,FALSE,Тинаму пуны
Tinamotis ingoufi,Patagonian Tinamou,pattin1,612106908,FALSE,Патагонский тинаму
Alectura lathami,Australian Brush-turkey,ausbrt1,381591551,FALSE,Австралийский курохвост
Aepypodius arfakianus,Wattled Brush-turkey,watbrt1,,FALSE,Серёжчатий курохвост
Aepypodius bruijnii,Bruijn's Brush-turkey,brubrt1,,FALSE,Красноголовий курохвост
Talegalla cuvieri,Red-billed Brush-turkey,rebbrt1,617189538,FALSE,Красноклювий курохвост
Talegalla fuscirostris,Black-billed Brush-turkey,bkbbrt1,65819,FALSE,Черноклювий курохвост
Talegalla jobiensis,Brown-collared Brush-turkey,bncbrt1,204011051,FALSE,Ошейниковий курохвост
Leipoa ocellata,Malleefowl,mallee1,507328321,TRUE,Глазчатая сорная курица
Macrocephalon maleo,Maleo,maleo1,210744231,FALSE,Малео
Eulipoa wallacei,Moluccan Scrubfowl,molscr1,,FALSE,Молуккский большеног
Megapodius nicobariensis,Nicobar Scrubfowl,nicscr1,648533499,FALSE,Никобарский большеног
Megapodius cumingii,Philippine Scrubfowl,tabscr1,203893311,FALSE,Филиппинский большеног
Megapodius bernsteinii,Sula Scrubfowl,sulscr1,203905281,FALSE,Суласский большеног
Megapodius tenimberensis,Tanimbar Scrubfowl,tanscr1,616243717,FALSE,Танимбарский большеног
Megapodius layardi,Vanuatu Scrubfowl,vanscr1,159476231,FALSE,Вануатский большеног
Megapodius laperouse,Micronesian Scrubfowl,micscr1,140190,FALSE,Микронезийский большеног
Megapodius pritchardii,Polynesian Scrubfowl,niuscr1,,FALSE,Полинезийский большеног
Megapodius freycinet,Dusky Scrubfowl,dusscr1,203908891,FALSE,
Megapodius geelvikanus,Biak Scrubfowl,,,FALSE,
Megapodius decollatus,New Guinea Scrubfowl,negscr1,608353878,FALSE,Новогвинейский большеног
Megapodius eremita,Melanesian Scrubfowl,melscr1,203908291,FALSE,Меланезийский большеног
Megapodius reinwardt,Orange-footed Scrubfowl,orfscr1,58969901,TRUE,Оранжевоногий большеног
CRACIDAE,Guans Chachalacas Curassows,,,FALSE,
Chamaepetes unicolor,Black Guan,blagua1,53957,FALSE,Чёрный гуан
Chamaepetes goudotii,Sickle-winged Guan,siwgua1,167255,FALSE,Серпокрылый гуан
Penelopina nigra,Highland Guan,higgua1,203692671,FALSE,Малый гуан
Penelope argyrotis,Band-tailed Guan,batgua1,167175,FALSE,Белолобая пенелопа
Penelope barbata,Bearded Guan,beagua1,203915771,FALSE,Бородатая пенелопа
Penelope ortoni,Baudo Guan,baugua1,168703,FALSE,Ортонова пенелопа
Penelope montagnii,Andean Guan,andgua1,591553691,FALSE,Андская пенелопа
Penelope marail,Marail Guan,margua1,67615,FALSE,Кайеннская пенелопа
Penelope superciliaris,Rusty-margined Guan,rumgua1,102319,FALSE,Рыжебокая пенелопа
Penelope dabbenei,Red-faced Guan,refgua1,203985251,FALSE,Краснолицая пенелопа
Penelope jacquacu,Spix's Guan,spigua1,190225,FALSE,Амазонская пенелопа
Penelope purpurascens,Crested Guan,cregua1,173510751,FALSE,Хохлатая пенелопа
Penelope perspicax,Cauca Guan,caugua1,24042071,FALSE,Колумбийская пенелопа
Penelope albipennis,White-winged Guan,whwgua1,13277,FALSE,Белокрылая пенелопа
Penelope obscura,Dusky-legged Guan,dulgua1,17658,FALSE,Бронзовая пенелопа
Penelope pileata,White-crested Guan,whcgua1,203895021,FALSE,Белохохлая пенелопа
Penelope ochrogaster,Chestnut-bellied Guan,chbgua1,193678891,FALSE,Рыжебрюхая пенелопа
Penelope jacucaca,White-browed Guan,whbgua1,248626081,FALSE,Белобровая пенелопа
Pipile pipile,Trinidad Piping-guan,trpgua1,619307334,FALSE,Тринидадский гуан
Pipile cumanensis,Blue-throated Piping-guan,butpig1,321834561,FALSE,
Pipile grayi,White-throated Piping-guan,butpig2,396896121,FALSE,
Pipile cujubi,Red-throated Piping-guan,rtpgua1,81437,FALSE,Красногорлый гуан
Pipile jacutinga,Black-fronted Piping-guan,bfpgua1,184775031,FALSE,Очковый гуан
Aburria aburri,Wattled Guan,watgua1,101066981,FALSE,Серёжчатый гуан
Oreophasis derbianus,Horned Guan,horgua1,177575,TRUE,Рогатый гуан
Ortalis vetula,Plain Chachalaca,placha,172754021,TRUE,Бурокрылая чачалака
Ortalis cinereiceps,Grey-headed Chachalaca,grhcha1,456443461,FALSE,Сероголовая чачалака
Ortalis garrula,Chestnut-winged Chachalaca,chwcha1,624280923,FALSE,Краснокрылая чачалака
Ortalis ruficauda,Rufous-vented Chachalaca,ruvcha1,2320,FALSE,Краснохвостая чачалака
Ortalis erythroptera,Rufous-headed Chachalaca,ruhcha1,514472621,FALSE,Красноголовая чачалака
Ortalis wagleri,Rufous-bellied Chachalaca,rubcha1,49211281,FALSE,Рыжебрюхая чачалака
Ortalis poliocephala,West Mexican Chachalaca,wemcha1,153248731,FALSE,Серогрудая чачалака
Ortalis canicollis,Chaco Chachalaca,chacha1,572139481,FALSE,Чакская чачалака
Ortalis leucogastra,White-bellied Chachalaca,whbcha1,20375,FALSE,Белобрюхая чачалака
Ortalis columbiana,Colombian Chachalaca,colcha1,212229,FALSE,Колумбийская чачалака
Ortalis guttata,Speckled Chachalaca,specha3,183366391,FALSE,Глазчатая чачалака
Ortalis araucan,East Brasilian Chachalaca,,,FALSE,
Ortalis squamata,Scaled Chachalaca,specha4,332027481,FALSE,Чешуйчатая чачалака
Ortalis motmot,Little Chachalaca,varcha1,78010,FALSE,Малая чачалака
CASUARIIDAE,Cassowaries Emus,,,FALSE,
Casuarius casuarius,Southern Cassowary,soucas1,203989761,TRUE,Шлемоносный казуар
Casuarius bennetti,Dwarf Cassowary,dwacas1,203987101,FALSE,Казуар-мурук
Casuarius unappendiculatus,Northern Cassowary,norcas1,536563291,FALSE,Оранжевошейный казуар
Dromaius novaehollandiae,Emu,emu1,623096519,TRUE,Эму
†Dromaius minor,King Island Emu,,,FALSE,
†Dromaius baudinianus,Kangoroo Island Emu,,,FALSE,
APTERYGIDAE,Kiwis,,,FALSE,
Apteryx haastii,Great Spotted Kiwi,grskiw1,617700522,TRUE,Пятнистый киви
Apteryx owenii,Little Spotted Kiwi,liskiw1,596188651,FALSE,Малый киви
Apteryx mantelli,North Island Brown Kiwi,nibkiw1,623165890,TRUE,Северный киви
