Scientific Name,en,species_code,macaulay_asset_code,wingspan_bird,sk
STRUTHIONIFORMES,,,,FALSE,
STRUTHIONIDAE,Ostriches,,,FALSE,
Apteryx rowi,Okarito Kiwi,okbkiw1,197661661,FALSE,kivi hodvábny
†DINORNITHIDAE,Moas,,,FALSE,
Struthio camelus,Ostrich,ostric2,645938838,FALSE,pštros dvojprstý/sivonohý
Struhio molybdophanes,Somali Ostrich,ostric3,,FALSE,
†Dinornis gigantheus,Great Moa,,,FALSE,
†Megalapteryx didinus,Lesser Megalapteryx,,,FALSE,
RHEIDAE,Rheas,,,FALSE,
†AEPYORNITHIDAE,Elephantbirds,,,FALSE,
Rhea americana,Greater Rhea,grerhe1,203988441,TRUE,nandu pampový
Rhea pennata,Lesser Rhea,lesrhe2,49399691,FALSE,nandu škvrnitý
Rhea tarapacensis,Puna Rhea,,,FALSE,nandu andský (skup.)
†Aepyornis maximus,Elephantbird,,,FALSE,
GALLIFORMES,,,,FALSE,
MEGAPODIIDAE,Megapodes,,,FALSE,
TINAMIDAE,Tinamous,,,FALSE,
Nothocercus julius,Tawny-breasted Tinamou,tabtin1,462300061,FALSE,tinama pralesná
Nothocercus bonapartei,Highland Tinamou,higtin1,871,FALSE,tinama horská
Nothocercus nigrocapillus,Hooded Tinamou,hootin1,203940161,FALSE,tinama kapucňová
Tinamus tao,Grey Tinamou,grytin1,58702,FALSE,tinama sivá
Tinamus solitarius,Solitary Tinamou,soltin1,18804,FALSE,tinama samotárska
Tinamus osgoodi,Black Tinamou,blatin1,60456,FALSE,tinama čierna
Tinamus major,Great Tinamou,gretin1,57320,FALSE,tinama veľká
Tinamus guttatus,White-throated Tinamou,whttin1,31950,FALSE,tinama bielohrdlá
Crypturellus berlepschi,Berlepsch's Tinamou,bertin1,629455957,FALSE,tinama sadzová
Crypturellus cinereus,Cinereous Tinamou,cintin1,203696311,FALSE,tinama popolavá
Crypturellus ptaritepui,Tepui Tinamou,teptin1,204027571,FALSE,tinama bielooká
Crypturellus soui,Little Tinamou,littin1,117119,TRUE,tinama malá
Crypturellus obsoletus,Brown Tinamou,brotin1,164251,FALSE,tinama gaštanová
Crypturellus undulatus,Undulated Tinamou,undtin1,626373802,FALSE,tinama vlnkovaná
Crypturellus strigulosus,Brazilian Tinamou,bratin1,204022031,FALSE,tinama nížinná
Crypturellus duidae,Grey-legged Tinamou,gyltin1,158883681,FALSE,tinama sivonohá
Crypturellus erythropus,Red-legged Tinamou,reltin1,461593031,FALSE,tinama červenonohá
Crypturellus noctivagus,Yellow-legged Tinamou,yeltin1,385079961,FALSE,tinama pásikavá
Crypturellus atrocapillus,Black-capped Tinamou,blctin1,76049,FALSE,tinama čiapočkatá
Crypturellus occidentalis,Western Thicket Tinamou,,,FALSE,tinama mexická (skup.)
Crypturellus cinnamomeus,Eastern Thicket Tinamou,thitin1,33206801,FALSE,tinama húštinová
Crypturellus transfasciatus,Pale-browed Tinamou,pabtin1,143809,FALSE,tinama dažďová
Crypturellus boucardi,Slaty-breasted Tinamou,slbtin1,127724071,FALSE,tinama tmavoprsá
Crypturellus kerriae,Choco Tinamou,chotin1,324633271,FALSE,tinama tmavá
Crypturellus varieagatus,Variegated Tinamou,vartin1,203934011,FALSE,
Crypturellus brevirostris,Rusty Tinamou,rustin1,614660336,FALSE,tinama hrdzavá
Crypturellus barletti,Barlett's Tinamou,,,FALSE,
Crypturellus casiquiare,Barred Tinamou,bartin1,630722708,FALSE,tinama lesná
Crypturellus parvirostris,Small-billed Tinamou,smbtin1,51850,FALSE,tinama malozobá
Crypturellus tataupa,Tataupa Tinamou,tattin1,217313,FALSE,tinama tataupa
Rhynchotus rufescens,Red-winged Tinamou,rewtin1,203696371,FALSE,inambu vlnkovaný
Nothoprocta taczanowskii,Taczanowski's Tinamu,tactin1,628474647,FALSE,inambu pasienkový
Nothoprocta ornata,Ornate Tinamou,orntin1,609546694,FALSE,inambu ozdobný
Nothoprocta perdicaria,Chilean Tinamou,chitin1,303573,FALSE,inambu poľný
Nothoprocta cinerascens,Brushland Tinamou,brutin1,634961756,FALSE,inambu krovinový
Nothoprocta pentlandii,Andean Tinamou,andtin1,46168,FALSE,inambu andský
Nothoprocta curvirostris,Curve-billed Tinamou,cubtin1,633661342,FALSE,inambu krivozobý
Nothura boraquira,White-bellied Nothura,whbnot1,219138941,FALSE,inambu svetlobruchý
Nothura minor,Lesser Nothura,lesnot1,424395341,FALSE,inambu malý
Nothura darwinii,Darwin's Nothura,darnot1,426123241,FALSE,inambu pustatinný
Nothura maculosa,Spotted Nothura,sponot1,114397301,TRUE,inambu čiarkový
Nothura chacoensis,Chaco Nothura,,,FALSE,
Taoniscus nanus,Dwarf Tinamou,dwatin1,643569796,FALSE,inambu krpatý
Eudromia elegans,Elegant Crested-Tinamou,elctin1,236936911,FALSE,inambu chochlatý
Eudromia formosa,Quebracho Crested-Tinamou,quctin1,626262181,FALSE,inambu hájový
Tinamotis pentlandii,Puna Tinamou,puntin1,210229,FALSE,inambu veľký
Tinamotis ingoufi,Patagonian Tinamou,pattin1,612106908,FALSE,inambu stepný
Alectura lathami,Australian Brush-turkey,ausbrt1,381591551,FALSE,tabon morkovitý
Aepypodius arfakianus,Wattled Brush-turkey,watbrt1,,FALSE,tabon horský
Aepypodius bruijnii,Bruijn's Brush-turkey,brubrt1,,FALSE,tabon hnedoprsý
Talegalla cuvieri,Red-billed Brush-turkey,rebbrt1,617189538,FALSE,tabon červenozobý
Talegalla fuscirostris,Black-billed Brush-turkey,bkbbrt1,65819,FALSE,tabon čiernozobý
Talegalla jobiensis,Brown-collared Brush-turkey,bncbrt1,204011051,FALSE,tabon goliernatý
Leipoa ocellata,Malleefowl,mallee1,507328321,TRUE,tabon okavý
Macrocephalon maleo,Maleo,maleo1,210744231,FALSE,tabon prilbatý
Eulipoa wallacei,Moluccan Scrubfowl,molscr1,,FALSE,tabon džungľový
Megapodius nicobariensis,Nicobar Scrubfowl,nicscr1,648533499,FALSE,tabon nikobarský
Megapodius cumingii,Philippine Scrubfowl,tabscr1,203893311,FALSE,tabon červenolíci
Megapodius bernsteinii,Sula Scrubfowl,sulscr1,203905281,FALSE,tabon bronzový
Megapodius tenimberensis,Tanimbar Scrubfowl,tanscr1,616243717,FALSE,tabon tanimbarský
Megapodius layardi,Vanuatu Scrubfowl,vanscr1,159476231,FALSE,tabon žltonohý
Megapodius laperouse,Micronesian Scrubfowl,micscr1,140190,FALSE,tabon kurí
Megapodius pritchardii,Polynesian Scrubfowl,niuscr1,,FALSE,tabon cisársky
Megapodius freycinet,Dusky Scrubfowl,dusscr1,203908891,FALSE,tabon tmavý
Megapodius geelvikanus,Biak Scrubfowl,,,FALSE,
Megapodius decollatus,New Guinea Scrubfowl,negscr1,608353878,FALSE,tabon popolavý
Megapodius eremita,Melanesian Scrubfowl,melscr1,203908291,FALSE,tabon melanézsky
Megapodius reinwardt,Orange-footed Scrubfowl,orfscr1,58969901,TRUE,tabon hnedý
CRACIDAE,Guans Chachalacas Curassows,,,FALSE,
Chamaepetes unicolor,Black Guan,blagua1,53957,FALSE,morkovec čierny
Chamaepetes goudotii,Sickle-winged Guan,siwgua1,167255,FALSE,morkovec maskový
Penelopina nigra,Highland Guan,higgua1,203692671,FALSE,morkovec horský
Penelope argyrotis,Band-tailed Guan,batgua1,167175,FALSE,šuan pásochvostý
Penelope barbata,Bearded Guan,beagua1,203915771,FALSE,šuan bradatý
Penelope ortoni,Baudo Guan,baugua1,168703,FALSE,šuan hnedý
Penelope montagnii,Andean Guan,andgua1,591553691,FALSE,šuan Montagnov
Penelope marail,Marail Guan,margua1,67615,FALSE,šuan marail
Penelope superciliaris,Rusty-margined Guan,rumgua1,102319,FALSE,šuan krikľavý
Penelope dabbenei,Red-faced Guan,refgua1,203985251,FALSE,šuan červenolíci
Penelope jacquacu,Spix's Guan,spigua1,190225,FALSE,šuan jakuaku
Penelope purpurascens,Crested Guan,cregua1,173510751,FALSE,šuan chochlatý
Penelope perspicax,Cauca Guan,caugua1,24042071,FALSE,šuan gaštanový
Penelope albipennis,White-winged Guan,whwgua1,13277,FALSE,šuan bielokrídly
Penelope obscura,Dusky-legged Guan,dulgua1,17658,FALSE,šuan tmavý
Penelope pileata,White-crested Guan,whcgua1,203895021,FALSE,šuan hrdzavoprsý
Penelope ochrogaster,Chestnut-bellied Guan,chbgua1,193678891,FALSE,šuan mokrinový
Penelope jacucaca,White-browed Guan,whbgua1,248626081,FALSE,šuan čelenkový
Pipile pipile,Trinidad Piping-guan,trpgua1,619307334,FALSE,morkovec hvízdavý
Pipile cumanensis,Blue-throated Piping-guan,butpig1,321834561,FALSE,morkovec modrohrdlý/bledotylový
Pipile grayi,White-throated Piping-guan,butpig2,396896121,FALSE,morkovec bledotylový
Pipile cujubi,Red-throated Piping-guan,rtpgua1,81437,FALSE,morkovec červenohrdlý
Pipile jacutinga,Black-fronted Piping-guan,bfpgua1,184775031,FALSE,morkovec čiernočelý
Aburria aburri,Wattled Guan,watgua1,101066981,FALSE,morkovec lalôčkový
Oreophasis derbianus,Horned Guan,horgua1,177575,TRUE,roháň horský
Ortalis vetula,Plain Chachalaca,placha,172754021,TRUE,čačalaka plodožravá
Ortalis cinereiceps,Grey-headed Chachalaca,grhcha1,456443461,FALSE,čačalaka sivohlavá
Ortalis garrula,Chestnut-winged Chachalaca,chwcha1,624280923,FALSE,čačalaka hnedokrídla
Ortalis ruficauda,Rufous-vented Chachalaca,ruvcha1,2320,FALSE,čačalaka družná
Ortalis erythroptera,Rufous-headed Chachalaca,ruhcha1,514472621,FALSE,čačalaka ekvádorská
Ortalis wagleri,Rufous-bellied Chachalaca,rubcha1,49211281,FALSE,čačalaka mexická
Ortalis poliocephala,West Mexican Chachalaca,wemcha1,153248731,FALSE,čačalaka plavá
Ortalis canicollis,Chaco Chachalaca,chacha1,572139481,FALSE,čačalaka sivokrká
Ortalis leucogastra,White-bellied Chachalaca,whbcha1,20375,FALSE,čačalaka bielobruchá
Ortalis columbiana,Colombian Chachalaca,colcha1,212229,FALSE,čačalaka kolumbijská
Ortalis guttata,Speckled Chachalaca,specha3,183366391,FALSE,čačalaka perlavá
Ortalis araucan,East Brasilian Chachalaca,,,FALSE,
Ortalis squamata,Scaled Chachalaca,specha4,332027481,FALSE,čačalaka šupinatá
Ortalis motmot,Little Chachalaca,varcha1,78010,FALSE,čačalaka paraka
CASUARIIDAE,Cassowaries Emus,,,FALSE,
Casuarius casuarius,Southern Cassowary,soucas1,203989761,TRUE,kazuár veľkoprilbý
Casuarius bennetti,Dwarf Cassowary,dwacas1,203987101,FALSE,kazuár muruk
Casuarius unappendiculatus,Northern Cassowary,norcas1,536563291,FALSE,kazuár džungľový
Dromaius novaehollandiae,Emu,emu1,623096519,TRUE,emu hnedý
†Dromaius minor,King Island Emu,,,FALSE,
†Dromaius baudinianus,Kangoroo Island Emu,,,FALSE,
APTERYGIDAE,Kiwis,,,FALSE,
Apteryx haastii,Great Spotted Kiwi,grskiw1,617700522,TRUE,kivi kráľovský
Apteryx owenii,Little Spotted Kiwi,liskiw1,596188651,FALSE,kivi pásikavý
Apteryx mantelli,Northern Brown Kiwi,nibkiw1,623165890,TRUE,kivi hnedý
Apteryx australis,Southern Brown Kiwi,sobkiw1,85614831,FALSE,kivi južný
Ortalis superciliaris,Buff-browed Chachalaca,bubcha1,349286621,FALSE,čačalaka obočnatá
Nothocrax urumutum,Nocturnal Curassow,noccur1,34378,FALSE,hoko malý
Crax rubra,Great Curassow,grecur1,398165901,TRUE,hoko hrbozobý
