Scientific Name,en,species_code,macaulay_asset_code,wingspan_bird,sr
STRUTHIONIFORMES,,,,FALSE,
STRUTHIONIDAE,Ostriches,,,FALSE,
Apteryx rowi,Okarito Kiwi,okbkiw1,197661661,FALSE,Okarito smeđi kivi
†DINORNITHIDAE,Moas,,,FALSE,
Struthio camelus,Ostrich,ostric2,645938838,FALSE,Noj/somalijski noj
Struhio molybdophanes,Somali Ostrich,ostric3,,FALSE,
†Dinornis gigantheus,Great Moa,,,FALSE,
†Megalapteryx didinus,Lesser Megalapteryx,,,FALSE,
RHEIDAE,Rheas,,,FALSE,
†AEPYORNITHIDAE,Elephantbirds,,,FALSE,
Rhea americana,Greater Rhea,grerhe1,203988441,TRUE,Veliki nandu
Rhea pennata,Lesser Rhea,lesrhe2,49399691,FALSE,Mali nandu
Rhea tarapacensis,Puna Rhea,,,FALSE,Mali nandu (tarapacensis/garleppi)
†Aepyornis maximus,Elephantbird,,,FALSE,
GALLIFORMES,,,,FALSE,
MEGAPODIIDAE,Megapodes,,,FALSE,
TINAMIDAE,Tinamous,,,FALSE,
Nothocercus julius,Tawny-breasted Tinamou,tabtin1,462300061,FALSE,Žutogrudi tinamu
Nothocercus bonapartei,Highland Tinamou,higtin1,871,FALSE,Planinski tinamu
Nothocercus nigrocapillus,Hooded Tinamou,hootin1,203940161,FALSE,Sivoglavi tinamu
Tinamus tao,Grey Tinamou,grytin1,58702,FALSE,Sivi tinamu
Tinamus solitarius,Solitary Tinamou,soltin1,18804,FALSE,Skriveni tinamu
Tinamus osgoodi,Black Tinamou,blatin1,60456,FALSE,Crni tinamu
Tinamus major,Great Tinamou,gretin1,57320,FALSE,Veliki tinamu
Tinamus guttatus,White-throated Tinamou,whttin1,31950,FALSE,Belogrli tinamu
Crypturellus berlepschi,Berlepsch's Tinamou,bertin1,629455957,FALSE,Berlepšov tinamu
Crypturellus cinereus,Cinereous Tinamou,cintin1,203696311,FALSE,Pepeljasti tinamu
Crypturellus ptaritepui,Tepui Tinamou,teptin1,204027571,FALSE,Tinamu iz Tepuija
Crypturellus soui,Little Tinamou,littin1,117119,TRUE,Mali tinamu
Crypturellus obsoletus,Brown Tinamou,brotin1,164251,FALSE,Smeđi tinamu
Crypturellus undulatus,Undulated Tinamou,undtin1,626373802,FALSE,Sitnopirgavi tinamu
Crypturellus strigulosus,Brazilian Tinamou,bratin1,204022031,FALSE,Brazilski tinamu
Crypturellus duidae,Grey-legged Tinamou,gyltin1,158883681,FALSE,Sivonogi tinamu
Crypturellus erythropus,Red-legged Tinamou,reltin1,461593031,FALSE,Crvenonogi tinamu
Crypturellus noctivagus,Yellow-legged Tinamou,yeltin1,385079961,FALSE,Žutonogi tinamu
Crypturellus atrocapillus,Black-capped Tinamou,blctin1,76049,FALSE,Crnokapi tinamu
Crypturellus occidentalis,Western Thicket Tinamou,,,FALSE,Šikarski tinamu (occidentalis)
Crypturellus cinnamomeus,Eastern Thicket Tinamou,thitin1,33206801,FALSE,Šikarski tinamu
Crypturellus transfasciatus,Pale-browed Tinamou,pabtin1,143809,FALSE,Tinamu sa svetlom obrvom
Crypturellus boucardi,Slaty-breasted Tinamou,slbtin1,127724071,FALSE,Sivogrudi tinamu
Crypturellus kerriae,Choco Tinamou,chotin1,324633271,FALSE,Čoko tinamu
Crypturellus varieagatus,Variegated Tinamou,vartin1,203934011,FALSE,
Crypturellus brevirostris,Rusty Tinamou,rustin1,614660336,FALSE,Rđasti tinamu
Crypturellus barletti,Barlett's Tinamou,,,FALSE,
Crypturellus casiquiare,Barred Tinamou,bartin1,630722708,FALSE,Riđoglavi tinamu
Crypturellus parvirostris,Small-billed Tinamou,smbtin1,51850,FALSE,Kratkokljuni tinamu
Crypturellus tataupa,Tataupa Tinamou,tattin1,217313,FALSE,Crvenokljuni tinamu
Rhynchotus rufescens,Red-winged Tinamou,rewtin1,203696371,FALSE,Crvenokrili tinamu
Nothoprocta taczanowskii,Taczanowski's Tinamu,tactin1,628474647,FALSE,Tačanovskijev tinamu
Nothoprocta ornata,Ornate Tinamou,orntin1,609546694,FALSE,Ukrašeni tinamu
Nothoprocta perdicaria,Chilean Tinamou,chitin1,303573,FALSE,Čileanski tinamu
Nothoprocta cinerascens,Brushland Tinamou,brutin1,634961756,FALSE,Žbunjački tinamu
Nothoprocta pentlandii,Andean Tinamou,andtin1,46168,FALSE,Andski tinamu
Nothoprocta curvirostris,Curve-billed Tinamou,cubtin1,633661342,FALSE,Krivokljuni tinamu
Nothura boraquira,White-bellied Nothura,whbnot1,219138941,FALSE,Belotrbi notura tinamu
Nothura minor,Lesser Nothura,lesnot1,424395341,FALSE,Mali notura tinamu
Nothura darwinii,Darwin's Nothura,darnot1,426123241,FALSE,Darvinov notura tinamu
Nothura maculosa,Spotted Nothura,sponot1,114397301,TRUE,Pegavi notura tinamu
Nothura chacoensis,Chaco Nothura,,,FALSE,
Taoniscus nanus,Dwarf Tinamou,dwatin1,643569796,FALSE,Patuljasti tinamu
Eudromia elegans,Elegant Crested-Tinamou,elctin1,236936911,FALSE,Kitnjasti ćubasti tinamu
Eudromia formosa,Quebracho Crested-Tinamou,quctin1,626262181,FALSE,Savanski ćubasti tinamu
Tinamotis pentlandii,Puna Tinamou,puntin1,210229,FALSE,Punski tinamu
Tinamotis ingoufi,Patagonian Tinamou,pattin1,612106908,FALSE,Patagonski tinamu
Alectura lathami,Australian Brush-turkey,ausbrt1,381591551,FALSE,Australijska megapoda
Aepypodius arfakianus,Wattled Brush-turkey,watbrt1,,FALSE,Resasta megapoda
Aepypodius bruijnii,Bruijn's Brush-turkey,brubrt1,,FALSE,Megapoda sa ostrva Vaigeo
Talegalla cuvieri,Red-billed Brush-turkey,rebbrt1,617189538,FALSE,Crvenokljuna megapoda
Talegalla fuscirostris,Black-billed Brush-turkey,bkbbrt1,65819,FALSE,Žutonoga megapoda
Talegalla jobiensis,Brown-collared Brush-turkey,bncbrt1,204011051,FALSE,Crvenonoga megapoda
Leipoa ocellata,Malleefowl,mallee1,507328321,TRUE,Pegava megapoda
Macrocephalon maleo,Maleo,maleo1,210744231,FALSE,Sulaveška kokoška
Eulipoa wallacei,Moluccan Scrubfowl,molscr1,,FALSE,Molučka megapoda
Megapodius nicobariensis,Nicobar Scrubfowl,nicscr1,648533499,FALSE,Nikobarska megapoda
Megapodius cumingii,Philippine Scrubfowl,tabscr1,203893311,FALSE,Filipinska megapoda
Megapodius bernsteinii,Sula Scrubfowl,sulscr1,203905281,FALSE,Megapoda sa ostrva Sula
Megapodius tenimberensis,Tanimbar Scrubfowl,tanscr1,616243717,FALSE,Megapoda sa Tanimbarskih ostrva
Megapodius layardi,Vanuatu Scrubfowl,vanscr1,159476231,FALSE,Vanuatu megapoda
Megapodius laperouse,Micronesian Scrubfowl,micscr1,140190,FALSE,Mikronezijska megapoda
Megapodius pritchardii,Polynesian Scrubfowl,niuscr1,,FALSE,Megapoda sa ostrva Niuafo-ou
Megapodius freycinet,Dusky Scrubfowl,dusscr1,203908891,FALSE,Tamna megapoda
Megapodius geelvikanus,Biak Scrubfowl,,,FALSE,
Megapodius decollatus,New Guinea Scrubfowl,negscr1,608353878,FALSE,Novogvinejska megapoda
Megapodius eremita,Melanesian Scrubfowl,melscr1,203908291,FALSE,Melanezijska megapoda
Megapodius reinwardt,Orange-footed Scrubfowl,orfscr1,58969901,TRUE,Narandžastonoga megapoda
CRACIDAE,Guans Chachalacas Curassows,,,FALSE,
Chamaepetes unicolor,Black Guan,blagua1,53957,FALSE,Crni guan
Chamaepetes goudotii,Sickle-winged Guan,siwgua1,167255,FALSE,Srpokrili guan
Penelopina nigra,Highland Guan,higgua1,203692671,FALSE,Brdski guan
Penelope argyrotis,Band-tailed Guan,batgua1,167175,FALSE,Trakorepi guan
Penelope barbata,Bearded Guan,beagua1,203915771,FALSE,Bradati guan
Penelope ortoni,Baudo Guan,baugua1,168703,FALSE,Guan iz oblasti Baudo
Penelope montagnii,Andean Guan,andgua1,591553691,FALSE,Andski guan
Penelope marail,Marail Guan,margua1,67615,FALSE,Kajenski guan
Penelope superciliaris,Rusty-margined Guan,rumgua1,102319,FALSE,Žakupenba guan
Penelope dabbenei,Red-faced Guan,refgua1,203985251,FALSE,Crvenoliki guan
Penelope jacquacu,Spix's Guan,spigua1,190225,FALSE,Spiksov guan
Penelope purpurascens,Crested Guan,cregua1,173510751,FALSE,Ćubasti guan
Penelope perspicax,Cauca Guan,caugua1,24042071,FALSE,Kaukanski guan
Penelope albipennis,White-winged Guan,whwgua1,13277,FALSE,Belokrili guan
Penelope obscura,Dusky-legged Guan,dulgua1,17658,FALSE,Tamnonogi guan
Penelope pileata,White-crested Guan,whcgua1,203895021,FALSE,Beloćubi guan
Penelope ochrogaster,Chestnut-bellied Guan,chbgua1,193678891,FALSE,Guan kestenjastog trbuha
Penelope jacucaca,White-browed Guan,whbgua1,248626081,FALSE,Beloobrvasti guan
Pipile pipile,Trinidad Piping-guan,trpgua1,619307334,FALSE,Trinidadski guan
Pipile cumanensis,Blue-throated Piping-guan,butpig1,321834561,FALSE,Plavogrli guan/belogrli guan
Pipile grayi,White-throated Piping-guan,butpig2,396896121,FALSE,Belogrli guan
Pipile cujubi,Red-throated Piping-guan,rtpgua1,81437,FALSE,Crvenogrli guan
Pipile jacutinga,Black-fronted Piping-guan,bfpgua1,184775031,FALSE,Crnočeli guan
Aburria aburri,Wattled Guan,watgua1,101066981,FALSE,Resasti guan
Oreophasis derbianus,Horned Guan,horgua1,177575,TRUE,Rogati guan
Ortalis vetula,Plain Chachalaca,placha,172754021,TRUE,Obična čačalaka
Ortalis cinereiceps,Grey-headed Chachalaca,grhcha1,456443461,FALSE,Sivoglava čačalaka
Ortalis garrula,Chestnut-winged Chachalaca,chwcha1,624280923,FALSE,Kestenjastokrila čačalaka
Ortalis ruficauda,Rufous-vented Chachalaca,ruvcha1,2320,FALSE,Čačalaka riđeg podrepka
Ortalis erythroptera,Rufous-headed Chachalaca,ruhcha1,514472621,FALSE,Riđoglava čačalaka
Ortalis wagleri,Rufous-bellied Chachalaca,rubcha1,49211281,FALSE,Riđotrba čačalaka
Ortalis poliocephala,West Mexican Chachalaca,wemcha1,153248731,FALSE,Zapadnomeksička čačalaka
Ortalis canicollis,Chaco Chachalaca,chacha1,572139481,FALSE,Čako čačalaka
Ortalis leucogastra,White-bellied Chachalaca,whbcha1,20375,FALSE,Belotrba čačalaka
Ortalis columbiana,Colombian Chachalaca,colcha1,212229,FALSE,Kolumbijska čačalaka
Ortalis guttata,Speckled Chachalaca,specha3,183366391,FALSE,Pirgava čačalaka
Ortalis araucan,East Brasilian Chachalaca,,,FALSE,
Ortalis squamata,Scaled Chachalaca,specha4,332027481,FALSE,Ljuskasta čačalaka
Ortalis motmot,Little Chachalaca,varcha1,78010,FALSE,Smeđokrila čačalaka
CASUARIIDAE,Cassowaries Emus,,,FALSE,
Casuarius casuarius,Southern Cassowary,soucas1,203989761,TRUE,Južni kazuar
Casuarius bennetti,Dwarf Cassowary,dwacas1,203987101,FALSE,Patuljasti kazuar
Casuarius unappendiculatus,Northern Cassowary,norcas1,536563291,FALSE,Severni kazuar
Dromaius novaehollandiae,Emu,emu1,623096519,TRUE,Emu
†Dromaius minor,King Island Emu,,,FALSE,
†Dromaius baudinianus,Kangoroo Island Emu,,,FALSE,
APTERYGIDAE,Kiwis,,,FALSE,
Apteryx haastii,Great Spotted Kiwi,grskiw1,617700522,TRUE,Veliki pegavi kivi
Apteryx owenii,Little Spotted Kiwi,liskiw1,596188651,FALSE,Mali pegavi kivi
