Scientific Name,en,species_code,macaulay_asset_code,wingspan_bird,sv
STRUTHIONIFORMES,,,,FALSE,
STRUTHIONIDAE,Ostriches,,,FALSE,
Apteryx rowi,Okarito Kiwi,okbkiw1,197661661,FALSE,okaritokivi
†DINORNITHIDAE,Moas,,,FALSE,
Struthio camelus,Ostrich,ostric2,645938838,FALSE,Struts/somaliastruts
Struhio molybdophanes,Somali Ostrich,ostric3,,FALSE,
†Dinornis gigantheus,Great Moa,,,FALSE,
†Megalapteryx didinus,Lesser Megalapteryx,,,FALSE,
RHEIDAE,Rheas,,,FALSE,
†AEPYORNITHIDAE,Elephantbirds,,,FALSE,
Rhea americana,Greater Rhea,grerhe1,203988441,TRUE,större nandu
Rhea pennata,Lesser Rhea,lesrhe2,49399691,FALSE,mindre nandu
Rhea tarapacensis,Puna Rhea,,,FALSE,mindre nandu (tarapacensis/garleppi)
†Aepyornis maximus,Elephantbird,,,FALSE,
GALLIFORMES,,,,FALSE,
MEGAPODIIDAE,Megapodes,,,FALSE,
TINAMIDAE,Tinamous,,,FALSE,
Nothocercus julius,Tawny-breasted Tinamou,tabtin1,462300061,FALSE,brunbröstad tinamo
Nothocercus bonapartei,Highland Tinamou,higtin1,871,FALSE,höglandstinamo
Nothocercus nigrocapillus,Hooded Tinamou,hootin1,203940161,FALSE,kamtinamo
Tinamus tao,Grey Tinamou,grytin1,58702,FALSE,grå tinamo
Tinamus solitarius,Solitary Tinamou,soltin1,18804,FALSE,solitärtinamo
Tinamus osgoodi,Black Tinamou,blatin1,60456,FALSE,svart tinamo
Tinamus major,Great Tinamou,gretin1,57320,FALSE,större tinamo
Tinamus guttatus,White-throated Tinamou,whttin1,31950,FALSE,vitstrupig tinamo
Crypturellus berlepschi,Berlepsch's Tinamou,bertin1,629455957,FALSE,sottinamo
Crypturellus cinereus,Cinereous Tinamou,cintin1,203696311,FALSE,askgrå tinamo
Crypturellus ptaritepui,Tepui Tinamou,teptin1,204027571,FALSE,tepuítinamo
Crypturellus soui,Little Tinamou,littin1,117119,TRUE,mindre tinamo
Crypturellus obsoletus,Brown Tinamou,brotin1,164251,FALSE,brun tinamo
Crypturellus undulatus,Undulated Tinamou,undtin1,626373802,FALSE,amazontinamo
Crypturellus strigulosus,Brazilian Tinamou,bratin1,204022031,FALSE,brasiliansk tinamo
Crypturellus duidae,Grey-legged Tinamou,gyltin1,158883681,FALSE,gråbent tinamo
Crypturellus erythropus,Red-legged Tinamou,reltin1,461593031,FALSE,rödbent tinamo
Crypturellus noctivagus,Yellow-legged Tinamou,yeltin1,385079961,FALSE,gulbent tinamo
Crypturellus atrocapillus,Black-capped Tinamou,blctin1,76049,FALSE,svarthättad tinamo
Crypturellus occidentalis,Western Thicket Tinamou,,,FALSE,snårtinamo (occidentalis)
Crypturellus cinnamomeus,Eastern Thicket Tinamou,thitin1,33206801,FALSE,snårtinamo
Crypturellus transfasciatus,Pale-browed Tinamou,pabtin1,143809,FALSE,ljusbrynad tinamo
Crypturellus boucardi,Slaty-breasted Tinamou,slbtin1,127724071,FALSE,skiffertinamo
Crypturellus kerriae,Choco Tinamou,chotin1,324633271,FALSE,chocótinamo
Crypturellus varieagatus,Variegated Tinamou,vartin1,203934011,FALSE,
Crypturellus brevirostris,Rusty Tinamou,rustin1,614660336,FALSE,rosttinamo
Crypturellus barletti,Barlett's Tinamou,,,FALSE,
Crypturellus casiquiare,Barred Tinamou,bartin1,630722708,FALSE,strimmig tinamo
Crypturellus parvirostris,Small-billed Tinamou,smbtin1,51850,FALSE,kortnäbbad tinamo
Crypturellus tataupa,Tataupa Tinamou,tattin1,217313,FALSE,tataupatinamo
Rhynchotus rufescens,Red-winged Tinamou,rewtin1,203696371,FALSE,rostvingad tinamo
Nothoprocta taczanowskii,Taczanowski's Tinamu,tactin1,628474647,FALSE,Taczanowskis tinamo
Nothoprocta ornata,Ornate Tinamou,orntin1,609546694,FALSE,tofstinamo
Nothoprocta perdicaria,Chilean Tinamou,chitin1,303573,FALSE,chiletinamo
Nothoprocta cinerascens,Brushland Tinamou,brutin1,634961756,FALSE,busktinamo
Nothoprocta pentlandii,Andean Tinamou,andtin1,46168,FALSE,andinsk tinamo
Nothoprocta curvirostris,Curve-billed Tinamou,cubtin1,633661342,FALSE,bågnäbbad tinamo
Nothura boraquira,White-bellied Nothura,whbnot1,219138941,FALSE,vitbukig tinamo
Nothura minor,Lesser Nothura,lesnot1,424395341,FALSE,småtinamo
Nothura darwinii,Darwin's Nothura,darnot1,426123241,FALSE,darwintinamo
Nothura maculosa,Spotted Nothura,sponot1,114397301,TRUE,Fläckig tinamo
Nothura chacoensis,Chaco Nothura,,,FALSE,
Taoniscus nanus,Dwarf Tinamou,dwatin1,643569796,FALSE,dvärgtinamo
Eudromia elegans,Elegant Crested-Tinamou,elctin1,236936911,FALSE,prakttinamo
Eudromia formosa,Quebracho Crested-Tinamou,quctin1,626262181,FALSE,quebrachotinamo
Tinamotis pentlandii,Puna Tinamou,puntin1,210229,FALSE,punatinamo
Tinamotis ingoufi,Patagonian Tinamou,pattin1,612106908,FALSE,patagonientinamo
Alectura lathami,Australian Brush-turkey,ausbrt1,381591551,FALSE,australisk buskhöna
Aepypodius arfakianus,Wattled Brush-turkey,watbrt1,,FALSE,kambuskhöna
Aepypodius bruijnii,Bruijn's Brush-turkey,brubrt1,,FALSE,waigeobuskhöna
Talegalla cuvieri,Red-billed Brush-turkey,rebbrt1,617189538,FALSE,rödnäbbad buskhöna
Talegalla fuscirostris,Black-billed Brush-turkey,bkbbrt1,65819,FALSE,svartnäbbad buskhöna
Talegalla jobiensis,Brown-collared Brush-turkey,bncbrt1,204011051,FALSE,rödkindad buskhöna
Leipoa ocellata,Malleefowl,mallee1,507328321,TRUE,malleehöna
Macrocephalon maleo,Maleo,maleo1,210744231,FALSE,maleohöna
Eulipoa wallacei,Moluccan Scrubfowl,molscr1,,FALSE,moluckstorfotshöna
Megapodius nicobariensis,Nicobar Scrubfowl,nicscr1,648533499,FALSE,nikobarstorfotshöna
Megapodius cumingii,Philippine Scrubfowl,tabscr1,203893311,FALSE,filippinsk storfotshöna
Megapodius bernsteinii,Sula Scrubfowl,sulscr1,203905281,FALSE,sulastorfotshöna
Megapodius tenimberensis,Tanimbar Scrubfowl,tanscr1,616243717,FALSE,tanimbarstorfotshöna
Megapodius layardi,Vanuatu Scrubfowl,vanscr1,159476231,FALSE,vanuatustorfotshöna
Megapodius laperouse,Micronesian Scrubfowl,micscr1,140190,FALSE,mikronesisk storfotshöna
Megapodius pritchardii,Polynesian Scrubfowl,niuscr1,,FALSE,tongastorfotshöna
Megapodius freycinet,Dusky Scrubfowl,dusscr1,203908891,FALSE,mörk storfotshöna
Megapodius geelvikanus,Biak Scrubfowl,,,FALSE,
Megapodius decollatus,New Guinea Scrubfowl,negscr1,608353878,FALSE,papuastorfotshöna
Megapodius eremita,Melanesian Scrubfowl,melscr1,203908291,FALSE,melanesisk storfotshöna
Megapodius reinwardt,Orange-footed Scrubfowl,orfscr1,58969901,TRUE,orangefotad storfotshöna
CRACIDAE,Guans Chachalacas Curassows,,,FALSE,
Chamaepetes unicolor,Black Guan,blagua1,53957,FALSE,svart guan
Chamaepetes goudotii,Sickle-winged Guan,siwgua1,167255,FALSE,blåmaskad guan
Penelopina nigra,Highland Guan,higgua1,203692671,FALSE,bergguan
Penelope argyrotis,Band-tailed Guan,batgua1,167175,FALSE,bandstjärtad guan
Penelope barbata,Bearded Guan,beagua1,203915771,FALSE,skägguan
Penelope ortoni,Baudo Guan,baugua1,168703,FALSE,baudóguan
Penelope montagnii,Andean Guan,andgua1,591553691,FALSE,andinsk guan
Penelope marail,Marail Guan,margua1,67615,FALSE,marailguan
Penelope superciliaris,Rusty-margined Guan,rumgua1,102319,FALSE,blåkindad guan
Penelope dabbenei,Red-faced Guan,refgua1,203985251,FALSE,rödkindad guan
Penelope jacquacu,Spix's Guan,spigua1,190225,FALSE,amazonguan
Penelope purpurascens,Crested Guan,cregua1,173510751,FALSE,tofsguan
Penelope perspicax,Cauca Guan,caugua1,24042071,FALSE,caucaguan
Penelope albipennis,White-winged Guan,whwgua1,13277,FALSE,vitvingad guan
Penelope obscura,Dusky-legged Guan,dulgua1,17658,FALSE,mörkbent guan
Penelope pileata,White-crested Guan,whcgua1,203895021,FALSE,vitkronad guan
Penelope ochrogaster,Chestnut-bellied Guan,chbgua1,193678891,FALSE,rostbukig guan
Penelope jacucaca,White-browed Guan,whbgua1,248626081,FALSE,vitbrynad guan
Pipile pipile,Trinidad Piping-guan,trpgua1,619307334,FALSE,trinidadguan
Pipile cumanensis,Blue-throated Piping-guan,butpig1,321834561,FALSE,blåstrupig/vitstrupig guan
Pipile grayi,White-throated Piping-guan,butpig2,396896121,FALSE,vitstrupig guan
Pipile cujubi,Red-throated Piping-guan,rtpgua1,81437,FALSE,rödstrupig guan
Pipile jacutinga,Black-fronted Piping-guan,bfpgua1,184775031,FALSE,svartpannad guan
Aburria aburri,Wattled Guan,watgua1,101066981,FALSE,flikguan
Oreophasis derbianus,Horned Guan,horgua1,177575,TRUE,hornguan
Ortalis vetula,Plain Chachalaca,placha,172754021,TRUE,nordlig chachalaca
Ortalis cinereiceps,Grey-headed Chachalaca,grhcha1,456443461,FALSE,gråhuvad chachalaca
Ortalis garrula,Chestnut-winged Chachalaca,chwcha1,624280923,FALSE,brunvingad chachalaca
Ortalis ruficauda,Rufous-vented Chachalaca,ruvcha1,2320,FALSE,rostgumpad chachalaca
Ortalis erythroptera,Rufous-headed Chachalaca,ruhcha1,514472621,FALSE,rosthuvad chachalaca
Ortalis wagleri,Rufous-bellied Chachalaca,rubcha1,49211281,FALSE,rostbukig chachalaca
Ortalis poliocephala,West Mexican Chachalaca,wemcha1,153248731,FALSE,västmexikansk chachalaca
Ortalis canicollis,Chaco Chachalaca,chacha1,572139481,FALSE,gråhalsad chachalaca
Ortalis leucogastra,White-bellied Chachalaca,whbcha1,20375,FALSE,vitbukig chachalaca
Ortalis columbiana,Colombian Chachalaca,colcha1,212229,FALSE,colombiachachalaca
Ortalis guttata,Speckled Chachalaca,specha3,183366391,FALSE,spräcklig chachalaca
Ortalis araucan,East Brasilian Chachalaca,,,FALSE,
Ortalis squamata,Scaled Chachalaca,specha4,332027481,FALSE,fjällig chachalaca
Ortalis motmot,Little Chachalaca,varcha1,78010,FALSE,motmotchachalaca
CASUARIIDAE,Cassowaries Emus,,,FALSE,
Casuarius casuarius,Southern Cassowary,soucas1,203989761,TRUE,hjälmkasuar
Casuarius bennetti,Dwarf Cassowary,dwacas1,203987101,FALSE,dvärgkasuar
Casuarius unappendiculatus,Northern Cassowary,norcas1,536563291,FALSE,enflikig kasuar
Dromaius novaehollandiae,Emu,emu1,623096519,TRUE,emu
†Dromaius minor,King Island Emu,,,FALSE,
†Dromaius baudinianus,Kangoroo Island Emu,,,FALSE,
APTERYGIDAE,Kiwis,,,FALSE,
Apteryx haastii,Great Spotted Kiwi,grskiw1,617700522,TRUE,större fläckkivi
Apteryx owenii,Little Spotted Kiwi,liskiw1,596188651,FALSE,mindre fläckkivi
Apteryx mantelli,North Island Brown Kiwi,nibkiw1,623165890,TRUE,brun kivi
Apteryx australis,Southern Brown Kiwi,sobkiw1,85614831,FALSE,sydkivi
Ortalis superciliaris,Buff-browed Chachalaca,bubcha1,349286621,FALSE,beigebrynad chachalaca
Nothocrax urumutum,Nocturnal Curassow,noccur1,34378,FALSE,natthocko
Crax rubra,Great Curassow,grecur1,398165901,TRUE,större hocko
Crax alberti,Blue-billed Curassow,bubcur1,203963551,FALSE,blånäbbad hocko
