Scientific Name,en,species_code,macaulay_asset_code,wingspan_bird,tr
STRUTHIONIFORMES,,,,FALSE,
STRUTHIONIDAE,Ostriches,,,FALSE,
Apteryx rowi,Okarito Kiwi,okbkiw1,197661661,FALSE,Okarito Kivisi
†DINORNITHIDAE,Moas,,,FALSE,
Struthio camelus,Ostrich,ostric2,645938838,FALSE,Devekuşu/Somali devekuşu
Struhio molybdophanes,Somali Ostrich,ostric3,,FALSE,
†Dinornis gigantheus,Great Moa,,,FALSE,
†Megalapteryx didinus,Lesser Megalapteryx,,,FALSE,
RHEIDAE,Rheas,,,FALSE,
†AEPYORNITHIDAE,Elephantbirds,,,FALSE,
Rhea americana,Greater Rhea,grerhe1,203988441,TRUE,Büyük Rea
Rhea pennata,Lesser Rhea,lesrhe2,49399691,FALSE,Benekli Rea
Rhea tarapacensis,Puna Rhea,,,FALSE,Benekli Rea (tarapacensis/garleppi)
†Aepyornis maximus,Elephantbird,,,FALSE,
GALLIFORMES,,,,FALSE,
MEGAPODIIDAE,Megapodes,,,FALSE,
TINAMIDAE,Tinamous,,,FALSE,
Nothocercus julius,Tawny-breasted Tinamou,tabtin1,462300061,FALSE,Kızılca Tinamu
Nothocercus bonapartei,Highland Tinamou,higtin1,871,FALSE,Bonaparte Tinamusu
Nothocercus nigrocapillus,Hooded Tinamou,hootin1,203940161,FALSE,Takkeli tinamu
Tinamus tao,Grey Tinamou,grytin1,58702,FALSE,Gri Tinamu
Tinamus solitarius,Solitary Tinamou,soltin1,18804,FALSE,Yalnız Tinamu
Tinamus osgoodi,Black Tinamou,blatin1,60456,FALSE,Kara Tinamu
Tinamus major,Great Tinamou,gretin1,57320,FALSE,Büyük Tinamu
Tinamus guttatus,White-throated Tinamou,whttin1,31950,FALSE,Benekli Tinamu
Crypturellus berlepschi,Berlepsch's Tinamou,bertin1,629455957,FALSE,Küçük Kara Tinamu
Crypturellus cinereus,Cinereous Tinamou,cintin1,203696311,FALSE,Karaca Tinamu
Crypturellus ptaritepui,Tepui Tinamou,teptin1,204027571,FALSE,Sarı Gözlü Tinamu
Crypturellus soui,Little Tinamou,littin1,117119,TRUE,Küçük Tinamu
Crypturellus obsoletus,Brown Tinamou,brotin1,164251,FALSE,Kahverengi Tinamu
Crypturellus undulatus,Undulated Tinamou,undtin1,626373802,FALSE,Yazılı Tinamu
Crypturellus strigulosus,Brazilian Tinamou,bratin1,204022031,FALSE,Brezilya Tinamusu
Crypturellus duidae,Grey-legged Tinamou,gyltin1,158883681,FALSE,Gri Ayaklı Tinamu
Crypturellus erythropus,Red-legged Tinamou,reltin1,461593031,FALSE,Kırmızı Ayaklı Tinamu
Crypturellus noctivagus,Yellow-legged Tinamou,yeltin1,385079961,FALSE,Sarı Ayaklı Tinamu
Crypturellus atrocapillus,Black-capped Tinamou,blctin1,76049,FALSE,Kara Alınlı Tinamu
Crypturellus occidentalis,Western Thicket Tinamou,,,FALSE,Çalı Tinamusu (occidentalis)
Crypturellus cinnamomeus,Eastern Thicket Tinamou,thitin1,33206801,FALSE,Çalı Tinamusu
Crypturellus transfasciatus,Pale-browed Tinamou,pabtin1,143809,FALSE,Sürmeli Tinamu
Crypturellus boucardi,Slaty-breasted Tinamou,slbtin1,127724071,FALSE,Kurşuni Tinamu
Crypturellus kerriae,Choco Tinamou,chotin1,324633271,FALSE,Kerr Tinamusu
Crypturellus varieagatus,Variegated Tinamou,vartin1,203934011,FALSE,
Crypturellus brevirostris,Rusty Tinamou,rustin1,614660336,FALSE,Kızıl Tinamu
Crypturellus barletti,Barlett's Tinamou,,,FALSE,
Crypturellus casiquiare,Barred Tinamou,bartin1,630722708,FALSE,Çizgili Tinamu
Crypturellus parvirostris,Small-billed Tinamou,smbtin1,51850,FALSE,Küçük Gagalı Tinamu
Crypturellus tataupa,Tataupa Tinamou,tattin1,217313,FALSE,Tataupa Tinamusu
Rhynchotus rufescens,Red-winged Tinamou,rewtin1,203696371,FALSE,Kırmızı Kanatlı Tinamu
Nothoprocta taczanowskii,Taczanowski's Tinamu,tactin1,628474647,FALSE,Taczanowski tinamusu
Nothoprocta ornata,Ornate Tinamou,orntin1,609546694,FALSE,Çil tinamusu
Nothoprocta perdicaria,Chilean Tinamou,chitin1,303573,FALSE,Şili Tinamusu
Nothoprocta cinerascens,Brushland Tinamou,brutin1,634961756,FALSE,Keklik Tinamusu
Nothoprocta pentlandii,Andean Tinamou,andtin1,46168,FALSE,And Tinamusu
Nothoprocta curvirostris,Curve-billed Tinamou,cubtin1,633661342,FALSE,Eğri gagalı tinamu
Nothura boraquira,White-bellied Nothura,whbnot1,219138941,FALSE,Ak Karınlı Tinamu
Nothura minor,Lesser Nothura,lesnot1,424395341,FALSE,Küçük notura tinamusu
Nothura darwinii,Darwin's Nothura,darnot1,426123241,FALSE,Darwin notura tinamusu
Nothura maculosa,Spotted Nothura,sponot1,114397301,TRUE,Benekli notura tinamusu
Nothura chacoensis,Chaco Nothura,,,FALSE,
Taoniscus nanus,Dwarf Tinamou,dwatin1,643569796,FALSE,Cüce Tinamu
Eudromia elegans,Elegant Crested-Tinamou,elctin1,236936911,FALSE,Tepeli tinamu
Eudromia formosa,Quebracho Crested-Tinamou,quctin1,626262181,FALSE,Tepeli Kızıl Tinamu
Tinamotis pentlandii,Puna Tinamou,puntin1,210229,FALSE,Puna Tinamusu
Tinamotis ingoufi,Patagonian Tinamou,pattin1,612106908,FALSE,Boyalı Tinamu
Alectura lathami,Australian Brush-turkey,ausbrt1,381591551,FALSE,Hindi Megapodu
Aepypodius arfakianus,Wattled Brush-turkey,watbrt1,,FALSE,İbikli Megapod
Aepypodius bruijnii,Bruijn's Brush-turkey,brubrt1,,FALSE,Küpeli Megapod
Talegalla cuvieri,Red-billed Brush-turkey,rebbrt1,617189538,FALSE,Al Gagalı Talegalo
Talegalla fuscirostris,Black-billed Brush-turkey,bkbbrt1,65819,FALSE,Kara Gagalı Talegalo
Talegalla jobiensis,Brown-collared Brush-turkey,bncbrt1,204011051,FALSE,Kolyeli Talegalo
Leipoa ocellata,Malleefowl,mallee1,507328321,TRUE,Benekli Megapod
Macrocephalon maleo,Maleo,maleo1,210744231,FALSE,Maleo
Eulipoa wallacei,Moluccan Scrubfowl,molscr1,,FALSE,Boyalı Megapod
Megapodius nicobariensis,Nicobar Scrubfowl,nicscr1,648533499,FALSE,Nikobar Megapodu
Megapodius cumingii,Philippine Scrubfowl,tabscr1,203893311,FALSE,Filipin Adaları Megapodu
Megapodius bernsteinii,Sula Scrubfowl,sulscr1,203905281,FALSE,Sula megapodu
Megapodius tenimberensis,Tanimbar Scrubfowl,tanscr1,616243717,FALSE,Tanimbar megapodu
Megapodius layardi,Vanuatu Scrubfowl,vanscr1,159476231,FALSE,Vanuatu megapodu
Megapodius laperouse,Micronesian Scrubfowl,micscr1,140190,FALSE,Mikronezya Megapodu
Megapodius pritchardii,Polynesian Scrubfowl,niuscr1,,FALSE,Polinezya Megapodu
Megapodius freycinet,Dusky Scrubfowl,dusscr1,203908891,FALSE,Dumanlı Megapod
Megapodius geelvikanus,Biak Scrubfowl,,,FALSE,
Megapodius decollatus,New Guinea Scrubfowl,negscr1,608353878,FALSE,Yeni Gine megapodu
Megapodius eremita,Melanesian Scrubfowl,melscr1,203908291,FALSE,Melanezya Megapodu
Megapodius reinwardt,Orange-footed Scrubfowl,orfscr1,58969901,TRUE,Reinwardt Megapodu
CRACIDAE,Guans Chachalacas Curassows,,,FALSE,
Chamaepetes unicolor,Black Guan,blagua1,53957,FALSE,Kara Orak Kanatlı Guan
Chamaepetes goudotii,Sickle-winged Guan,siwgua1,167255,FALSE,Kızıl Orak Kanatlı Guan
Penelopina nigra,Highland Guan,higgua1,203692671,FALSE,Kara guan
Penelope argyrotis,Band-tailed Guan,batgua1,167175,FALSE,Ak Yüzlü Guan
Penelope barbata,Bearded Guan,beagua1,203915771,FALSE,Sakallı guan
Penelope ortoni,Baudo Guan,baugua1,168703,FALSE,Orton guanı
Penelope montagnii,Andean Guan,andgua1,591553691,FALSE,And Guanı
Penelope marail,Marail Guan,margua1,67615,FALSE,Yeşil guan
Penelope superciliaris,Rusty-margined Guan,rumgua1,102319,FALSE,Kızıl çizgili guan
Penelope dabbenei,Red-faced Guan,refgua1,203985251,FALSE,Kırmızı yüzlü guan
Penelope jacquacu,Spix's Guan,spigua1,190225,FALSE,Amazon Guanı
Penelope purpurascens,Crested Guan,cregua1,173510751,FALSE,Tepeli Guan
Penelope perspicax,Cauca Guan,caugua1,24042071,FALSE,Kauka guanı
Penelope albipennis,White-winged Guan,whwgua1,13277,FALSE,Ak kanatlı guan
Penelope obscura,Dusky-legged Guan,dulgua1,17658,FALSE,Kara Ayaklı Guan
Penelope pileata,White-crested Guan,whcgua1,203895021,FALSE,Kızıl Boyunlu Guan
Penelope ochrogaster,Chestnut-bellied Guan,chbgua1,193678891,FALSE,Kızıl Karınlı Guan
Penelope jacucaca,White-browed Guan,whbgua1,248626081,FALSE,Ak kaşlı guan
Pipile pipile,Trinidad Piping-guan,trpgua1,619307334,FALSE,Trinidad Islıkçı Guanı
Pipile cumanensis,Blue-throated Piping-guan,butpig1,321834561,FALSE,Mavi/Ak Gerdanlı Islıkçı Guan
Pipile grayi,White-throated Piping-guan,butpig2,396896121,FALSE,Ak Gerdanlı Islıkçı Guan
Pipile cujubi,Red-throated Piping-guan,rtpgua1,81437,FALSE,Al Gerdanlı Islıkçı Guan
Pipile jacutinga,Black-fronted Piping-guan,bfpgua1,184775031,FALSE,Maskeli Islıkçı Guan
Aburria aburri,Wattled Guan,watgua1,101066981,FALSE,Küpeli Guan
Oreophasis derbianus,Horned Guan,horgua1,177575,TRUE,Boynuzlu Guan
Ortalis vetula,Plain Chachalaca,placha,172754021,TRUE,Kuzey Çaçalakası
Ortalis cinereiceps,Grey-headed Chachalaca,grhcha1,456443461,FALSE,Gri başlı çaçalaka
Ortalis garrula,Chestnut-winged Chachalaca,chwcha1,624280923,FALSE,Kızıl Kanatlı Çaçalaka
Ortalis ruficauda,Rufous-vented Chachalaca,ruvcha1,2320,FALSE,Kırmızı etekli çaçalaka
Ortalis erythroptera,Rufous-headed Chachalaca,ruhcha1,514472621,FALSE,Kızıl başlı çaçalaka
Ortalis wagleri,Rufous-bellied Chachalaca,rubcha1,49211281,FALSE,Kestane karınlı çaçalaka
Ortalis poliocephala,West Mexican Chachalaca,wemcha1,153248731,FALSE,Gri Göğüslü Çaçalaka
Ortalis canicollis,Chaco Chachalaca,chacha1,572139481,FALSE,Çako çaçalakası
Ortalis leucogastra,White-bellied Chachalaca,whbcha1,20375,FALSE,Ak karınlı çaçalaka
Ortalis columbiana,Colombian Chachalaca,colcha1,212229,FALSE,İncili çaçalaka
Ortalis guttata,Speckled Chachalaca,specha3,183366391,FALSE,Benekli Çaçalaka
Ortalis araucan,East Brasilian Chachalaca,,,FALSE,
Ortalis squamata,Scaled Chachalaca,specha4,332027481,FALSE,Pullu Çaçalaka
Ortalis motmot,Little Chachalaca,varcha1,78010,FALSE,Kuzeyli Küçük Çaçakala
CASUARIIDAE,Cassowaries Emus,,,FALSE,
Casuarius casuarius,Southern Cassowary,soucas1,203989761,TRUE,Güneyli Kasuari
Casuarius bennetti,Dwarf Cassowary,dwacas1,203987101,FALSE,Küçük Kasuari
Casuarius unappendiculatus,Northern Cassowary,norcas1,536563291,FALSE,Kuzeyli Kasuari
Dromaius novaehollandiae,Emu,emu1,623096519,TRUE,Emu
†Dromaius minor,King Island Emu,,,FALSE,
†Dromaius baudinianus,Kangoroo Island Emu,,,FALSE,
