Scientific Name,en,species_code,macaulay_asset_code,wingspan_bird,uk
STRUTHIONIFORMES,,,,FALSE,
STRUTHIONIDAE,Ostriches,,,FALSE,
Apteryx rowi,Okarito Kiwi,okbkiw1,197661661,FALSE,ківі окаритський
†DINORNITHIDAE,Moas,,,FALSE,
Struthio camelus,Ostrich,ostric2,645938838,FALSE,Страус африканський/сомалійський
Struhio molybdophanes,Somali Ostrich,ostric3,,FALSE,
†Dinornis gigantheus,Great Moa,,,FALSE,
†Megalapteryx didinus,Lesser Megalapteryx,,,FALSE,
RHEIDAE,Rheas,,,FALSE,
†AEPYORNITHIDAE,Elephantbirds,,,FALSE,
Rhea americana,Greater Rhea,grerhe1,203988441,TRUE,Нанду великий
Rhea pennata,Lesser Rhea,lesrhe2,49399691,FALSE,Нанду малий
Rhea tarapacensis,Puna Rhea,,,FALSE,Нанду малий (підвид tarapacensis/garleppi)
†Aepyornis maximus,Elephantbird,,,FALSE,
GALLIFORMES,,,,FALSE,
MEGAPODIIDAE,Megapodes,,,FALSE,
TINAMIDAE,Tinamous,,,FALSE,
Nothocercus julius,Tawny-breasted Tinamou,tabtin1,462300061,FALSE,Тинаму жовтогрудий
Nothocercus bonapartei,Highland Tinamou,higtin1,871,FALSE,Тинаму бурий
Nothocercus nigrocapillus,Hooded Tinamou,hootin1,203940161,FALSE,Тинаму чорноголовий
Tinamus tao,Grey Tinamou,grytin1,58702,FALSE,Тао
Tinamus solitarius,Solitary Tinamou,soltin1,18804,FALSE,Тинаму-самітник
Tinamus osgoodi,Black Tinamou,blatin1,60456,FALSE,Тинаму чорний
Tinamus major,Great Tinamou,gretin1,57320,FALSE,Тинаму великий
Tinamus guttatus,White-throated Tinamou,whttin1,31950,FALSE,Тинаму білогорлий
Crypturellus berlepschi,Berlepsch's Tinamou,bertin1,629455957,FALSE,Татаупа чорний
Crypturellus cinereus,Cinereous Tinamou,cintin1,203696311,FALSE,Татаупа сірий
Crypturellus ptaritepui,Tepui Tinamou,teptin1,204027571,FALSE,Татаупа білоокий
Crypturellus soui,Little Tinamou,littin1,117119,TRUE,Татаупа малий
Crypturellus obsoletus,Brown Tinamou,brotin1,164251,FALSE,Татаупа каштановий
Crypturellus undulatus,Undulated Tinamou,undtin1,626373802,FALSE,Татаупа блідий
Crypturellus strigulosus,Brazilian Tinamou,bratin1,204022031,FALSE,Татаупа бразильський
Crypturellus duidae,Grey-legged Tinamou,gyltin1,158883681,FALSE,Татаупа сіроногий
Crypturellus erythropus,Red-legged Tinamou,reltin1,461593031,FALSE,Татаупа червононогий
Crypturellus noctivagus,Yellow-legged Tinamou,yeltin1,385079961,FALSE,Татаупа жовтоногий
Crypturellus atrocapillus,Black-capped Tinamou,blctin1,76049,FALSE,Татаупа темноголовий
Crypturellus occidentalis,Western Thicket Tinamou,,,FALSE,Татаупа чагарниковий (підвид occidentalis)
Crypturellus cinnamomeus,Eastern Thicket Tinamou,thitin1,33206801,FALSE,Татаупа чагарниковий
Crypturellus transfasciatus,Pale-browed Tinamou,pabtin1,143809,FALSE,Татаупа білобровий
Crypturellus boucardi,Slaty-breasted Tinamou,slbtin1,127724071,FALSE,Татаупа сірогрудий
Crypturellus kerriae,Choco Tinamou,chotin1,324633271,FALSE,Татаупа панамський
Crypturellus varieagatus,Variegated Tinamou,vartin1,203934011,FALSE,
Crypturellus brevirostris,Rusty Tinamou,rustin1,614660336,FALSE,Татаупа короткодзьобий
Crypturellus barletti,Barlett's Tinamou,,,FALSE,
Crypturellus casiquiare,Barred Tinamou,bartin1,630722708,FALSE,Татаупа колумбійський
Crypturellus parvirostris,Small-billed Tinamou,smbtin1,51850,FALSE,Татаупа червонодзьобий
Crypturellus tataupa,Tataupa Tinamou,tattin1,217313,FALSE,Татаупа сіроголовий
Rhynchotus rufescens,Red-winged Tinamou,rewtin1,203696371,FALSE,Інамбу рудошиїй
Nothoprocta taczanowskii,Taczanowski's Tinamu,tactin1,628474647,FALSE,Інамбу перуанський
Nothoprocta ornata,Ornate Tinamou,orntin1,609546694,FALSE,Інамбу рудогрудий
Nothoprocta perdicaria,Chilean Tinamou,chitin1,303573,FALSE,Інамбу чилійський
Nothoprocta cinerascens,Brushland Tinamou,brutin1,634961756,FALSE,Інамбу чагарниковий
Nothoprocta pentlandii,Andean Tinamou,andtin1,46168,FALSE,Інамбу андійський
Nothoprocta curvirostris,Curve-billed Tinamou,cubtin1,633661342,FALSE,Інамбу криводзьобий
Nothura boraquira,White-bellied Nothura,whbnot1,219138941,FALSE,Нотура білочеревий
Nothura minor,Lesser Nothura,lesnot1,424395341,FALSE,Нотура-крихітка
Nothura darwinii,Darwin's Nothura,darnot1,426123241,FALSE,Нотура дарвіна
Nothura maculosa,Spotted Nothura,sponot1,114397301,TRUE,Нотура строкатий
Nothura chacoensis,Chaco Nothura,,,FALSE,
Taoniscus nanus,Dwarf Tinamou,dwatin1,643569796,FALSE,Інамбу карликовий
Eudromia elegans,Elegant Crested-Tinamou,elctin1,236936911,FALSE,Інамбу чубатий
Eudromia formosa,Quebracho Crested-Tinamou,quctin1,626262181,FALSE,Інамбу ошатний
Tinamotis pentlandii,Puna Tinamou,puntin1,210229,FALSE,Інамбу червоногузий
Tinamotis ingoufi,Patagonian Tinamou,pattin1,612106908,FALSE,Інамбу патагонський
Alectura lathami,Australian Brush-turkey,ausbrt1,381591551,FALSE,Великоніг східний
Aepypodius arfakianus,Wattled Brush-turkey,watbrt1,,FALSE,Великоніг сірощокий
Aepypodius bruijnii,Bruijn's Brush-turkey,brubrt1,,FALSE,Великоніг червонощокий
Talegalla cuvieri,Red-billed Brush-turkey,rebbrt1,617189538,FALSE,Великоніг червонодзьобий
Talegalla fuscirostris,Black-billed Brush-turkey,bkbbrt1,65819,FALSE,Великоніг чорнодзьобий
Talegalla jobiensis,Brown-collared Brush-turkey,bncbrt1,204011051,FALSE,Великоніг буродзьобий
Leipoa ocellata,Malleefowl,mallee1,507328321,TRUE,Великоніг строкатий
Macrocephalon maleo,Maleo,maleo1,210744231,FALSE,Малео
Eulipoa wallacei,Moluccan Scrubfowl,molscr1,,FALSE,Великоніг молуцький
Megapodius nicobariensis,Nicobar Scrubfowl,nicscr1,648533499,FALSE,Великоніг нікобарський
Megapodius cumingii,Philippine Scrubfowl,tabscr1,203893311,FALSE,Великоніг філіпінський
Megapodius bernsteinii,Sula Scrubfowl,sulscr1,203905281,FALSE,Великоніг сулуйський
Megapodius tenimberensis,Tanimbar Scrubfowl,tanscr1,616243717,FALSE,великоніг танімбарський
Megapodius layardi,Vanuatu Scrubfowl,vanscr1,159476231,FALSE,Великоніг вануатський
Megapodius laperouse,Micronesian Scrubfowl,micscr1,140190,FALSE,Великоніг мікронезійський
Megapodius pritchardii,Polynesian Scrubfowl,niuscr1,,FALSE,Великоніг полінезійський
Megapodius freycinet,Dusky Scrubfowl,dusscr1,203908891,FALSE,Великоніг джунглевий
Megapodius geelvikanus,Biak Scrubfowl,,,FALSE,
Megapodius decollatus,New Guinea Scrubfowl,negscr1,608353878,FALSE,Великоніг папуанський
Megapodius eremita,Melanesian Scrubfowl,melscr1,203908291,FALSE,Великоніг меланезійський
Megapodius reinwardt,Orange-footed Scrubfowl,orfscr1,58969901,TRUE,Великоніг австралійський
CRACIDAE,Guans Chachalacas Curassows,,,FALSE,
Chamaepetes unicolor,Black Guan,blagua1,53957,FALSE,Пенелопа чорна
Chamaepetes goudotii,Sickle-winged Guan,siwgua1,167255,FALSE,Пенелопа вогнистогруда
Penelopina nigra,Highland Guan,higgua1,203692671,FALSE,Пенелопа мексиканська
Penelope argyrotis,Band-tailed Guan,batgua1,167175,FALSE,Пенелопа світлоголова
Penelope barbata,Bearded Guan,beagua1,203915771,FALSE,Пенелопа бородата
Penelope ortoni,Baudo Guan,baugua1,168703,FALSE,Пенелопа брунатна
Penelope montagnii,Andean Guan,andgua1,591553691,FALSE,Пенелопа андська
Penelope marail,Marail Guan,margua1,67615,FALSE,Пенелопа гаянська
Penelope superciliaris,Rusty-margined Guan,rumgua1,102319,FALSE,Пенелопа рудобока
Penelope dabbenei,Red-faced Guan,refgua1,203985251,FALSE,Пенелопа еквадорська
Penelope jacquacu,Spix's Guan,spigua1,190225,FALSE,Пенелопа амазонійська
Penelope purpurascens,Crested Guan,cregua1,173510751,FALSE,Пенелопа чубата
Penelope perspicax,Cauca Guan,caugua1,24042071,FALSE,Пенелопа колумбійська
Penelope albipennis,White-winged Guan,whwgua1,13277,FALSE,Пенелопа білокрила
Penelope obscura,Dusky-legged Guan,dulgua1,17658,FALSE,Пенелопа парагвайська
Penelope pileata,White-crested Guan,whcgua1,203895021,FALSE,Пенелопа тапайська
Penelope ochrogaster,Chestnut-bellied Guan,chbgua1,193678891,FALSE,Пенелопа бразильська
Penelope jacucaca,White-browed Guan,whbgua1,248626081,FALSE,Пенелопа білоброва
Pipile pipile,Trinidad Piping-guan,trpgua1,619307334,FALSE,Абурі-крикун синьогорлий
Pipile cumanensis,Blue-throated Piping-guan,butpig1,321834561,FALSE,Абурі-крикун білоголовий/великий
Pipile grayi,White-throated Piping-guan,butpig2,396896121,FALSE,абурі-крикун великий
Pipile cujubi,Red-throated Piping-guan,rtpgua1,81437,FALSE,Абурі-крикун червоногорлий
Pipile jacutinga,Black-fronted Piping-guan,bfpgua1,184775031,FALSE,Абурі-крикун чорнолобий
Aburria aburri,Wattled Guan,watgua1,101066981,FALSE,Абурі
Oreophasis derbianus,Horned Guan,horgua1,177575,TRUE,Пенелопа рогата
Ortalis vetula,Plain Chachalaca,placha,172754021,TRUE,Чачалака східна
Ortalis cinereiceps,Grey-headed Chachalaca,grhcha1,456443461,FALSE,Чачалака сіроголова
Ortalis garrula,Chestnut-winged Chachalaca,chwcha1,624280923,FALSE,Чачалака рудокрила
Ortalis ruficauda,Rufous-vented Chachalaca,ruvcha1,2320,FALSE,Чачалака рудогуза
Ortalis erythroptera,Rufous-headed Chachalaca,ruhcha1,514472621,FALSE,Чачалака рудоголова
Ortalis wagleri,Rufous-bellied Chachalaca,rubcha1,49211281,FALSE,Чачалака рудогруда
Ortalis poliocephala,West Mexican Chachalaca,wemcha1,153248731,FALSE,Чачалака західна
Ortalis canicollis,Chaco Chachalaca,chacha1,572139481,FALSE,Чачалака бура
Ortalis leucogastra,White-bellied Chachalaca,whbcha1,20375,FALSE,Чачалака білочерева
Ortalis columbiana,Colombian Chachalaca,colcha1,212229,FALSE,чачалака колумбійська
Ortalis guttata,Speckled Chachalaca,specha3,183366391,FALSE,Чачалака цяткована
Ortalis araucan,East Brasilian Chachalaca,,,FALSE,
Ortalis squamata,Scaled Chachalaca,specha4,332027481,FALSE,Чачалака строкатовола
Ortalis motmot,Little Chachalaca,varcha1,78010,FALSE,Чачалака мала
CASUARIIDAE,Cassowaries Emus,,,FALSE,
Casuarius casuarius,Southern Cassowary,soucas1,203989761,TRUE,Казуар звичайний
Casuarius bennetti,Dwarf Cassowary,dwacas1,203987101,FALSE,Казуар малий
Casuarius unappendiculatus,Northern Cassowary,norcas1,536563291,FALSE,Казуар жовтошиїй
Dromaius novaehollandiae,Emu,emu1,623096519,TRUE,Ему австралійський
†Dromaius minor,King Island Emu,,,FALSE,
†Dromaius baudinianus,Kangoroo Island Emu,,,FALSE,
APTERYGIDAE,Kiwis,,,FALSE,
Apteryx haastii,Great Spotted Kiwi,grskiw1,617700522,TRUE,Ківі сірий
Apteryx owenii,Little Spotted Kiwi,liskiw1,596188651,FALSE,Ківі малий
Apteryx mantelli,Northern Brown Kiwi,nibkiw1,623165890,TRUE,Ківі північний
