Scientific Name,en,species_code,macaulay_asset_code,wingspan_bird,zh,zh_hk,zh_tw
STRUTHIONIFORMES,,,,FALSE,,,
STRUTHIONIDAE,Ostriches,,,FALSE,,,
Apteryx rowi,Okarito Kiwi,okbkiw1,197661661,FALSE,欧加里托几维鸟,欧加里托几维鸟,奧卡里多褐鷸鴕
†DINORNITHIDAE,Moas,,,FALSE,,,
Struthio camelus,Ostrich,ostric2,645938838,FALSE,,,
Struhio molybdophanes,Somali Ostrich,ostric3,,FALSE,,,
†Dinornis gigantheus,Great Moa,,,FALSE,,,
†Megalapteryx didinus,Lesser Megalapteryx,,,FALSE,,,
RHEIDAE,Rheas,,,FALSE,,,
†AEPYORNITHIDAE,Elephantbirds,,,FALSE,,,
Rhea americana,Greater Rhea,grerhe1,203988441,TRUE,大美洲鸵,大美洲鸵,大美洲鴕
Rhea pennata,Lesser Rhea,lesrhe2,49399691,FALSE,小美洲鸵,小美洲鸵,小美洲鴕
Rhea tarapacensis,Puna Rhea,,,FALSE,,,
†Aepyornis maximus,Elephantbird,,,FALSE,,,
GALLIFORMES,,,,FALSE,,,
MEGAPODIIDAE,Megapodes,,,FALSE,,,
TINAMIDAE,Tinamous,,,FALSE,,,
Nothocercus julius,Tawny-breasted Tinamou,tabtin1,462300061,FALSE,茶胸林䳍,茶胸林䳍,茶胸林(共鳥)
Nothocercus bonapartei,Highland Tinamou,higtin1,871,FALSE,高原林䳍,高原林䳍,高原林(共鳥)
Nothocercus nigrocapillus,Hooded Tinamou,hootin1,203940161,FALSE,斗篷林䳍,斗篷林䳍,冠林(共鳥)
Tinamus tao,Grey Tinamou,grytin1,58702,FALSE,灰䳍,灰䳍,灰(共鳥)
Tinamus solitarius,Solitary Tinamou,soltin1,18804,FALSE,孤䳍,孤䳍,孤(共鳥)
Tinamus osgoodi,Black Tinamou,blatin1,60456,FALSE,黑䳍,黑䳍,黑(共鳥)
Tinamus major,Great Tinamou,gretin1,57320,FALSE,大䳍,大䳍,大(共鳥)
Tinamus guttatus,White-throated Tinamou,whttin1,31950,FALSE,白喉䳍,白喉䳍,白喉(共鳥)
Crypturellus berlepschi,Berlepsch's Tinamou,bertin1,629455957,FALSE,伯氏穴䳍,伯氏穴䳍,巴勒氏穴(共鳥)
Crypturellus cinereus,Cinereous Tinamou,cintin1,203696311,FALSE,,,
Crypturellus ptaritepui,Tepui Tinamou,teptin1,204027571,FALSE,灰喉穴䳍,灰喉穴䳍,灰喉穴(共鳥)
Crypturellus soui,Little Tinamou,littin1,117119,TRUE,小穴䳍,小穴䳍,小穴(共鳥)
Crypturellus obsoletus,Brown Tinamou,brotin1,164251,FALSE,褐穴䳍,褐穴䳍,褐穴(共鳥)
Crypturellus undulatus,Undulated Tinamou,undtin1,626373802,FALSE,波斑穴䳍,波斑穴䳍,波斑穴(共鳥)
Crypturellus strigulosus,Brazilian Tinamou,bratin1,204022031,FALSE,巴西穴䳍,巴西穴䳍,巴西穴(共鳥)
Crypturellus duidae,Grey-legged Tinamou,gyltin1,158883681,FALSE,灰腿穴䳍,灰腿穴䳍,灰足穴(共鳥)
Crypturellus erythropus,Red-legged Tinamou,reltin1,461593031,FALSE,红脚穴䳍,红脚穴䳍,紅足穴(共鳥)
Crypturellus noctivagus,Yellow-legged Tinamou,yeltin1,385079961,FALSE,,,
Crypturellus atrocapillus,Black-capped Tinamou,blctin1,76049,FALSE,黑顶穴䳍,黑顶穴䳍,黑頂穴(共鳥)
Crypturellus occidentalis,Western Thicket Tinamou,,,FALSE,,,
Crypturellus cinnamomeus,Eastern Thicket Tinamou,thitin1,33206801,FALSE,,,
Crypturellus transfasciatus,Pale-browed Tinamou,pabtin1,143809,FALSE,淡眉穴䳍,淡眉穴䳍,蒼眉穴(共鳥)
Crypturellus boucardi,Slaty-breasted Tinamou,slbtin1,127724071,FALSE,,,
Crypturellus kerriae,Choco Tinamou,chotin1,324633271,FALSE,乔科穴䳍,乔科穴䳍,喬科穴(共鳥)
Crypturellus varieagatus,Variegated Tinamou,vartin1,203934011,FALSE,,,
Crypturellus brevirostris,Rusty Tinamou,rustin1,614660336,FALSE,锈色穴䳍,锈色穴䳍,鏽色穴(共鳥)
Crypturellus barletti,Barlett's Tinamou,,,FALSE,,,
Crypturellus casiquiare,Barred Tinamou,bartin1,630722708,FALSE,斑穴䳍,斑穴䳍,斑穴(共鳥)
Crypturellus parvirostris,Small-billed Tinamou,smbtin1,51850,FALSE,小嘴穴䳍,小嘴穴䳍,小嘴穴(共鳥)
Crypturellus tataupa,Tataupa Tinamou,tattin1,217313,FALSE,塔陶穴䳍,塔陶穴䳍,塔陶巴穴(共鳥)
Rhynchotus rufescens,Red-winged Tinamou,rewtin1,203696371,FALSE,,,
Nothoprocta taczanowskii,Taczanowski's Tinamu,tactin1,628474647,FALSE,高山斑䳍,高山斑䳍,高山鴇尾(共鳥)
Nothoprocta ornata,Ornate Tinamou,orntin1,609546694,FALSE,丽色斑䳍,丽色斑䳍,麗色鴇尾(共鳥)
Nothoprocta perdicaria,Chilean Tinamou,chitin1,303573,FALSE,智利斑䳍,智利斑䳍,智利鴇尾(共鳥)
Nothoprocta cinerascens,Brushland Tinamou,brutin1,634961756,FALSE,灰斑䳍,灰斑䳍,灰鴇尾(共鳥)
Nothoprocta pentlandii,Andean Tinamou,andtin1,46168,FALSE,安第斯斑䳍,安第斯斑䳍,安地斯鴇尾(共鳥)
Nothoprocta curvirostris,Curve-billed Tinamou,cubtin1,633661342,FALSE,弯嘴斑䳍,弯嘴斑䳍,彎嘴鴇尾(共鳥)
Nothura boraquira,White-bellied Nothura,whbnot1,219138941,FALSE,白腹拟䳍,白腹拟䳍,白腹擬(共鳥)
Nothura minor,Lesser Nothura,lesnot1,424395341,FALSE,小拟䳍,小拟䳍,小擬(共鳥)
Nothura darwinii,Darwin's Nothura,darnot1,426123241,FALSE,达尔文拟䳍,达尔文拟䳍,達爾文擬(共鳥)
Nothura maculosa,Spotted Nothura,sponot1,114397301,TRUE,斑拟䳍,斑拟䳍,斑擬(共鳥)
Nothura chacoensis,Chaco Nothura,,,FALSE,,,
Taoniscus nanus,Dwarf Tinamou,dwatin1,643569796,FALSE,侏䳍,侏䳍,侏(共鳥)
Eudromia elegans,Elegant Crested-Tinamou,elctin1,236936911,FALSE,凤头䳍,凤头䳍,鳳頭(共鳥)
Eudromia formosa,Quebracho Crested-Tinamou,quctin1,626262181,FALSE,丽凤头䳍,丽凤头䳍,麗色鳳頭(共鳥)
Tinamotis pentlandii,Puna Tinamou,puntin1,210229,FALSE,北山䳍,北山䳍,普納高原(共鳥)
Tinamotis ingoufi,Patagonian Tinamou,pattin1,612106908,FALSE,南山䳍,南山䳍,巴塔哥尼亞高原(共鳥)
Alectura lathami,Australian Brush-turkey,ausbrt1,381591551,FALSE,灌丛塚雉,灌丛塚雉,叢塚雉
Aepypodius arfakianus,Wattled Brush-turkey,watbrt1,,FALSE,肉垂塚雉,肉垂塚雉,肉垂塚雉
Aepypodius bruijnii,Bruijn's Brush-turkey,brubrt1,,FALSE,冠塚雉,冠塚雉,冠肉垂塚雉
Talegalla cuvieri,Red-billed Brush-turkey,rebbrt1,617189538,FALSE,红嘴塚雉,红嘴塚雉,紅嘴營塚雉
Talegalla fuscirostris,Black-billed Brush-turkey,bkbbrt1,65819,FALSE,黑嘴塚雉,黑嘴塚雉,黑嘴營塚雉〔黃腳營塚雉〕
Talegalla jobiensis,Brown-collared Brush-turkey,bncbrt1,204011051,FALSE,褐领塚雉,褐领塚雉,紅腳營塚雉
Leipoa ocellata,Malleefowl,mallee1,507328321,TRUE,斑眼塚雉,斑眼塚雉,眼斑塚雉
Macrocephalon maleo,Maleo,maleo1,210744231,FALSE,塚雉,塚雉,蘇拉威西塚雉
Eulipoa wallacei,Moluccan Scrubfowl,molscr1,,FALSE,摩鹿加塚雉,摩鹿加塚雉,摩鹿加塚雉
Megapodius nicobariensis,Nicobar Scrubfowl,nicscr1,648533499,FALSE,,,
Megapodius cumingii,Philippine Scrubfowl,tabscr1,203893311,FALSE,菲律宾塚雉,菲律宾塚雉,菲律賓塚雉
Megapodius bernsteinii,Sula Scrubfowl,sulscr1,203905281,FALSE,苏拉塚雉,苏拉塚雉,蘇拉塚雉
Megapodius tenimberensis,Tanimbar Scrubfowl,tanscr1,616243717,FALSE,塔宁冢雉,塔宁冢雉,塔尼巴塚雉
Megapodius layardi,Vanuatu Scrubfowl,vanscr1,159476231,FALSE,瓦努阿图塚雉,瓦努阿图塚雉,萬那度塚雉
Megapodius laperouse,Micronesian Scrubfowl,micscr1,140190,FALSE,马利塚雉,马利塚雉,密克羅尼西亞塚雉
Megapodius pritchardii,Polynesian Scrubfowl,niuscr1,,FALSE,波利塚雉,波利塚雉,東加塚雉
Megapodius freycinet,Dusky Scrubfowl,dusscr1,203908891,FALSE,,,
Megapodius geelvikanus,Biak Scrubfowl,,,FALSE,,,
Megapodius decollatus,New Guinea Scrubfowl,negscr1,608353878,FALSE,斑喉塚雉,斑喉塚雉,新幾內亞塚雉
Megapodius eremita,Melanesian Scrubfowl,melscr1,203908291,FALSE,红斑塚雉,红斑塚雉,美拉尼西亞塚雉
Megapodius reinwardt,Orange-footed Scrubfowl,orfscr1,58969901,TRUE,,,
CRACIDAE,Guans Chachalacas Curassows,,,FALSE,,,
Chamaepetes unicolor,Black Guan,blagua1,53957,FALSE,黑镰翅冠雉,黑镰翅冠雉,黑鐮翅冠雉
Chamaepetes goudotii,Sickle-winged Guan,siwgua1,167255,FALSE,褐镰翅冠雉,褐镰翅冠雉,鐮翅冠雉
Penelopina nigra,Highland Guan,higgua1,203692671,FALSE,山冠雉,山冠雉,高原冠雉
Penelope argyrotis,Band-tailed Guan,batgua1,167175,FALSE,,,
Penelope barbata,Bearded Guan,beagua1,203915771,FALSE,须冠雉,须冠雉,鬚冠雉
Penelope ortoni,Baudo Guan,baugua1,168703,FALSE,古铜冠雉,古铜冠雉,古銅色冠雉
Penelope montagnii,Andean Guan,andgua1,591553691,FALSE,,,
Penelope marail,Marail Guan,margua1,67615,FALSE,绿背冠雉,绿背冠雉,綠背冠雉
Penelope superciliaris,Rusty-margined Guan,rumgua1,102319,FALSE,眉纹冠雉,眉纹冠雉,眉紋冠雉
Penelope dabbenei,Red-faced Guan,refgua1,203985251,FALSE,红脸冠雉,红脸冠雉,紅臉冠雉
Penelope jacquacu,Spix's Guan,spigua1,190225,FALSE,,,
Penelope purpurascens,Crested Guan,cregua1,173510751,FALSE,,,
Penelope perspicax,Cauca Guan,caugua1,24042071,FALSE,考加冠雉,考加冠雉,考加冠雉
Penelope albipennis,White-winged Guan,whwgua1,13277,FALSE,白翅冠雉,白翅冠雉,白翅冠雉
Penelope obscura,Dusky-legged Guan,dulgua1,17658,FALSE,,,
Penelope pileata,White-crested Guan,whcgua1,203895021,FALSE,彩冠雉,彩冠雉,白頭冠雉
Penelope ochrogaster,Chestnut-bellied Guan,chbgua1,193678891,FALSE,栗腹冠雉,栗腹冠雉,栗腹冠雉
Penelope jacucaca,White-browed Guan,whbgua1,248626081,FALSE,白眉冠雉,白眉冠雉,白眉冠雉
Pipile pipile,Trinidad Piping-guan,trpgua1,619307334,FALSE,,,
Pipile cumanensis,Blue-throated Piping-guan,butpig1,321834561,FALSE,,,
Pipile grayi,White-throated Piping-guan,butpig2,396896121,FALSE,白喉鸣冠雉,白喉鸣冠雉,
Pipile cujubi,Red-throated Piping-guan,rtpgua1,81437,FALSE,红喉鸣冠雉,红喉鸣冠雉,紅喉鳴冠雉
