Latin,English,Croatian
STRUTHIONIFORMES,,nojevke
STRUTHIONIDAE,Ostriches,nojevi
Apteryx rowi,Okarito Kiwi,sivoglavi kivi
†DINORNITHIDAE,Moas,moe
Struthio camelus,Ostrich,noj
Struhio molybdophanes,Somali Ostrich,somalijski noj
†Dinornis gigantheus,Great Moa,velika moa
†Megalapteryx didinus,Lesser Megalapteryx,mala moa
RHEIDAE,Rheas,nandui
†AEPYORNITHIDAE,Elephantbirds,golemašice
Rhea americana,Greater Rhea,veliki nandu
Rhea pennata,Lesser Rhea,mali nandu
Rhea tarapacensis,Puna Rhea,punski nandu
†Aepyornis maximus,Elephantbird,divovska golemašica
GALLIFORMES,,kokoške
MEGAPODIIDAE,Megapodes,kokošine
TINAMIDAE,Tinamous,tinamui
Nothocercus julius,Tawny-breasted Tinamou,bjelogrli tinamu
Nothocercus bonapartei,Highland Tinamou,bonaparteov tinamu
Nothocercus nigrocapillus,Hooded Tinamou,crnoglavi tinamu
Tinamus tao,Grey Tinamou,sivi tinamu
Tinamus solitarius,Solitary Tinamou,paragvajski tinamu
Tinamus osgoodi,Black Tinamou,crni tinamu
Tinamus major,Great Tinamou,maslinasti tinamu
Tinamus guttatus,White-throated Tinamou,pjegavi tinamu
Crypturellus berlepschi,Berlepsch's Tinamou,ekvadorski tinamu
Crypturellus cinereus,Cinereous Tinamou,pepeljasti tinamu
Crypturellus ptaritepui,Tepui Tinamou,tepujski tinamu
Crypturellus soui,Little Tinamou,mali tinamu
Crypturellus obsoletus,Brown Tinamou,smeđi tinamu
Crypturellus undulatus,Undulated Tinamou,prugasti tinamu
Crypturellus strigulosus,Brazilian Tinamou,brazilski tinamu
Crypturellus duidae,Grey-legged Tinamou,sivonogi tinamu
Crypturellus erythropus,Red-legged Tinamou,crvenonogi tinamu
Crypturellus noctivagus,Yellow-legged Tinamou,žutonogi tinamu
Crypturellus atrocapillus,Black-capped Tinamou,tamnokapi tinamu
Crypturellus occidentalis,Western Thicket Tinamou,sivoprsi tinamu
Crypturellus cinnamomeus,Eastern Thicket Tinamou,cimetasti tinamu
Crypturellus transfasciatus,Pale-browed Tinamou,obrvasti tinamu
Crypturellus boucardi,Slaty-breasted Tinamou,srednjoamerički tinamu
Crypturellus kerriae,Choco Tinamou,mrki tinamu
Crypturellus varieagatus,Variegated Tinamou,riđovrati tinamu
Crypturellus brevirostris,Rusty Tinamou,riđi tinamu
Crypturellus barletti,Barlett's Tinamou,barlettov tinamu
Crypturellus casiquiare,Barred Tinamou,šareni tinamu
Crypturellus parvirostris,Small-billed Tinamou,kratkokljuni tinamu
Crypturellus tataupa,Tataupa Tinamou,pjegavoboki tinamu
Rhynchotus rufescens,Red-winged Tinamou,crvenokrili tinamu
Nothoprocta taczanowskii,Taczanowski's Tinamu,krivokljuni tinamu
Nothoprocta ornata,Ornate Tinamou,šarenokrili tinamu
Nothoprocta perdicaria,Chilean Tinamou,čilski tinamu
Nothoprocta cinerascens,Brushland Tinamou,pjegavoprsi tinamu
Nothoprocta pentlandii,Andean Tinamou,andski tinamu
Nothoprocta curvirostris,Curve-billed Tinamou,crvenoprsi tinamu
Nothura boraquira,White-bellied Nothura,prugastovrati tinamu
Nothura minor,Lesser Nothura,pjegavovrati tinamu
Nothura darwinii,Darwin's Nothura,darwinov tinamu
Nothura maculosa,Spotted Nothura,pjegavokrili tinamu
Nothura chacoensis,Chaco Nothura,prugastoleđi tinamu
Taoniscus nanus,Dwarf Tinamou,patuljasti tinamu
Eudromia elegans,Elegant Crested-Tinamou,kukmasti tinamu
Eudromia formosa,Quebracho Crested-Tinamou,troprsti tinamu
Tinamotis pentlandii,Puna Tinamou,punski tinamu
Tinamotis ingoufi,Patagonian Tinamou,patagonski tinamu
Alectura lathami,Australian Brush-turkey,crvenovrata kokošina
Aepypodius arfakianus,Wattled Brush-turkey,bjelogrla kokošina
Aepypodius bruijnii,Bruijn's Brush-turkey,riđoprsa kokošina
Talegalla cuvieri,Red-billed Brush-turkey,crvenokljuna kokošina
Talegalla fuscirostris,Black-billed Brush-turkey,crnokljuna kokošina
Talegalla jobiensis,Brown-collared Brush-turkey,riđogrla kokošina
Leipoa ocellata,Malleefowl,pjegava kokošina
Macrocephalon maleo,Maleo,sulaveška kokošina
Eulipoa wallacei,Moluccan Scrubfowl,molučka kokošina
Megapodius nicobariensis,Nicobar Scrubfowl,nikobarska kokošina
Megapodius cumingii,Philippine Scrubfowl,sivoprsa kokošina
Megapodius bernsteinii,Sula Scrubfowl,riđa kokošina
Megapodius tenimberensis,Tanimbar Scrubfowl,tanimbarska kokošina
Megapodius layardi,Vanuatu Scrubfowl,vanuatska kokošina
Megapodius laperouse,Micronesian Scrubfowl,mala kokošina
Megapodius pritchardii,Polynesian Scrubfowl,tongaska kokošina
Megapodius freycinet,Dusky Scrubfowl,crvenolica kokošina
Megapodius geelvikanus,Biak Scrubfowl,biačka kokošina
Megapodius decollatus,New Guinea Scrubfowl,novogvinejska kokošina
Megapodius eremita,Melanesian Scrubfowl,melanezijska kokošina
Megapodius reinwardt,Orange-footed Scrubfowl,kukmasta kokošina
CRACIDAE,"Guans, Chachalacas, Curassows,","guani, čačalake, hokoi"
Chamaepetes unicolor,Black Guan,crni guan
Chamaepetes goudotii,Sickle-winged Guan,modrolici guan
Penelopina nigra,Highland Guan,planinski guan
Penelope argyrotis,Band-tailed Guan,riđorepi guan
Penelope barbata,Bearded Guan,riđi guan
Penelope ortoni,Baudo Guan,tamnoglavi guan
Penelope montagnii,Andean Guan,andski guan
Penelope marail,Marail Guan,maslinasti guan
