Latin,English,Croatian
STRUTHIONIFORMES,,bumbar1
STRUTHIONIDAE,Ostriches,bumbar2
Apteryx rowi,Okarito Kiwi,bumbar3
†DINORNITHIDAE,Moas,bumbar4
Struthio camelus,Ostrich,bumbar5
Struhio molybdophanes,Somali Ostrich,bumbar6
†Dinornis gigantheus,Great Moa,bumbar7
†Megalapteryx didinus,Lesser Megalapteryx,bumbar8
RHEIDAE,Rheas,bumbar9
†AEPYORNITHIDAE,Elephantbirds,bumbar10
Rhea americana,Greater Rhea,bumbar11
Rhea pennata,Lesser Rhea,bumbar12
Rhea tarapacensis,Puna Rhea,bumbar13
†Aepyornis maximus,Elephantbird,bumbar14
GALLIFORMES,,bumbar15
MEGAPODIIDAE,Megapodes,bumbar16
TINAMIDAE,Tinamous,bumbar17
Nothocercus julius,Tawny-breasted Tinamou,bumbar18
Nothocercus bonapartei,Highland Tinamou,bumbar19
Nothocercus nigrocapillus,Hooded Tinamou,bumbar20
Tinamus tao,Grey Tinamou,bumbar21
Tinamus solitarius,Solitary Tinamou,bumbar22
Tinamus osgoodi,Black Tinamou,bumbar23
Tinamus major,Great Tinamou,bumbar24
Tinamus guttatus,White-throated Tinamou,bumbar25
Crypturellus berlepschi,Berlepsch's Tinamou,bumbar26
Crypturellus cinereus,Cinereous Tinamou,bumbar27
Crypturellus ptaritepui,Tepui Tinamou,bumbar28
Crypturellus soui,Little Tinamou,bumbar29
Crypturellus obsoletus,Brown Tinamou,bumbar30
Crypturellus undulatus,Undulated Tinamou,bumbar31
Crypturellus strigulosus,Brazilian Tinamou,bumbar32
Crypturellus duidae,Grey-legged Tinamou,bumbar33
Crypturellus erythropus,Red-legged Tinamou,bumbar34
Crypturellus noctivagus,Yellow-legged Tinamou,bumbar35
Crypturellus atrocapillus,Black-capped Tinamou,bumbar36
Crypturellus occidentalis,Western Thicket Tinamou,bumbar37
Crypturellus cinnamomeus,Eastern Thicket Tinamou,bumbar38
Crypturellus transfasciatus,Pale-browed Tinamou,bumbar39
